player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,team_id,is_home,is_starter
fournev01,34.8,0.421,0.409,0.545,0.182,0.0,9.4,4.3,10.4,2.8,0.0,14.4,17.0,78.0,116.0,-6.1,Evan Fournier,ORL,False,True
isaacjo01,28.216666666666665,0.214,0.214,0.429,0.0,9.8,11.6,10.6,0.0,0.0,0.0,22.2,13.6,53.0,122.0,-12.1,Jonathan Isaac,ORL,False,True
augusdj01,25.766666666666666,0.697,0.667,0.889,0.444,0.0,4.2,1.9,30.4,0.0,0.0,8.5,19.4,135.0,124.0,6.6,D.J. Augustin,ORL,False,True
gordoaa01,25.4,0.342,0.308,0.308,0.538,10.9,17.2,13.8,7.7,1.9,0.0,19.9,33.7,66.0,117.0,-13.2,Aaron Gordon,ORL,False,True
vucevni01,17.4,0.3,0.3,0.2,0.0,10.6,31.3,20.1,11.6,0.0,0.0,9.1,26.9,70.0,118.0,-11.7,Nikola Vučević,ORL,False,True
rosste01,31.816666666666666,0.505,0.455,0.545,0.182,0.0,13.7,6.3,5.8,1.5,3.1,20.2,19.9,82.0,116.0,-3.2,Terrence Ross,ORL,False,False
birchkh01,29.566666666666666,0.827,0.8,0.0,0.2,9.4,29.5,18.6,19.1,0.0,13.3,26.9,10.7,132.0,109.0,6.9,Khem Birch,ORL,False,False
cartemi01,18.2,0.557,0.2,0.2,1.4,0.0,0.0,0.0,44.9,5.3,0.0,11.0,21.3,125.0,112.0,7.7,Michael Carter-Williams,ORL,False,False
iwundwe01,11.95,0.833,0.7,0.6,1.0,0.0,18.3,8.4,0.0,4.1,0.0,0.0,25.7,172.0,111.0,21.4,Wesley Iwundu,ORL,False,False
frazime01,5.833333333333333,0.667,0.667,0.0,0.0,15.8,37.4,25.7,0.0,0.0,0.0,0.0,21.9,136.0,117.0,9.5,Melvin Frazier,ORL,False,False
martija01,5.766666666666667,0.0,,,,0.0,0.0,0.0,26.0,0.0,0.0,0.0,6.5,46.0,125.0,-4.3,Jarell Martin,ORL,False,False
grantje02,5.283333333333333,0.563,0.5,0.25,0.25,0.0,82.6,37.9,100.0,0.0,0.0,0.0,35.8,133.0,108.0,15.5,Jerian Grant,ORL,False,False
leonaka01,31.966666666666665,0.99,0.955,0.455,0.545,10.2,11.6,10.9,10.4,1.5,0.0,12.8,21.7,163.0,100.0,17.7,Kawhi Leonard,TOR,True,True
siakapa01,31.683333333333334,0.644,0.594,0.313,0.375,0.0,17.5,9.5,21.0,0.0,3.1,9.7,28.9,118.0,99.0,7.2,Pascal Siakam,TOR,True,True
greenda02,28.366666666666667,0.6,0.6,1.0,0.0,0.0,16.3,8.8,13.5,3.4,0.0,16.7,9.4,109.0,93.0,4.1,Danny Green,TOR,True,True
lowryky01,26.683333333333334,0.7,0.7,0.4,0.0,0.0,13.8,7.5,53.6,1.8,0.0,16.7,19.9,132.0,98.0,7.9,Kyle Lowry,TOR,True,True
gasolma01,24.016666666666666,0.666,0.5,0.6,0.8,4.5,30.7,18.7,10.8,0.0,4.1,22.8,16.2,115.0,93.0,1.3,Marc Gasol,TOR,True,True
vanvlfr01,21.283333333333335,0.438,0.438,0.5,0.0,0.0,4.3,2.3,65.9,0.0,0.0,20.0,20.8,110.0,105.0,1.3,Fred VanVleet,TOR,True,False
ibakase01,18.7,0.592,0.625,0.125,0.125,5.8,14.8,10.7,18.2,5.2,0.0,10.6,22.4,109.0,90.0,2.9,Serge Ibaka,TOR,True,False
powelno01,18.433333333333334,0.611,0.611,0.222,0.0,11.8,10.0,10.8,18.6,2.6,0.0,0.0,21.7,132.0,97.0,7.9,Norman Powell,TOR,True,False
meeksjo01,13.833333333333334,0.282,0.25,0.375,0.25,0.0,20.0,10.8,0.0,0.0,7.1,0.0,28.5,59.0,95.0,-16.4,Jodie Meeks,TOR,True,False
mccawpa01,8.083333333333334,0.0,0.0,1.0,0.0,13.5,11.4,12.4,0.0,6.0,0.0,0.0,5.5,73.0,89.0,-0.9,Patrick McCaw,TOR,True,False
linje01,5.833333333333333,0.532,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7,21.9,74.0,107.0,-15.8,Jeremy Lin,TOR,True,False
millema01,5.833333333333333,0.0,0.0,1.0,0.0,0.0,31.6,17.1,0.0,0.0,0.0,33.3,22.8,0.0,94.0,-31.6,Malcolm Miller,TOR,True,False
moreler01,5.283333333333333,0.0,0.0,0.0,0.0,0.0,17.5,9.5,0.0,0.0,0.0,0.0,8.4,0.0,100.0,-18.0,Eric Moreland,TOR,True,False
