player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,note,team_id,is_home,is_starter
thompkl01,39.9,0.446,0.425,0.25,0.15,3.2,9.3,6.7,19.2,2.4,4.8,15.8,28.4,85.0,100.0,-3.0,Klay Thompson,,GSW,False,True
greendr01,38.4,0.627,0.5,0.083,0.75,3.3,28.8,18.1,44.8,5.1,2.5,11.1,21.0,136.0,89.0,16.1,Draymond Green,,GSW,False,True
curryst01,37.28333333333333,0.601,0.538,0.615,0.346,0.0,14.9,8.6,14.4,0.0,0.0,14.3,42.0,103.0,106.0,1.5,Stephen Curry,,GSW,False,True
iguodan01,17.55,0.2,0.2,0.6,0.0,0.0,26.3,15.2,14.3,2.8,0.0,0.0,12.8,64.0,97.0,-6.2,Andre Iguodala,,GSW,False,True
jonesda03,3.283333333333333,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,103.0,-22.8,Damian Jones,,GSW,False,True
looneke01,27.3,0.8,0.8,0.0,0.0,4.6,6.8,5.9,5.2,0.0,3.5,16.7,9.8,132.0,107.0,0.1,Kevon Looney,,GSW,False,False
mckinal01,21.216666666666665,1.25,1.25,0.5,0.0,17.9,26.1,22.6,0.0,2.3,0.0,33.3,6.3,160.0,99.0,6.0,Alfonzo McKinnie,,GSW,False,False
livinsh01,17.333333333333332,0.773,0.667,0.0,0.667,0.0,0.0,0.0,7.8,2.8,0.0,0.0,10.0,164.0,104.0,2.2,Shaun Livingston,,GSW,False,False
belljo01,15.45,0.6,0.6,0.0,0.0,0.0,11.9,6.9,19.6,0.0,6.2,0.0,14.5,129.0,102.0,2.9,Jordan Bell,,GSW,False,False
cookqu01,10.716666666666667,0.75,0.75,0.0,0.0,0.0,8.6,5.0,0.0,0.0,0.0,0.0,16.7,140.0,107.0,-1.5,Quinn Cook,,GSW,False,False
jerebjo01,8.95,0.5,0.5,0.0,0.0,0.0,30.9,17.9,15.0,0.0,0.0,0.0,10.0,116.0,101.0,-0.7,Jonas Jerebko,,GSW,False,False
bogutan01,2.6166666666666667,,,,,48.3,35.3,40.8,0.0,0.0,0.0,,0.0,220.0,97.0,-5.6,Andrew Bogut,,GSW,False,False
evansja02,,,,,,,,,,,,,,,,,Jacob Evans,Did Not Play,GSW,False,False
lillada01,39.63333333333333,0.441,0.361,0.5,0.444,0.0,19.1,8.1,26.0,2.5,0.0,18.9,29.1,82.0,111.0,-4.3,Damian Lillard,,POR,True,True
mccolcj01,38.36666666666667,0.455,0.4,0.5,0.6,2.4,6.6,4.2,24.8,2.5,0.0,3.8,29.7,100.0,113.0,1.0,CJ McCollum,,POR,True,True
leoname01,31.133333333333333,0.643,0.625,0.583,0.083,0.0,12.2,5.1,24.9,0.0,0.0,0.0,17.4,135.0,118.0,5.3,Meyers Leonard,,POR,True,True
harklma01,25.766666666666666,0.444,0.4,0.2,0.8,3.6,9.8,6.2,12.3,3.8,6.4,0.0,11.4,109.0,105.0,4.0,Maurice Harkless,,POR,True,True
aminual01,12.533333333333333,0.5,0.5,0.5,0.0,0.0,70.5,29.8,25.4,0.0,0.0,33.3,10.4,87.0,109.0,1.0,Al-Farouq Aminu,,POR,True,True
curryse01,30.383333333333333,0.417,0.417,0.667,0.0,3.0,8.3,5.3,0.0,1.6,0.0,14.3,10.0,76.0,115.0,-8.6,Seth Curry,,POR,True,False
colliza01,20.283333333333335,0.436,0.417,0.167,0.333,18.2,24.9,21.0,16.2,0.0,4.1,12.7,16.9,106.0,112.0,-1.7,Zach Collins,,POR,True,False
turneev01,17.416666666666668,0.872,0.917,0.167,0.333,5.3,14.5,9.2,13.6,2.8,0.0,22.5,22.1,120.0,112.0,9.9,Evan Turner,,POR,True,False
hoodro01,17.216666666666665,0.387,0.333,0.333,0.667,0.0,0.0,0.0,0.0,2.8,0.0,0.0,9.8,81.0,114.0,-7.4,Rodney Hood,,POR,True,False
kanteen01,7.266666666666667,0.444,0.429,0.0,0.286,25.4,52.1,36.7,0.0,0.0,0.0,0.0,47.1,99.0,112.0,2.6,Enes Kanter,,POR,True,False
simonan01,,,,,,,,,,,,,,,,,Anfernee Simons,Did Not Play,POR,True,False
laymaja01,,,,,,,,,,,,,,,,,Jake Layman,Did Not Play,POR,True,False
labissk01,,,,,,,,,,,,,,,,,Skal Labissière,Did Not Play,POR,True,False
