player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,note,team_id,is_home,is_starter
dinwisp01,34.483333333333334,0.468,0.435,0.174,0.261,6.3,12.7,9.5,19.3,2.7,0.0,19.0,35.5,96.0,113.0,-10.0,Spencer Dinwiddie,,BRK,False,True
templga01,34.416666666666664,0.821,0.813,0.563,0.063,3.2,9.5,6.3,11.6,0.0,0.0,10.8,20.8,156.0,119.0,5.3,Garrett Temple,,BRK,False,True
princta02,31.233333333333334,0.767,0.767,0.467,0.0,3.5,17.5,10.5,17.0,3.0,0.0,6.3,19.8,161.0,112.0,12.4,Taurean Prince,,BRK,False,True
harrijo01,29.25,0.547,0.5,0.273,0.182,7.5,3.7,5.6,15.7,1.6,0.0,7.8,17.1,133.0,118.0,-0.2,Joe Harris,,BRK,False,True
allenja01,28.916666666666668,0.784,0.727,0.0,0.364,26.4,22.6,24.5,9.0,3.2,7.8,7.3,18.4,168.0,104.0,11.3,Jarrett Allen,,BRK,False,True
jordade01,19.083333333333332,0.694,0.5,0.0,1.0,5.7,45.7,25.7,10.6,0.0,3.9,41.0,9.9,107.0,111.0,-2.2,DeAndre Jordan,,BRK,False,False
shumpim01,18.75,0.333,0.333,0.667,0.0,11.6,23.3,17.5,5.4,0.0,0.0,0.0,6.2,126.0,117.0,-6.3,Iman Shumpert,,BRK,False,False
nwabada01,16.766666666666666,0.5,0.5,0.2,0.0,6.5,13.0,9.8,6.5,2.8,8.9,16.7,13.9,107.0,106.0,0.0,David Nwaba,,BRK,False,False
musadz01,13.583333333333334,0.342,0.167,0.333,0.5,0.0,8.0,4.0,15.2,0.0,0.0,0.0,20.9,108.0,120.0,-11.6,Džanan Musa,,BRK,False,False
pinsoth01,13.516666666666667,0.389,0.389,0.333,0.0,8.1,8.1,8.1,18.1,0.0,0.0,10.0,28.7,99.0,120.0,-12.0,Theo Pinson,,BRK,False,False
claxtni01,,,,,,,,,,,,,,,,,Nicolas Claxton,Did Not Play,BRK,False,False
youngtr01,37.25,0.712,0.674,0.391,0.435,2.9,5.9,4.4,41.2,1.3,0.0,18.0,37.3,126.0,132.0,7.4,Trae Young,,ATL,True,True
reddica01,36.9,0.699,0.706,0.412,0.118,5.9,11.8,8.9,0.0,3.8,1.9,0.0,20.2,141.0,122.0,7.0,Cam Reddish,,ATL,True,True
bembrde01,33.88333333333333,0.111,0.111,0.556,0.0,6.4,6.4,6.4,12.2,0.0,4.0,10.0,12.3,60.0,132.0,-13.2,DeAndre' Bembry,,ATL,True,True
parkeja01,29.383333333333333,0.556,0.556,0.111,0.0,0.0,11.1,5.6,0.0,0.0,0.0,25.0,17.0,78.0,132.0,-15.1,Jabari Parker,,ATL,True,True
jonesda03,28.433333333333334,0.836,1.0,0.0,1.125,7.7,23.0,15.3,4.9,0.0,2.4,7.7,19.0,154.0,126.0,2.9,Damian Jones,,ATL,True,True
turneev01,20.783333333333335,0.25,0.25,0.0,0.0,5.2,10.5,7.9,20.2,0.0,6.6,42.9,14.0,65.0,129.0,-8.6,Evan Turner,,ATL,True,False
lenal01,16.95,0.692,0.692,0.0,0.0,6.4,38.6,22.5,37.7,5.5,4.0,0.0,31.9,145.0,106.0,18.3,Alex Len,,ATL,True,False
huertke01,15.433333333333334,0.0,0.0,0.5,0.0,0.0,7.1,3.5,13.0,3.0,4.4,0.0,5.4,58.0,125.0,-5.7,Kevin Huerter,,ATL,True,False
cartevi01,11.433333333333334,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.3,102.0,134.0,-7.1,Vince Carter,,ATL,True,False
wallaty01,3.95,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,11.8,0.0,33.3,31.6,0.0,110.0,-31.7,Tyrone Wallace,,ATL,True,False
goodwbr01,2.9833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,27.9,0.0,137.0,-45.1,Brandon Goodwin,,ATL,True,False
fernabr01,2.6166666666666667,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,137.0,-10.2,Bruno Fernando,,ATL,True,False
brownch02,,,,,,,,,,,,,,,,,Charlie Brown,Did Not Play,ATL,True,False
