player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,team_id,is_home,is_starter,note
holidaa01,32.233333333333334,0.5,0.5,0.455,0.0,2.7,2.8,2.7,15.1,2.9,0.0,8.3,15.5,99.0,118.0,-1.9,Aaron Holiday,IND,False,True,
sabondo01,30.966666666666665,0.578,0.563,0.125,0.063,5.6,45.9,25.6,31.5,3.0,5.2,5.7,23.5,116.0,95.0,16.5,Domantas Sabonis,IND,False,True,
brogdma01,29.866666666666667,0.263,0.263,0.211,0.0,0.0,8.9,4.4,55.5,1.6,0.0,20.8,33.5,61.0,119.0,-10.2,Malcolm Brogdon,IND,False,True,
warretj01,26.25,0.346,0.346,0.385,0.0,10.0,0.0,5.0,0.0,0.0,3.0,7.1,22.2,72.0,124.0,-8.3,T.J. Warren,IND,False,True,
turnemy01,21.983333333333334,0.619,0.625,0.625,0.25,0.0,20.2,10.0,7.7,2.1,3.6,0.0,16.8,120.0,110.0,7.2,Myles Turner,IND,False,True,
mcderdo01,25.766666666666666,0.833,0.833,0.667,0.0,3.4,6.9,5.1,0.0,0.0,0.0,0.0,14.6,151.0,123.0,4.9,Doug McDermott,IND,False,False,
holidju01,23.633333333333333,0.3,0.3,0.8,0.0,0.0,7.5,3.7,5.8,2.0,0.0,16.7,10.6,56.0,118.0,-8.5,Justin Holiday,IND,False,False,
sumneed01,19.033333333333335,0.214,0.214,0.714,0.0,9.2,9.3,9.3,21.9,0.0,0.0,12.5,17.5,66.0,122.0,-8.9,Edmond Sumner,IND,False,False,
mccontj01,14.283333333333333,0.357,0.357,0.286,0.0,6.1,12.4,9.2,44.4,0.0,0.0,22.2,26.3,76.0,121.0,-5.6,T.J. McConnell,IND,False,False,
bitadgo01,8.316666666666666,0.0,0.0,0.333,0.0,0.0,21.4,10.6,0.0,0.0,9.6,25.0,20.0,0.0,111.0,-24.0,Goga Bitadze,IND,False,False,
sampsja02,4.766666666666667,1.0,1.0,0.0,0.0,0.0,55.9,27.7,0.0,0.0,0.0,0.0,8.7,200.0,101.0,1.9,JaKarr Sampson,IND,False,False,
leaftj01,2.9,0.266,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,60.0,126.0,-15.1,T.J. Leaf,IND,False,False,
antetgi01,30.916666666666668,0.503,0.5,0.176,0.118,14.4,39.5,27.1,44.2,3.1,5.2,18.3,28.2,108.0,76.0,12.5,Giannis Antetokounmpo,MIL,True,True,
middlkh01,29.733333333333334,0.482,0.458,0.25,0.083,0.0,11.7,5.9,22.5,1.6,2.7,13.9,19.3,100.0,91.0,-1.0,Khris Middleton,MIL,True,True,
matthwe02,27.85,0.779,0.7,0.8,0.5,0.0,3.1,1.6,4.9,3.4,2.9,7.6,18.9,147.0,89.0,10.9,Wesley Matthews,MIL,True,True,
lopezbr01,26.666666666666668,0.715,0.682,0.545,0.182,6.7,19.6,13.2,10.8,0.0,6.0,0.0,17.7,155.0,89.0,12.2,Brook Lopez,MIL,True,True,
divindo01,24.666666666666668,0.286,0.286,0.286,0.0,7.2,7.1,7.1,14.6,3.8,6.5,0.0,11.3,98.0,84.0,1.9,Donte DiVincenzo,MIL,True,True,
hillge01,21.966666666666665,0.781,0.75,0.6,0.2,4.0,31.8,18.0,28.3,2.1,0.0,8.4,21.5,151.0,85.0,16.4,George Hill,MIL,True,False,
connapa01,19.916666666666668,0.403,0.357,0.571,0.143,4.5,13.1,8.8,6.2,0.0,0.0,11.8,16.9,88.0,96.0,-7.4,Pat Connaughton,MIL,True,False,
korveky01,17.816666666666666,0.188,0.188,0.625,0.0,5.0,14.7,9.9,13.0,0.0,4.5,0.0,17.9,67.0,92.0,-8.2,Kyle Korver,MIL,True,False,
lopezro01,17.783333333333335,0.813,0.813,0.125,0.0,10.0,4.9,7.4,19.4,2.7,0.0,0.0,17.9,169.0,93.0,14.6,Robin Lopez,MIL,True,False,
ilyaser01,15.016666666666667,0.19,0.143,0.429,0.286,5.9,17.4,11.7,7.8,3.1,0.0,0.0,20.9,62.0,87.0,-10.8,Ersan İlyasova,MIL,True,False,
masonfr01,4.766666666666667,0.129,0.0,0.667,0.667,18.6,0.0,9.2,22.9,0.0,0.0,0.0,32.4,63.0,101.0,-17.2,Frank Mason,MIL,True,False,
wilsodj01,2.9,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,100.0,99.0,-9.5,D.J. Wilson,MIL,True,False,
brownst02,,,,,,,,,,,,,,,,,Sterling Brown,MIL,True,False,Did Not Play
