player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,team_id,is_home,is_starter,note
gordoaa01,33.8,0.433,0.433,0.2,0.0,2.9,25.8,12.1,0.0,0.0,2.8,0.0,20.8,90.0,128.0,-6.8,Aaron Gordon,ORL,False,True,
vucevni01,32.81666666666667,0.421,0.4,0.333,0.067,9.0,39.9,21.4,22.8,1.6,2.9,0.0,22.1,105.0,123.0,1.8,Nikola Vučević,ORL,False,True,
fournev01,30.633333333333333,0.324,0.269,0.538,0.154,3.2,14.2,7.6,44.3,1.7,0.0,12.6,24.3,84.0,128.0,-7.2,Evan Fournier,ORL,False,True,
fultzma01,29.133333333333333,0.436,0.417,0.167,0.333,0.0,20.0,8.0,46.6,3.7,0.0,12.7,25.4,94.0,123.0,-2.4,Markelle Fultz,ORL,False,True,
birchkh01,26.1,0.658,0.5,0.0,0.75,7.5,11.1,9.0,0.0,2.0,0.0,0.0,9.6,150.0,127.0,-3.3,Khem Birch,ORL,False,True,
rosste01,28.316666666666666,0.393,0.393,0.714,0.0,0.0,15.4,6.2,0.0,0.0,3.3,0.0,23.2,80.0,128.0,-9.0,Terrence Ross,ORL,False,False,
cartemi01,21.0,0.615,0.5,0.167,0.5,4.7,0.0,2.8,8.7,0.0,4.5,0.0,16.3,137.0,128.0,-0.2,Michael Carter-Williams,ORL,False,False,
iwundwe01,15.466666666666667,0.6,0.6,1.0,0.0,6.3,0.0,3.8,23.2,3.4,0.0,0.0,15.2,135.0,125.0,6.0,Wesley Iwundu,ORL,False,False,
bambamo01,12.666666666666666,1.289,1.333,0.667,0.667,15.5,11.5,13.9,17.5,0.0,14.9,20.5,18.1,183.0,116.0,19.8,Mohamed Bamba,ORL,False,False,
frazime01,2.5166666666666666,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,133.0,-12.5,Melvin Frazier,ORL,False,False,
lawvi01,2.5166666666666666,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,133.0,-40.2,Vic Law,ORL,False,False,
johnsbj01,2.5166666666666666,0.532,0.0,1.0,2.0,0.0,100.0,46.5,0.0,0.0,0.0,0.0,35.0,123.0,125.0,2.7,B.J. Johnson,ORL,False,False,
jeffeam01,2.5166666666666666,,,,,0.0,0.0,0.0,0.0,21.2,0.0,,0.0,0.0,84.0,10.8,Amile Jefferson,ORL,False,False,
robindu01,33.416666666666664,0.918,0.909,0.818,0.091,0.0,14.7,8.8,4.5,0.0,0.0,20.8,21.6,118.0,107.0,2.9,Duncan Robinson,MIA,True,True,
adebaba01,32.28333333333333,0.625,0.625,0.063,0.0,0.0,30.3,18.1,54.8,1.7,0.0,5.9,26.3,134.0,97.0,14.2,Bam Adebayo,MIA,True,True,
butleji01,30.433333333333334,0.72,0.636,0.0,0.455,9.6,3.2,5.8,35.7,1.8,3.0,0.0,21.7,164.0,106.0,12.8,Jimmy Butler,MIA,True,True,
herroty01,30.033333333333335,0.528,0.455,0.455,0.273,0.0,13.0,7.8,4.5,0.0,9.2,14.0,23.8,89.0,102.0,-2.7,Tyler Herro,MIA,True,True,
leoname01,20.016666666666666,1.25,1.25,0.5,0.0,0.0,39.2,23.4,0.0,0.0,0.0,0.0,5.0,250.0,97.0,2.4,Meyers Leonard,MIA,True,True,
dragigo01,25.766666666666666,0.778,0.778,0.667,0.0,0.0,0.0,0.0,28.5,0.0,0.0,18.2,21.3,125.0,113.0,2.3,Goran Dragić,MIA,True,False,
olynyke01,24.766666666666666,0.488,0.333,0.167,0.833,0.0,11.9,7.1,10.2,0.0,11.2,0.0,16.5,111.0,101.0,-2.1,Kelly Olynyk,MIA,True,False,
jonesde02,22.3,0.581,0.5,0.333,0.333,6.5,4.4,5.2,6.1,0.0,0.0,0.0,15.4,128.0,112.0,-4.1,Derrick Jones,MIA,True,False,
johnsja01,13.0,0.333,0.333,0.0,0.0,0.0,30.1,18.0,19.3,0.0,14.2,40.0,19.2,60.0,91.0,-5.4,James Johnson,MIA,True,False,
waitedi01,5.583333333333333,0.5,0.5,0.667,0.0,0.0,35.1,21.0,51.5,0.0,0.0,0.0,26.9,122.0,99.0,12.5,Dion Waiters,MIA,True,False,
vincega01,1.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6,0.0,114.0,-52.6,Gabe Vincent,MIA,True,False,
silvach01,1.2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,112.0,-23.6,Chris Silva,MIA,True,False,
hasleud01,,,,,,,,,,,,,,,,,Udonis Haslem,MIA,True,False,Did Not Play
