player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,note,team_id,is_home,is_starter
crowdja01,27.766666666666666,0.517,0.364,0.364,0.727,6.6,13.3,9.5,4.5,3.3,0.0,6.4,22.7,111.0,130.0,-2.2,Jae Crowder,,MEM,False,True
brookdi01,26.833333333333332,0.326,0.25,0.357,0.214,3.4,9.2,5.9,9.0,1.7,5.9,6.1,24.6,76.0,132.0,-6.4,Dillon Brooks,,MEM,False,True
moranja01,26.75,0.621,0.625,0.25,0.167,0.0,4.6,2.0,16.6,0.0,0.0,13.4,22.5,113.0,140.0,-3.9,Ja Morant,,MEM,False,True
valanjo01,26.733333333333334,0.67,0.654,0.231,0.077,13.8,18.4,15.8,0.0,1.7,11.8,6.9,21.9,133.0,126.0,3.3,Jonas Valančiūnas,,MEM,False,True
hillso01,25.7,0.51,0.5,0.8,0.4,3.6,9.6,6.2,4.5,0.0,0.0,25.4,12.4,86.0,138.0,-11.6,Solomon Hill,,MEM,False,True
jacksjo02,28.85,0.45,0.464,0.357,0.071,6.4,12.8,9.1,4.8,1.6,0.0,6.5,21.7,95.0,134.0,-6.5,Josh Jackson,,MEM,False,False
anderky01,23.766666666666666,0.625,0.722,0.222,0.556,3.9,25.9,13.3,18.4,1.9,6.6,15.2,22.5,112.0,126.0,4.9,Kyle Anderson,,MEM,False,False
jonesty01,21.25,0.556,0.556,0.222,0.0,0.0,5.8,2.5,20.1,6.4,0.0,10.0,19.1,110.0,125.0,3.3,Tyus Jones,,MEM,False,False
meltode01,17.3,0.444,0.429,0.286,0.286,0.0,7.1,3.0,7.6,2.6,0.0,0.0,18.5,98.0,133.0,-6.5,De'Anthony Melton,,MEM,False,False
konchjo01,8.333333333333334,0.5,0.5,0.5,0.0,0.0,14.8,6.3,29.4,0.0,0.0,0.0,9.7,130.0,137.0,0.3,John Konchar,,MEM,False,False
watanyu01,6.716666666666667,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,141.0,-16.4,Yuta Watanabe,,MEM,False,False
jacksja02,,,,,,,,,,,,,,,,,Jaren Jackson,Did Not Play,MEM,False,False
gudurma01,,,,,,,,,,,,,,,,,Marko Guduric,Did Not Play,MEM,False,False
balllo01,33.15,0.95,0.95,0.7,0.0,7.4,11.1,9.5,28.3,1.4,0.0,37.5,18.5,128.0,108.0,8.4,Lonzo Ball,,NOP,True,True
willizi01,28.716666666666665,0.648,0.6,0.0,0.533,17.1,6.4,11.0,13.9,0.0,0.0,5.1,26.0,147.0,111.0,3.5,Zion Williamson,,NOP,True,True
holidjr01,25.733333333333334,0.551,0.533,0.333,0.2,4.8,10.8,8.2,29.5,5.3,5.7,5.8,25.8,136.0,95.0,12.2,Jrue Holiday,,NOP,True,True
ingrabr01,24.066666666666666,0.622,0.5,0.385,0.538,10.2,19.2,15.3,20.4,1.9,0.0,5.9,27.2,148.0,105.0,8.3,Brandon Ingram,,NOP,True,True
favorde01,19.566666666666666,0.902,1.0,0.0,0.667,25.2,28.3,27.0,5.6,2.3,0.0,20.5,9.5,157.0,102.0,6.7,Derrick Favors,,NOP,True,True
hartjo01,27.8,0.739,0.714,0.571,0.143,8.9,29.9,20.9,0.0,0.0,2.7,21.2,13.0,124.0,103.0,-1.3,Josh Hart,,NOP,True,False
mooreet01,18.916666666666668,0.385,0.385,0.308,0.0,6.5,0.0,2.8,19.9,0.0,3.9,7.1,28.3,102.0,109.0,-11.0,E'Twaun Moore,,NOP,True,False
mellini01,17.983333333333334,1.0,1.0,0.6,0.0,0.0,25.7,14.7,13.2,0.0,0.0,0.0,10.6,208.0,106.0,8.7,Nicolò Melli,,NOP,True,False
redicjj01,17.016666666666666,0.784,0.688,0.625,0.625,0.0,10.8,6.2,7.1,2.7,0.0,16.4,27.4,142.0,104.0,6.0,J.J. Redick,,NOP,True,False
hayesja02,14.766666666666667,1.0,1.0,0.0,0.0,0.0,18.8,10.7,7.3,0.0,0.0,0.0,5.2,206.0,109.0,2.4,Jaxson Hayes,,NOP,True,False
jacksfr01,6.416666666666667,0.0,0.0,0.0,0.0,0.0,14.4,8.2,0.0,0.0,0.0,50.0,11.9,0.0,109.0,-20.7,Frank Jackson,,NOP,True,False
alexani01,5.85,0.0,0.0,0.333,0.0,0.0,15.8,9.0,16.1,7.8,0.0,50.0,39.2,14.0,94.0,-34.3,Nickeil Alexander-Walker,,NOP,True,False
okafoja01,,,,,,,,,,,,,,,,,Jahlil Okafor,Did Not Play,NOP,True,False
