player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
cartemi01,35.28333333333333,3.0,8.0,0.375,1.0,1.0,1.0,1.0,2.0,0.5,0.0,5.0,5.0,7.0,5.0,2.0,6.0,4.0,8.0,12.0,Michael Carter-Williams,,MIL,False,True
middlkh01,34.25,5.0,16.0,0.313,1.0,6.0,0.167,2.0,2.0,1.0,0.0,7.0,7.0,3.0,1.0,0.0,2.0,2.0,13.0,3.0,Khris Middleton,,MIL,False,True
pachuza01,29.733333333333334,4.0,10.0,0.4,0.0,0.0,,3.0,6.0,0.5,3.0,5.0,8.0,5.0,0.0,1.0,3.0,1.0,11.0,13.0,Zaza Pachulia,,MIL,False,True
antetgi01,27.266666666666666,5.0,8.0,0.625,0.0,0.0,,1.0,2.0,0.5,0.0,3.0,3.0,3.0,0.0,0.0,3.0,5.0,11.0,2.0,Giannis Antetokounmpo,,MIL,False,True
ilyaser01,25.716666666666665,8.0,14.0,0.571,1.0,5.0,0.2,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,1.0,0.0,3.0,17.0,7.0,Ersan İlyasova,,MIL,False,True
mayooj01,29.366666666666667,9.0,13.0,0.692,4.0,6.0,0.667,2.0,4.0,0.5,1.0,4.0,5.0,6.0,2.0,1.0,1.0,1.0,24.0,13.0,O.J. Mayo,,MIL,False,False
dudleja01,23.233333333333334,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,,0.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,10.0,-2.0,Jared Dudley,,MIL,False,False
bayleje01,18.566666666666666,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,6.0,-5.0,Jerryd Bayless,,MIL,False,False
hensojo01,16.583333333333332,5.0,5.0,1.0,0.0,0.0,,0.0,0.0,,2.0,6.0,8.0,0.0,0.0,1.0,2.0,0.0,10.0,2.0,John Henson,,MIL,False,False
ennisty01,,,,,,,,,,,,,,,,,,,,,Tyler Ennis,Did Not Play,MIL,False,False
obryajo01,,,,,,,,,,,,,,,,,,,,,Johnny O'Bryant,Did Not Play,MIL,False,False
plumlmi01,,,,,,,,,,,,,,,,,,,,,Miles Plumlee,Did Not Play,MIL,False,False
bradlav01,33.65,7.0,15.0,0.467,3.0,7.0,0.429,0.0,0.0,,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,17.0,-10.0,Avery Bradley,,BOS,True,True
smartma01,28.783333333333335,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,2.0,-16.0,Marcus Smart,,BOS,True,True
turneev01,27.7,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,,1.0,5.0,6.0,6.0,1.0,1.0,3.0,1.0,6.0,-5.0,Evan Turner,,BOS,True,True
bassbr01,26.3,5.0,12.0,0.417,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,3.0,12.0,-17.0,Brandon Bass,,BOS,True,True
zellety01,23.666666666666668,3.0,9.0,0.333,0.0,0.0,,2.0,2.0,1.0,2.0,5.0,7.0,3.0,0.0,1.0,0.0,1.0,8.0,-5.0,Tyler Zeller,,BOS,True,True
thomais02,26.266666666666666,7.0,12.0,0.583,2.0,5.0,0.4,7.0,8.0,0.875,0.0,1.0,1.0,6.0,0.0,0.0,5.0,4.0,23.0,-2.0,Isaiah Thomas,,BOS,True,False
jerebjo01,20.833333333333332,7.0,10.0,0.7,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,2.0,0.0,1.0,2.0,17.0,12.0,Jonas Jerebko,,BOS,True,False
olynyke01,19.05,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,4.0,1.0,3.0,0.0,2.0,1.0,5.0,5.0,Kelly Olynyk,,BOS,True,False
crowdja01,18.866666666666667,3.0,8.0,0.375,1.0,3.0,0.333,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,9.0,-4.0,Jae Crowder,,BOS,True,False
datomlu01,8.75,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Luigi Datome,,BOS,True,False
sullija01,3.2,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-7.0,Jared Sullinger,,BOS,True,False
pressph01,2.95,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,Phil Pressey,,BOS,True,False
wallage01,,,,,,,,,,,,,,,,,,,,,Gerald Wallace,Did Not Play,BOS,True,False
