player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
gallida01,27.316666666666666,3.0,13.0,0.231,2.0,5.0,0.4,7.0,8.0,0.875,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,15.0,-31.0,Danilo Gallinari,DEN,False,True
mudiaem01,26.866666666666667,3.0,14.0,0.214,0.0,3.0,0.0,0.0,0.0,,1.0,3.0,4.0,5.0,1.0,0.0,4.0,1.0,6.0,-20.0,Emmanuel Mudiay,DEN,False,True
harriga01,26.683333333333334,2.0,5.0,0.4,1.0,2.0,0.5,2.0,3.0,0.667,1.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,7.0,-22.0,Gary Harris,DEN,False,True
lauvejo01,18.833333333333332,4.0,6.0,0.667,2.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,7.0,3.0,1.0,0.0,1.0,3.0,11.0,-17.0,Joffrey Lauvergne,DEN,False,True
farieke01,14.166666666666666,4.0,6.0,0.667,0.0,0.0,,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,8.0,-18.0,Kenneth Faried,DEN,False,True
nelsoja01,27.05,5.0,13.0,0.385,2.0,5.0,0.4,1.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,0.0,2.0,3.0,13.0,-6.0,Jameer Nelson,DEN,False,False
jokicni01,24.433333333333334,4.0,9.0,0.444,0.0,0.0,,0.0,0.0,,3.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,8.0,-2.0,Nikola Jokić,DEN,False,False
bartowi01,24.25,6.0,12.0,0.5,1.0,3.0,0.333,2.0,3.0,0.667,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,15.0,5.0,Will Barton,DEN,False,False
arthuda01,24.133333333333333,3.0,7.0,0.429,0.0,0.0,,0.0,0.0,,2.0,2.0,4.0,1.0,1.0,1.0,0.0,5.0,6.0,-15.0,Darrell Arthur,DEN,False,False
foyera01,16.15,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,-1.0,Randy Foye,DEN,False,False
greener01,4.45,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Erick Green,DEN,False,False
hicksjj01,2.9166666666666665,0.0,0.0,,0.0,0.0,,1.0,2.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,J.J. Hickson,DEN,False,False
millemi01,2.75,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,Mike Miller,DEN,False,False
ibakase01,30.833333333333332,8.0,13.0,0.615,0.0,0.0,,2.0,3.0,0.667,1.0,6.0,7.0,4.0,0.0,5.0,1.0,3.0,18.0,27.0,Serge Ibaka,OKC,True,True
duranke01,27.733333333333334,8.0,11.0,0.727,3.0,5.0,0.6,6.0,6.0,1.0,0.0,2.0,2.0,5.0,0.0,1.0,2.0,2.0,25.0,17.0,Kevin Durant,OKC,True,True
westbru01,25.433333333333334,7.0,13.0,0.538,1.0,4.0,0.25,0.0,0.0,,2.0,7.0,9.0,8.0,3.0,0.0,4.0,0.0,15.0,22.0,Russell Westbrook,OKC,True,True
adamsst01,21.533333333333335,1.0,3.0,0.333,0.0,0.0,,0.0,2.0,0.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,4.0,2.0,24.0,Steven Adams,OKC,True,True
roberan03,20.35,4.0,7.0,0.571,1.0,3.0,0.333,1.0,2.0,0.5,1.0,6.0,7.0,1.0,1.0,0.0,1.0,3.0,10.0,16.0,Andre Roberson,OKC,True,True
waitedi01,23.916666666666668,3.0,8.0,0.375,1.0,2.0,0.5,3.0,3.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0,9.0,Dion Waiters,OKC,True,False
singlky01,19.933333333333334,1.0,7.0,0.143,1.0,2.0,0.5,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,2.0,1.0,5.0,3.0,7.0,Kyle Singler,OKC,True,False
augusdj01,18.116666666666667,5.0,8.0,0.625,4.0,5.0,0.8,0.0,0.0,,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,14.0,3.0,D.J. Augustin,OKC,True,False
kanteen01,17.583333333333332,6.0,11.0,0.545,0.0,0.0,,0.0,0.0,,3.0,7.0,10.0,1.0,0.0,0.0,6.0,5.0,12.0,-3.0,Enes Kanter,OKC,True,False
morroan01,15.8,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,Anthony Morrow,OKC,True,False
collini01,9.866666666666667,0.0,0.0,,0.0,0.0,,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,-2.0,Nick Collison,OKC,True,False
mcgarmi01,4.45,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,Mitch McGary,OKC,True,False
payneca01,4.45,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,-1.0,Cameron Payne,OKC,True,False
