player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
lopezbr01,36.0,11.0,16.0,0.688,0.0,0.0,,5.0,7.0,0.714,5.0,6.0,11.0,3.0,0.0,1.0,2.0,1.0,27.0,-6.0,Brook Lopez,,BRK,False,True
youngth01,33.93333333333333,7.0,13.0,0.538,0.0,1.0,0.0,0.0,0.0,,4.0,5.0,9.0,3.0,1.0,1.0,4.0,3.0,14.0,-11.0,Thaddeus Young,,BRK,False,True
johnsjo02,29.9,1.0,10.0,0.1,0.0,3.0,0.0,3.0,4.0,0.75,2.0,4.0,6.0,6.0,0.0,0.0,1.0,1.0,5.0,-3.0,Joe Johnson,,BRK,False,True
jackja01,27.133333333333333,3.0,10.0,0.3,0.0,2.0,0.0,0.0,0.0,,2.0,3.0,5.0,5.0,0.0,1.0,2.0,5.0,6.0,-3.0,Jarrett Jack,,BRK,False,True
brownma02,19.7,2.0,6.0,0.333,2.0,6.0,0.333,0.0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,6.0,-6.0,Markel Brown,,BRK,False,True
bogdabo02,24.933333333333334,5.0,11.0,0.455,2.0,4.0,0.5,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,12.0,-19.0,Bojan Bogdanović,,BRK,False,False
ellinwa01,18.1,4.0,8.0,0.5,1.0,4.0,0.25,0.0,0.0,,1.0,3.0,4.0,2.0,2.0,0.0,0.0,1.0,9.0,-11.0,Wayne Ellington,,BRK,False,False
larkish01,16.516666666666666,1.0,3.0,0.333,0.0,0.0,,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,2.0,4.0,-8.0,Shane Larkin,,BRK,False,False
holliro01,11.416666666666666,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,13.0,Rondae Hollis-Jefferson,,BRK,False,False
bargnan01,10.383333333333333,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,-8.0,Andrea Bargnani,,BRK,False,False
robinth01,10.366666666666667,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-8.0,Thomas Robinson,,BRK,False,False
karasse01,1.6166666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sergey Karasev,,BRK,False,False
sloando01,,,,,,,,,,,,,,,,,,,,,Donald Sloan,Did Not Play,BRK,False,False
millspa01,30.6,5.0,10.0,0.5,1.0,4.0,0.25,1.0,2.0,0.5,1.0,8.0,9.0,3.0,5.0,0.0,1.0,3.0,12.0,9.0,Paul Millsap,,ATL,True,True
horfoal01,29.9,8.0,10.0,0.8,1.0,1.0,1.0,4.0,4.0,1.0,3.0,5.0,8.0,4.0,0.0,2.0,0.0,0.0,21.0,-2.0,Al Horford,,ATL,True,True
schrode01,28.233333333333334,7.0,15.0,0.467,3.0,6.0,0.5,3.0,4.0,0.75,1.0,2.0,3.0,4.0,1.0,0.0,4.0,2.0,20.0,11.0,Dennis Schröder,,ATL,True,True
teaguje01,28.183333333333334,4.0,8.0,0.5,0.0,2.0,0.0,8.0,10.0,0.8,0.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,16.0,-3.0,Jeff Teague,,ATL,True,True
bazemke01,27.45,3.0,6.0,0.5,2.0,3.0,0.667,0.0,0.0,,0.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,8.0,7.0,Kent Bazemore,,ATL,True,True
holidju01,29.1,3.0,9.0,0.333,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,6.0,17.0,Justin Holiday,,ATL,True,False
sefolth01,21.666666666666668,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,6.0,10.0,Thabo Sefolosha,,ATL,True,False
splitti01,19.8,4.0,7.0,0.571,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,2.0,1.0,0.0,2.0,4.0,8.0,21.0,Tiago Splitter,,ATL,True,False
scottmi01,14.083333333333334,1.0,3.0,0.333,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,Mike Scott,,ATL,True,False
macksh01,7.75,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Shelvin Mack,,ATL,True,False
pattela01,1.6166666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lamar Patterson,,ATL,True,False
muscami01,1.6166666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike Muscala,,ATL,True,False
hardati02,,,,,,,,,,,,,,,,,,,,,Tim Hardaway,Did Not Play,ATL,True,False
