player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
thornma01,42.233333333333334,6.0,16.0,0.375,4.0,10.0,0.4,0.0,0.0,,4.0,3.0,7.0,2.0,1.0,0.0,1.0,5.0,16.0,19.0,Marcus Thornton,,HOU,False,True
hardeja01,41.85,13.0,23.0,0.565,4.0,10.0,0.4,13.0,16.0,0.813,2.0,4.0,6.0,13.0,2.0,0.0,7.0,0.0,43.0,24.0,James Harden,,HOU,False,True
lawsoty01,40.916666666666664,5.0,12.0,0.417,3.0,6.0,0.5,0.0,0.0,,2.0,3.0,5.0,2.0,2.0,0.0,3.0,4.0,13.0,15.0,Ty Lawson,,HOU,False,True
arizatr01,37.333333333333336,6.0,13.0,0.462,4.0,8.0,0.5,2.0,2.0,1.0,1.0,7.0,8.0,1.0,2.0,0.0,1.0,4.0,18.0,27.0,Trevor Ariza,,HOU,False,True
capelca01,26.333333333333332,6.0,8.0,0.75,0.0,0.0,,1.0,3.0,0.333,2.0,10.0,12.0,2.0,0.0,4.0,2.0,5.0,13.0,19.0,Clint Capela,,HOU,False,True
breweco01,16.616666666666667,1.0,1.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,-31.0,Corey Brewer,,HOU,False,False
hayesch01,14.516666666666667,1.0,2.0,0.5,0.0,0.0,,2.0,2.0,1.0,0.0,7.0,7.0,2.0,0.0,0.0,3.0,4.0,4.0,-2.0,Chuck Hayes,,HOU,False,False
terryja01,13.266666666666667,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,-25.0,Jason Terry,,HOU,False,False
harremo01,6.6,1.0,4.0,0.25,0.0,0.0,,1.0,2.0,0.5,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,-10.0,Montrezl Harrell,,HOU,False,False
dekkesa01,0.16666666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,Sam Dekker,,HOU,False,False
mcdankj01,0.16666666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,K.J. McDaniels,,HOU,False,False
howardw01,,,,,,,,,,,,,,,,,,,,,Dwight Howard,Did Not Dress,HOU,False,False
gayru01,25.65,5.0,15.0,0.333,1.0,2.0,0.5,4.0,6.0,0.667,1.0,4.0,5.0,2.0,1.0,0.0,2.0,4.0,15.0,-23.0,Rudy Gay,,SAC,True,True
koufoko01,25.25,3.0,7.0,0.429,0.0,0.0,,0.0,0.0,,4.0,3.0,7.0,0.0,1.0,1.0,1.0,3.0,6.0,-32.0,Kosta Koufos,,SAC,True,True
rondora01,24.4,6.0,14.0,0.429,0.0,2.0,0.0,0.0,0.0,,3.0,5.0,8.0,5.0,3.0,0.0,4.0,1.0,12.0,-17.0,Rajon Rondo,,SAC,True,True
belinma01,23.033333333333335,2.0,10.0,0.2,0.0,5.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,-23.0,Marco Belinelli,,SAC,True,True
anderja01,17.8,0.0,4.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,-18.0,James Anderson,,SAC,True,True
casspom01,32.71666666666667,8.0,10.0,0.8,2.0,3.0,0.667,4.0,5.0,0.8,1.0,3.0,4.0,1.0,2.0,0.0,2.0,4.0,22.0,22.0,Omri Casspi,,SAC,True,False
collida01,31.333333333333332,7.0,16.0,0.438,3.0,6.0,0.5,5.0,6.0,0.833,0.0,0.0,0.0,9.0,2.0,0.0,3.0,1.0,22.0,17.0,Darren Collison,,SAC,True,False
mclembe01,22.633333333333333,3.0,8.0,0.375,1.0,5.0,0.2,4.0,6.0,0.667,0.0,4.0,4.0,4.0,3.0,0.0,3.0,2.0,11.0,12.0,Ben McLemore,,SAC,True,False
caulewi01,22.033333333333335,3.0,5.0,0.6,0.0,0.0,,1.0,2.0,0.5,4.0,5.0,9.0,1.0,2.0,2.0,0.0,4.0,7.0,22.0,Willie Cauley-Stein,,SAC,True,False
curryse01,15.15,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,10.0,Seth Curry,,SAC,True,False
acyqu01,,,,,,,,,,,,,,,,,,,,,Quincy Acy,Did Not Play,SAC,True,False
butleca01,,,,,,,,,,,,,,,,,,,,,Caron Butler,Did Not Play,SAC,True,False
moreler01,,,,,,,,,,,,,,,,,,,,,Eric Moreland,Did Not Play,SAC,True,False
