player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
curryst01,30.816666666666666,14.0,18.0,0.778,8.0,11.0,0.727,4.0,4.0,1.0,0.0,3.0,3.0,5.0,0.0,0.0,5.0,2.0,40.0,19.0,Stephen Curry,GSW,False,True
greendr01,30.816666666666666,2.0,9.0,0.222,0.0,4.0,0.0,0.0,2.0,0.0,0.0,11.0,11.0,9.0,0.0,3.0,5.0,2.0,4.0,19.0,Draymond Green,GSW,False,True
thompkl01,29.1,8.0,18.0,0.444,4.0,10.0,0.4,1.0,2.0,0.5,0.0,3.0,3.0,0.0,1.0,1.0,2.0,3.0,21.0,9.0,Klay Thompson,GSW,False,True
bogutan01,22.833333333333332,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,3.0,8.0,11.0,2.0,0.0,1.0,0.0,0.0,4.0,15.0,Andrew Bogut,GSW,False,True
rushbr01,20.466666666666665,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,8.0,8.0,Brandon Rush,GSW,False,True
livinsh01,24.966666666666665,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,7.0,0.0,0.0,0.0,3.0,6.0,4.0,Shaun Livingston,GSW,False,False
iguodan01,19.1,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,,3.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,8.0,11.0,Andre Iguodala,GSW,False,False
ezelife01,16.166666666666668,3.0,7.0,0.429,0.0,0.0,,3.0,3.0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,1.0,3.0,9.0,8.0,Festus Ezeli,GSW,False,False
speigma01,11.233333333333333,3.0,7.0,0.429,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,6.0,2.0,Marreese Speights,GSW,False,False
barbole01,11.233333333333333,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,Leandro Barbosa,GSW,False,False
mcadoja01,9.0,3.0,6.0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,-6.0,James Michael McAdoo,GSW,False,False
clarkia01,8.316666666666666,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,-2.0,Ian Clark,GSW,False,False
thompja02,5.95,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,-4.0,Jason Thompson,GSW,False,False
walkeke02,30.816666666666666,2.0,16.0,0.125,0.0,5.0,0.0,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,4.0,-19.0,Kemba Walker,CHO,True,True
batumni01,30.2,6.0,15.0,0.4,1.0,6.0,0.167,4.0,5.0,0.8,2.0,6.0,8.0,3.0,3.0,2.0,2.0,2.0,17.0,-16.0,Nicolas Batum,CHO,True,True
willima02,30.15,2.0,9.0,0.222,0.0,4.0,0.0,2.0,2.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,0.0,0.0,6.0,-17.0,Marvin Williams,CHO,True,True
zelleco01,17.15,2.0,6.0,0.333,0.0,0.0,,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,6.0,-14.0,Cody Zeller,CHO,True,True
hairspj02,4.75,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-9.0,P.J. Hairston,CHO,True,True
kaminfr01,26.666666666666668,5.0,8.0,0.625,3.0,3.0,1.0,3.0,5.0,0.6,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,16.0,-7.0,Frank Kaminsky,CHO,True,False
lambje01,21.266666666666666,5.0,13.0,0.385,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,13.0,-8.0,Jeremy Lamb,CHO,True,False
hawessp01,20.183333333333334,5.0,9.0,0.556,0.0,2.0,0.0,2.0,2.0,1.0,2.0,3.0,5.0,2.0,0.0,0.0,1.0,1.0,12.0,-8.0,Spencer Hawes,CHO,True,False
roberbr01,19.866666666666667,2.0,7.0,0.286,1.0,1.0,1.0,0.0,0.0,,0.0,6.0,6.0,5.0,2.0,0.0,0.0,1.0,5.0,8.0,Brian Roberts,CHO,True,False
linje01,13.4,1.0,2.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,5.0,-11.0,Jeremy Lin,CHO,True,False
hansbty01,10.666666666666666,3.0,3.0,1.0,0.0,0.0,,2.0,4.0,0.5,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,8.0,5.0,Tyler Hansbrough,CHO,True,False
danietr01,8.366666666666667,1.0,5.0,0.2,1.0,3.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,9.0,Troy Daniels,CHO,True,False
harriaa01,6.516666666666667,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,Aaron Harrison,CHO,True,False
