player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
duranke01,30.833333333333332,11.0,14.0,0.786,4.0,5.0,0.8,6.0,6.0,1.0,0.0,10.0,10.0,6.0,3.0,0.0,3.0,1.0,32.0,37.0,Kevin Durant,OKC,False,True,
ibakase01,28.883333333333333,8.0,15.0,0.533,1.0,2.0,0.5,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,17.0,24.0,Serge Ibaka,OKC,False,True,
westbru01,24.933333333333334,5.0,7.0,0.714,1.0,2.0,0.5,2.0,2.0,1.0,1.0,4.0,5.0,16.0,2.0,0.0,3.0,1.0,13.0,26.0,Russell Westbrook,OKC,False,True,
roberan03,21.95,4.0,7.0,0.571,0.0,2.0,0.0,2.0,3.0,0.667,1.0,3.0,4.0,0.0,2.0,1.0,0.0,1.0,10.0,23.0,Andre Roberson,OKC,False,True,
adamsst01,14.416666666666666,1.0,5.0,0.2,0.0,0.0,,2.0,4.0,0.5,4.0,1.0,5.0,0.0,1.0,0.0,1.0,2.0,4.0,12.0,Steven Adams,OKC,False,True,
waitedi01,25.9,4.0,8.0,0.5,1.0,3.0,0.333,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,12.0,23.0,Dion Waiters,OKC,False,False,
augusdj01,23.066666666666666,4.0,7.0,0.571,3.0,5.0,0.6,2.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,13.0,11.0,D.J. Augustin,OKC,False,False,
morroan01,18.816666666666666,3.0,4.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,8.0,7.0,Anthony Morrow,OKC,False,False,
collini01,15.183333333333334,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,7.0,Nick Collison,OKC,False,False,
kanteen01,14.8,3.0,6.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,Enes Kanter,OKC,False,False,
singlky01,9.75,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,Kyle Singler,OKC,False,False,
payneca01,6.283333333333333,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,Cameron Payne,OKC,False,False,
novakst01,5.183333333333334,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,Steve Novak,OKC,False,False,
randoza01,31.316666666666666,3.0,10.0,0.3,0.0,0.0,,3.0,4.0,0.75,3.0,7.0,10.0,0.0,0.0,0.0,1.0,3.0,9.0,-20.0,Zach Randolph,MEM,True,True,
greenje02,29.833333333333332,4.0,10.0,0.4,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,9.0,-27.0,Jeff Green,MEM,True,True,
gasolma01,23.2,4.0,9.0,0.444,0.0,0.0,,3.0,3.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,3.0,2.0,11.0,-25.0,Marc Gasol,MEM,True,True,
conlemi01,21.8,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,-22.0,Mike Conley,MEM,True,True,
allento01,14.266666666666667,2.0,6.0,0.333,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,4.0,-16.0,Tony Allen,MEM,True,True,
leeco01,29.816666666666666,4.0,13.0,0.308,1.0,4.0,0.25,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,9.0,-21.0,Courtney Lee,MEM,True,False,
cartevi01,21.6,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,-9.0,Vince Carter,MEM,True,False,
chalmma01,21.233333333333334,6.0,8.0,0.75,0.0,1.0,0.0,7.0,8.0,0.875,0.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,19.0,-13.0,Mario Chalmers,MEM,True,False,
greenja01,19.016666666666666,4.0,7.0,0.571,0.0,0.0,,3.0,4.0,0.75,2.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,11.0,-9.0,JaMychal Green,MEM,True,False,
barnema02,18.933333333333334,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,-19.0,Matt Barnes,MEM,True,False,
smithru01,8.983333333333333,1.0,1.0,1.0,0.0,0.0,,2.0,2.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,-4.0,Russ Smith,MEM,True,False,
wrighbr03,,,,,,,,,,,,,,,,,,,,,Brandan Wright,MEM,True,False,Did Not Dress
