player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
feltora01,31.666666666666668,6.0,12.0,0.5,3.0,6.0,0.5,1.0,2.0,0.5,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,16.0,-17.0,Raymond Felton,DAL,False,True,
matthwe02,29.2,2.0,10.0,0.2,0.0,4.0,0.0,0.0,0.0,,0.0,4.0,4.0,1.0,1.0,1.0,0.0,3.0,4.0,-6.0,Wesley Matthews,DAL,False,True,
willide01,26.75,3.0,10.0,0.3,1.0,4.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,8.0,-1.0,Deron Williams,DAL,False,True,
pachuza01,25.983333333333334,2.0,8.0,0.25,0.0,0.0,,1.0,3.0,0.333,6.0,8.0,14.0,0.0,1.0,0.0,1.0,2.0,5.0,-7.0,Zaza Pachulia,DAL,False,True,
nowitdi01,25.55,6.0,16.0,0.375,1.0,7.0,0.143,0.0,0.0,,0.0,7.0,7.0,0.0,0.0,2.0,2.0,0.0,13.0,-17.0,Dirk Nowitzki,DAL,False,True,
parsoch01,28.85,3.0,9.0,0.333,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,3.0,2.0,7.0,-17.0,Chandler Parsons,DAL,False,False,
bareajo01,21.25,3.0,8.0,0.375,0.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,1.0,2.0,8.0,-25.0,J.J. Barea,DAL,False,False,
villach01,15.05,4.0,8.0,0.5,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,9.0,-10.0,Charlie Villanueva,DAL,False,False,
mcgeeja01,10.6,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,3.0,4.0,7.0,1.0,0.0,0.0,0.0,1.0,4.0,-10.0,JaVale McGee,DAL,False,False,
poweldw01,7.466666666666667,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,-8.0,Dwight Powell,DAL,False,False,
harride01,6.166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,Devin Harris,DAL,False,False,
anderju01,5.733333333333333,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,Justin Anderson,DAL,False,False,
evansje01,5.733333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,Jeremy Evans,DAL,False,False,
ellismo01,32.81666666666667,7.0,17.0,0.412,3.0,5.0,0.6,2.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,0.0,2.0,19.0,14.0,Monta Ellis,IND,True,True,
georgpa01,32.13333333333333,7.0,18.0,0.389,2.0,8.0,0.25,3.0,3.0,1.0,0.0,7.0,7.0,3.0,1.0,1.0,3.0,2.0,19.0,18.0,Paul George,IND,True,True,
hillge01,30.183333333333334,5.0,10.0,0.5,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,11.0,14.0,George Hill,IND,True,True,
mahinia01,22.05,2.0,2.0,1.0,0.0,0.0,,1.0,4.0,0.25,0.0,10.0,10.0,3.0,0.0,0.0,1.0,2.0,5.0,4.0,Ian Mahinmi,IND,True,True,
allenla01,18.4,4.0,6.0,0.667,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,8.0,16.0,Lavoy Allen,IND,True,True,
milescj01,28.683333333333334,7.0,13.0,0.538,3.0,9.0,0.333,3.0,5.0,0.6,1.0,6.0,7.0,2.0,1.0,0.0,1.0,3.0,20.0,13.0,C.J. Miles,IND,True,False,
stuckro01,26.266666666666666,5.0,11.0,0.455,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,7.0,2.0,0.0,1.0,3.0,12.0,14.0,Rodney Stuckey,IND,True,False,
hilljo01,22.783333333333335,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,,2.0,4.0,6.0,2.0,1.0,1.0,0.0,3.0,6.0,17.0,Jordan Hill,IND,True,False,
budinch01,16.916666666666668,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,5.0,5.0,1.0,0.0,0.0,2.0,2.0,0.0,5.0,Chase Budinger,IND,True,False,
robingl02,3.4333333333333336,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,Glenn Robinson,IND,True,False,
youngjo01,3.1666666666666665,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,Joe Young,IND,True,False,
hillso01,3.1666666666666665,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,Solomon Hill,IND,True,False,
turnemy01,,,,,,,,,,,,,,,,,,,,,Myles Turner,IND,True,False,Did Not Dress
