player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
casspom01,35.166666666666664,13.0,18.0,0.722,9.0,12.0,0.75,1.0,4.0,0.25,1.0,5.0,6.0,1.0,0.0,0.0,4.0,4.0,36.0,-16.0,Omri Casspi,,SAC,False,True
gayru01,31.6,6.0,16.0,0.375,2.0,3.0,0.667,3.0,4.0,0.75,2.0,6.0,8.0,1.0,1.0,1.0,1.0,0.0,17.0,-21.0,Rudy Gay,,SAC,False,True
mclembe01,21.033333333333335,1.0,5.0,0.2,0.0,3.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,-16.0,Ben McLemore,,SAC,False,True
rondora01,17.6,2.0,6.0,0.333,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,3.0,4.0,-23.0,Rajon Rondo,,SAC,False,True
couside01,12.416666666666666,3.0,9.0,0.333,0.0,1.0,0.0,1.0,3.0,0.333,2.0,2.0,4.0,2.0,2.0,0.0,0.0,5.0,7.0,-6.0,DeMarcus Cousins,,SAC,False,True
collida01,33.28333333333333,5.0,16.0,0.313,1.0,3.0,0.333,2.0,2.0,1.0,1.0,5.0,6.0,11.0,2.0,0.0,2.0,0.0,13.0,-12.0,Darren Collison,,SAC,False,False
acyqu01,24.7,3.0,7.0,0.429,1.0,2.0,0.5,1.0,3.0,0.333,3.0,7.0,10.0,1.0,2.0,3.0,2.0,4.0,8.0,-6.0,Quincy Acy,,SAC,False,False
anderja01,22.25,2.0,8.0,0.25,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,2.0,5.0,4.0,James Anderson,,SAC,False,False
belinma01,21.8,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,10.0,Marco Belinelli,,SAC,False,False
curryse01,20.15,1.0,6.0,0.167,0.0,3.0,0.0,5.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,7.0,-9.0,Seth Curry,,SAC,False,False
butleca01,,,,,,,,,,,,,,,,,,,,,Caron Butler,Did Not Play,SAC,False,False
dukandu01,,,,,,,,,,,,,,,,,,,,,Duje Dukan,Not With Team,SAC,False,False
koufoko01,,,,,,,,,,,,,,,,,,,,,Kosta Koufos,Not With Team,SAC,False,False
thompkl01,36.983333333333334,10.0,22.0,0.455,5.0,12.0,0.417,4.0,6.0,0.667,1.0,4.0,5.0,2.0,1.0,1.0,4.0,3.0,29.0,23.0,Klay Thompson,,GSW,True,True
greendr01,31.216666666666665,7.0,14.0,0.5,5.0,7.0,0.714,6.0,8.0,0.75,3.0,5.0,8.0,4.0,2.0,0.0,6.0,2.0,25.0,24.0,Draymond Green,,GSW,True,True
curryst01,30.366666666666667,7.0,16.0,0.438,6.0,13.0,0.462,3.0,4.0,0.75,0.0,14.0,14.0,10.0,2.0,0.0,2.0,3.0,23.0,24.0,Stephen Curry,,GSW,True,True
bogutan01,14.4,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,1.0,4.0,5.0,2.0,1.0,2.0,0.0,3.0,4.0,20.0,Andrew Bogut,,GSW,True,True
rushbr01,13.283333333333333,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,1.0,1.0,6.0,6.0,4.0,Brandon Rush,,GSW,True,True
iguodan01,28.966666666666665,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,4.0,6.0,6.0,2.0,0.0,2.0,1.0,0.0,4.0,Andre Iguodala,,GSW,True,False
livinsh01,26.083333333333332,4.0,9.0,0.444,0.0,1.0,0.0,0.0,0.0,,2.0,2.0,4.0,3.0,2.0,0.0,1.0,1.0,8.0,-3.0,Shaun Livingston,,GSW,True,False
clarkia01,22.1,5.0,9.0,0.556,2.0,4.0,0.5,0.0,0.0,,0.0,4.0,4.0,0.0,2.0,1.0,0.0,2.0,12.0,5.0,Ian Clark,,GSW,True,False
mcadoja01,16.783333333333335,3.0,6.0,0.5,0.0,0.0,,1.0,2.0,0.5,2.0,4.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,-5.0,James Michael McAdoo,,GSW,True,False
ezelife01,11.666666666666666,2.0,4.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,-3.0,Festus Ezeli,,GSW,True,False
thompja02,8.15,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,1.0,1.0,2.0,3.0,0.0,0.0,1.0,4.0,3.0,2.0,Jason Thompson,,GSW,True,False
barbole01,,,,,,,,,,,,,,,,,,,,,Leandro Barbosa,Did Not Dress,GSW,True,False
speigma01,,,,,,,,,,,,,,,,,,,,,Marreese Speights,Did Not Play,GSW,True,False
