player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
johnsjo02,33.71666666666667,6.0,10.0,0.6,2.0,2.0,1.0,0.0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,6.0,Joe Johnson,BRK,False,True,
lopezbr01,30.133333333333333,8.0,11.0,0.727,0.0,0.0,,3.0,3.0,1.0,1.0,6.0,7.0,1.0,0.0,3.0,3.0,4.0,19.0,-3.0,Brook Lopez,BRK,False,True,
youngth01,28.7,6.0,14.0,0.429,0.0,1.0,0.0,0.0,0.0,,3.0,6.0,9.0,0.0,1.0,0.0,4.0,3.0,12.0,-6.0,Thaddeus Young,BRK,False,True,
larkish01,24.216666666666665,3.0,8.0,0.375,0.0,0.0,,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,8.0,-19.0,Shane Larkin,BRK,False,True,
brownma02,14.133333333333333,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,-6.0,Markel Brown,BRK,False,True,
sloando01,23.783333333333335,5.0,8.0,0.625,2.0,3.0,0.667,3.0,4.0,0.75,0.0,2.0,2.0,10.0,0.0,0.0,3.0,1.0,15.0,5.0,Donald Sloan,BRK,False,False,
bogdabo02,23.716666666666665,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,-18.0,Bojan Bogdanović,BRK,False,False,
ellinwa01,20.783333333333335,1.0,7.0,0.143,1.0,2.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,-5.0,Wayne Ellington,BRK,False,False,
reedwi02,17.866666666666667,3.0,5.0,0.6,0.0,0.0,,0.0,0.0,,0.0,5.0,5.0,0.0,2.0,0.0,0.0,2.0,6.0,-11.0,Willie Reed,BRK,False,False,
robinth01,12.4,4.0,6.0,0.667,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,8.0,-9.0,Thomas Robinson,BRK,False,False,
bargnan01,5.783333333333333,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,-2.0,Andrea Bargnani,BRK,False,False,
karasse01,4.766666666666667,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,Sergey Karasev,BRK,False,False,
johnsst04,39.06666666666667,4.0,13.0,0.308,0.0,5.0,0.0,0.0,0.0,,0.0,4.0,4.0,1.0,2.0,1.0,1.0,0.0,8.0,9.0,Stanley Johnson,DET,True,True,
caldwke01,36.7,2.0,8.0,0.25,0.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,0.0,3.0,0.0,5.0,3.0,Kentavious Caldwell-Pope,DET,True,True,
drumman01,33.083333333333336,11.0,15.0,0.733,0.0,0.0,,1.0,3.0,0.333,2.0,9.0,11.0,0.0,3.0,2.0,1.0,3.0,23.0,7.0,Andre Drummond,DET,True,True,
jacksre01,32.583333333333336,10.0,17.0,0.588,3.0,4.0,0.75,0.0,0.0,,0.0,3.0,3.0,8.0,0.0,0.0,2.0,3.0,23.0,9.0,Reggie Jackson,DET,True,True,
ilyaser01,29.316666666666666,8.0,18.0,0.444,2.0,5.0,0.4,1.0,3.0,0.333,5.0,8.0,13.0,1.0,1.0,1.0,1.0,2.0,19.0,4.0,Ersan İlyasova,DET,True,True,
hillida01,20.233333333333334,3.0,5.0,0.6,1.0,2.0,0.5,1.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,2.0,8.0,16.0,Darrun Hilliard,DET,True,False,
tollian01,18.683333333333334,3.0,6.0,0.5,2.0,5.0,0.4,2.0,3.0,0.667,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,10.0,10.0,Anthony Tolliver,DET,True,False,
jennibr01,15.416666666666666,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,Brandon Jennings,DET,True,False,
baynear01,14.916666666666666,2.0,7.0,0.286,0.0,0.0,,3.0,3.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,Aron Baynes,DET,True,False,
anthojo01,,,,,,,,,,,,,,,,,,,,,Joel Anthony,DET,True,False,Did Not Play
blakest01,,,,,,,,,,,,,,,,,,,,,Steve Blake,DET,True,False,Did Not Play
bullore01,,,,,,,,,,,,,,,,,,,,,Reggie Bullock,DET,True,False,Did Not Play
morrima03,,,,,,,,,,,,,,,,,,,,,Marcus Morris,DET,True,False,Did Not Dress
