player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
hardeja01,33.4,6.0,16.0,0.375,1.0,9.0,0.111,14.0,17.0,0.824,1.0,9.0,10.0,7.0,3.0,1.0,2.0,5.0,27.0,33.0,James Harden,HOU,False,True,
arizatr01,32.2,8.0,12.0,0.667,4.0,7.0,0.571,5.0,6.0,0.833,1.0,5.0,6.0,3.0,5.0,0.0,3.0,4.0,25.0,40.0,Trevor Ariza,HOU,False,True,
howardw01,30.066666666666666,5.0,8.0,0.625,0.0,0.0,,5.0,10.0,0.5,2.0,4.0,6.0,1.0,3.0,0.0,5.0,4.0,15.0,29.0,Dwight Howard,HOU,False,True,
beverpa01,28.116666666666667,7.0,10.0,0.7,2.0,3.0,0.667,2.0,5.0,0.4,2.0,4.0,6.0,2.0,2.0,1.0,0.0,4.0,18.0,39.0,Patrick Beverley,HOU,False,True,
smithjo03,23.433333333333334,1.0,7.0,0.143,0.0,3.0,0.0,1.0,4.0,0.25,2.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,18.0,Josh Smith,HOU,False,True,
breweco01,21.283333333333335,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,1.0,3.0,0.0,3.0,2.0,1.0,0.0,1.0,2.0,2.0,-20.0,Corey Brewer,HOU,False,False,
lawsoty01,19.933333333333334,0.0,4.0,0.0,0.0,0.0,,1.0,2.0,0.5,0.0,4.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,-23.0,Ty Lawson,HOU,False,False,
capelca01,17.933333333333334,5.0,7.0,0.714,0.0,0.0,,1.0,4.0,0.25,1.0,6.0,7.0,0.0,0.0,1.0,1.0,5.0,11.0,-13.0,Clint Capela,HOU,False,False,
mcdankj01,11.583333333333334,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,4.0,-14.0,K.J. McDaniels,HOU,False,False,
terryja01,11.133333333333333,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,-8.0,Jason Terry,HOU,False,False,
harremo01,10.933333333333334,4.0,6.0,0.667,0.0,0.0,,2.0,4.0,0.5,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,10.0,-1.0,Montrezl Harrell,HOU,False,False,
tuckepj01,33.6,3.0,8.0,0.375,2.0,5.0,0.4,1.0,4.0,0.25,0.0,5.0,5.0,3.0,2.0,1.0,2.0,1.0,9.0,-23.0,P.J. Tucker,PHO,True,True,
bookede01,30.9,3.0,11.0,0.273,2.0,7.0,0.286,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,10.0,-37.0,Devin Booker,PHO,True,True,
goodwar01,30.55,3.0,13.0,0.231,0.0,3.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,4.0,5.0,10.0,-15.0,Archie Goodwin,PHO,True,True,
leuerjo01,21.433333333333334,5.0,11.0,0.455,1.0,3.0,0.333,5.0,6.0,0.833,2.0,4.0,6.0,2.0,1.0,2.0,5.0,5.0,16.0,1.0,Jon Leuer,PHO,True,True,
chandty01,7.816666666666666,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,-8.0,Tyson Chandler,PHO,True,True,
teletmi01,34.266666666666666,7.0,12.0,0.583,3.0,7.0,0.429,8.0,9.0,0.889,1.0,7.0,8.0,2.0,0.0,0.0,3.0,5.0,25.0,-24.0,Mirza Teletović,PHO,True,False,
humphkr01,27.2,5.0,13.0,0.385,2.0,5.0,0.4,6.0,6.0,1.0,4.0,8.0,12.0,2.0,1.0,2.0,0.0,5.0,18.0,2.0,Kris Humphries,PHO,True,False,
pricero01,23.083333333333332,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,0.0,-8.0,Ronnie Price,PHO,True,False,
weemsso01,16.566666666666666,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,21.0,Sonny Weems,PHO,True,False,
mcraejo01,14.583333333333334,2.0,5.0,0.4,1.0,2.0,0.5,3.0,4.0,0.75,1.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,8.0,11.0,Jordan McRae,PHO,True,False,
knighbr03,,,,,,,,,,,,,,,,,,,,,Brandon Knight,PHO,True,False,Did Not Dress
lenal01,,,,,,,,,,,,,,,,,,,,,Alex Len,PHO,True,False,Did Not Dress
