player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
hairspj02,30.466666666666665,8.0,13.0,0.615,5.0,9.0,0.556,0.0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,3.0,4.0,21.0,6.0,P.J. Hairston,,MEM,False,True
barnema02,29.083333333333332,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,7.0,7.0,3.0,1.0,1.0,1.0,1.0,0.0,22.0,Matt Barnes,,MEM,False,True
conlemi01,28.666666666666668,6.0,10.0,0.6,2.0,5.0,0.4,3.0,3.0,1.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,2.0,17.0,29.0,Mike Conley,,MEM,False,True
randoza01,25.016666666666666,6.0,12.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,10.0,10.0,5.0,0.0,0.0,1.0,1.0,15.0,14.0,Zach Randolph,,MEM,False,True
wrighbr03,18.35,3.0,3.0,1.0,0.0,0.0,,2.0,2.0,1.0,2.0,3.0,5.0,0.0,0.0,2.0,0.0,3.0,8.0,12.0,Brandan Wright,,MEM,False,True
stephla01,25.633333333333333,7.0,15.0,0.467,0.0,2.0,0.0,0.0,0.0,,2.0,5.0,7.0,3.0,1.0,0.0,1.0,3.0,14.0,5.0,Lance Stephenson,,MEM,False,False
greenja01,22.65,4.0,8.0,0.5,0.0,0.0,,2.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,3.0,3.0,10.0,-6.0,JaMychal Green,,MEM,False,False
cartevi01,19.583333333333332,7.0,10.0,0.7,5.0,7.0,0.714,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,19.0,11.0,Vince Carter,,MEM,False,False
anderch01,19.233333333333334,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,2.0,1.0,3.0,0.0,1.0,3.0,0.0,3.0,2.0,3.0,Chris Andersen,,MEM,False,False
chalmma01,15.466666666666667,0.0,3.0,0.0,0.0,1.0,0.0,4.0,6.0,0.667,0.0,2.0,2.0,4.0,0.0,0.0,2.0,5.0,4.0,-3.0,Mario Chalmers,,MEM,False,False
ennisja01,5.85,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-8.0,James Ennis,,MEM,False,False
allento01,,,,,,,,,,,,,,,,,,,,,Tony Allen,Did Not Play,MEM,False,False
brownan02,31.983333333333334,2.0,7.0,0.286,0.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0,0.0,0.0,2.0,5.0,1.0,Anthony Brown,,LAL,True,True
russeda01,29.85,6.0,9.0,0.667,2.0,2.0,1.0,8.0,12.0,0.667,0.0,3.0,3.0,3.0,1.0,0.0,1.0,3.0,22.0,-14.0,D'Angelo Russell,,LAL,True,True
clarkjo01,28.7,4.0,16.0,0.25,0.0,7.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,8.0,-23.0,Jordan Clarkson,,LAL,True,True
randlju01,24.95,6.0,12.0,0.5,0.0,1.0,0.0,5.0,8.0,0.625,2.0,5.0,7.0,0.0,1.0,0.0,2.0,3.0,17.0,-22.0,Julius Randle,,LAL,True,True
hibbero01,21.55,2.0,5.0,0.4,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,-21.0,Roy Hibbert,,LAL,True,True
willilo02,23.616666666666667,4.0,8.0,0.5,1.0,5.0,0.2,4.0,5.0,0.8,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,13.0,-13.0,Lou Williams,,LAL,True,False
youngni01,17.083333333333332,2.0,6.0,0.333,1.0,5.0,0.2,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,6.0,-18.0,Nick Young,,LAL,True,False
bassbr01,16.95,1.0,2.0,0.5,0.0,0.0,,3.0,4.0,0.75,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,Brandon Bass,,LAL,True,False
nancela02,14.766666666666667,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,2.0,3.0,5.0,1.0,1.0,0.0,1.0,3.0,2.0,-5.0,Larry Nance,,LAL,True,False
blackta01,11.933333333333334,1.0,3.0,0.333,0.0,0.0,,0.0,2.0,0.0,1.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,Tarik Black,,LAL,True,False
huertma01,6.916666666666667,2.0,3.0,0.667,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,8.0,Marcelo Huertas,,LAL,True,False
kellyry01,5.85,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,8.0,Ryan Kelly,,LAL,True,False
sacrero01,5.85,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,Robert Sacre,,LAL,True,False
