player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
powelno01,34.5,6.0,15.0,0.4,3.0,7.0,0.429,2.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,2.0,0.0,3.0,17.0,10.0,Norman Powell,,TOR,False,True
lowryky01,28.183333333333334,5.0,9.0,0.556,4.0,6.0,0.667,11.0,13.0,0.846,1.0,3.0,4.0,11.0,0.0,0.0,2.0,1.0,25.0,21.0,Kyle Lowry,,TOR,False,True
biyombi01,24.9,6.0,7.0,0.857,0.0,0.0,,0.0,0.0,,2.0,11.0,13.0,1.0,0.0,2.0,0.0,2.0,12.0,13.0,Bismack Biyombo,,TOR,False,True
scolalu01,24.533333333333335,3.0,7.0,0.429,1.0,2.0,0.5,0.0,0.0,,0.0,6.0,6.0,2.0,0.0,0.0,1.0,3.0,7.0,12.0,Luis Scola,,TOR,False,True
johnsja01,23.983333333333334,5.0,10.0,0.5,1.0,2.0,0.5,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,11.0,1.0,James Johnson,,TOR,False,True
rosste01,29.716666666666665,4.0,12.0,0.333,3.0,9.0,0.333,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,11.0,11.0,Terrence Ross,,TOR,False,False
josepco01,24.816666666666666,3.0,8.0,0.375,0.0,0.0,,0.0,0.0,,3.0,1.0,4.0,6.0,1.0,0.0,1.0,1.0,6.0,9.0,Cory Joseph,,TOR,False,False
thompja02,23.1,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,2.0,4.0,6.0,0.0,1.0,1.0,1.0,5.0,2.0,5.0,Jason Thompson,,TOR,False,False
pattepa01,19.95,6.0,11.0,0.545,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,6.0,2.0,1.0,2.0,1.0,3.0,14.0,6.0,Patrick Patterson,,TOR,False,False
noguelu01,3.5166666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Lucas Nogueira,,TOR,False,False
wrighde01,2.8,0.0,1.0,0.0,0.0,0.0,,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,Delon Wright,,TOR,False,False
derozde01,,,,,,,,,,,,,,,,,,,,,DeMar DeRozan,Did Not Play,TOR,False,False
valanjo01,,,,,,,,,,,,,,,,,,,,,Jonas Valančiūnas,Did Not Dress,TOR,False,False
parkeja01,37.25,7.0,16.0,0.438,1.0,2.0,0.5,3.0,3.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,2.0,18.0,-22.0,Jabari Parker,,MIL,True,True
antetgi01,35.11666666666667,6.0,12.0,0.5,0.0,1.0,0.0,6.0,11.0,0.545,2.0,10.0,12.0,9.0,0.0,3.0,1.0,4.0,18.0,-5.0,Giannis Antetokounmpo,,MIL,True,True
middlkh01,30.55,5.0,10.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,2.0,12.0,-4.0,Khris Middleton,,MIL,True,True
monrogr01,28.583333333333332,4.0,8.0,0.5,0.0,0.0,,0.0,1.0,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,1.0,8.0,-10.0,Greg Monroe,,MIL,True,True
bayleje01,28.4,3.0,9.0,0.333,1.0,3.0,0.333,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,11.0,-11.0,Jerryd Bayless,,MIL,True,True
ennisty01,28.35,4.0,8.0,0.5,0.0,2.0,0.0,2.0,3.0,0.667,1.0,3.0,4.0,3.0,0.0,0.0,1.0,2.0,10.0,-13.0,Tyler Ennis,,MIL,True,False
obryajo01,15.483333333333333,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,-9.0,Johnny O'Bryant,,MIL,True,False
plumlmi01,13.666666666666666,2.0,5.0,0.4,0.0,0.0,,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,-11.0,Miles Plumlee,,MIL,True,False
vaughra01,13.333333333333334,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-8.0,Rashad Vaughn,,MIL,True,False
hensojo01,5.75,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,John Henson,,MIL,True,False
inglida01,3.5166666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Damien Inglis,,MIL,True,False
cartemi01,,,,,,,,,,,,,,,,,,,,,Michael Carter-Williams,Not With Team,MIL,True,False
