player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
turneev01,32.3,2.0,8.0,0.25,0.0,1.0,0.0,0.0,0.0,,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,-15.0,Evan Turner,BOS,False,True
bradlav01,30.533333333333335,5.0,11.0,0.455,3.0,4.0,0.75,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,13.0,-19.0,Avery Bradley,BOS,False,True
thomais02,27.516666666666666,5.0,14.0,0.357,2.0,5.0,0.4,12.0,13.0,0.923,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,24.0,-20.0,Isaiah Thomas,BOS,False,True
sullija01,20.25,4.0,11.0,0.364,0.0,0.0,,1.0,2.0,0.5,5.0,6.0,11.0,2.0,0.0,0.0,1.0,1.0,9.0,1.0,Jared Sullinger,BOS,False,True
johnsam01,19.133333333333333,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,1.0,4.0,5.0,1.0,1.0,1.0,2.0,3.0,3.0,-15.0,Amir Johnson,BOS,False,True
smartma01,24.15,6.0,12.0,0.5,0.0,4.0,0.0,1.0,1.0,1.0,2.0,3.0,5.0,4.0,1.0,0.0,3.0,2.0,13.0,-14.0,Marcus Smart,BOS,False,False
olynyke01,22.95,3.0,9.0,0.333,2.0,3.0,0.667,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,0.0,2.0,8.0,-9.0,Kelly Olynyk,BOS,False,False
roziete01,20.483333333333334,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,0.0,3.0,3.0,2.0,-4.0,Terry Rozier,BOS,False,False
zellety01,18.966666666666665,3.0,9.0,0.333,0.0,0.0,,2.0,2.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,8.0,-3.0,Tyler Zeller,BOS,False,False
jerebjo01,10.45,0.0,3.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,3.0,2.0,5.0,0.0,1.0,1.0,0.0,1.0,4.0,-14.0,Jonas Jerebko,BOS,False,False
mickejo01,6.716666666666667,1.0,5.0,0.2,0.0,0.0,,0.0,2.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Jordan Mickey,BOS,False,False
hunterj01,3.9,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,R.J. Hunter,BOS,False,False
youngja01,2.65,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,James Young,BOS,False,False
jordade01,28.816666666666666,5.0,8.0,0.625,0.0,0.0,,5.0,7.0,0.714,3.0,10.0,13.0,2.0,1.0,3.0,1.0,2.0,15.0,10.0,DeAndre Jordan,LAC,True,True
paulch01,26.316666666666666,5.0,14.0,0.357,1.0,3.0,0.333,2.0,2.0,1.0,0.0,4.0,4.0,14.0,3.0,0.0,4.0,2.0,13.0,7.0,Chris Paul,LAC,True,True
redicjj01,17.916666666666668,4.0,8.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,9.0,11.0,J.J. Redick,LAC,True,True
mbahalu01,16.733333333333334,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,Luc Mbah a Moute,LAC,True,True
piercpa01,11.566666666666666,4.0,6.0,0.667,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,8.0,14.0,Paul Pierce,LAC,True,True
riverau01,29.75,5.0,9.0,0.556,2.0,2.0,1.0,4.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,16.0,21.0,Austin Rivers,LAC,True,False
crawfja01,28.85,5.0,12.0,0.417,4.0,10.0,0.4,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,2.0,15.0,19.0,Jamal Crawford,LAC,True,False
greenje02,26.25,4.0,11.0,0.364,1.0,1.0,1.0,1.0,2.0,0.5,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,10.0,17.0,Jeff Green,LAC,True,False
johnswe01,16.316666666666666,4.0,7.0,0.571,1.0,3.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,11.0,2.0,Wesley Johnson,LAC,True,False
aldrico01,13.75,3.0,3.0,1.0,0.0,0.0,,0.0,0.0,,4.0,3.0,7.0,1.0,0.0,2.0,2.0,2.0,6.0,11.0,Cole Aldrich,LAC,True,False
prigipa01,13.266666666666667,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,1.0,4.0,5.0,3.0,1.0,0.0,0.0,0.0,3.0,8.0,Pablo Prigioni,LAC,True,False
pendeje02,5.233333333333333,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,Jeff Ayres,LAC,True,False
wilcocj01,5.233333333333333,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,C.J. Wilcox,LAC,True,False
