player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
collida01,39.18333333333333,4.0,13.0,0.308,0.0,1.0,0.0,6.0,7.0,0.857,1.0,3.0,4.0,8.0,0.0,0.0,3.0,2.0,14.0,12.0,Darren Collison,,SAC,False,True
caulewi01,38.733333333333334,5.0,7.0,0.714,0.0,0.0,,4.0,4.0,1.0,3.0,6.0,9.0,3.0,1.0,2.0,1.0,5.0,14.0,6.0,Willie Cauley-Stein,,SAC,False,True
gayru01,35.983333333333334,7.0,18.0,0.389,1.0,4.0,0.25,10.0,13.0,0.769,3.0,6.0,9.0,3.0,0.0,0.0,0.0,2.0,25.0,3.0,Rudy Gay,,SAC,False,True
mclembe01,30.866666666666667,6.0,12.0,0.5,2.0,3.0,0.667,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,0.0,5.0,14.0,6.0,Ben McLemore,,SAC,False,True
acyqu01,16.866666666666667,2.0,8.0,0.25,1.0,2.0,0.5,0.0,0.0,,2.0,4.0,6.0,2.0,0.0,1.0,0.0,2.0,5.0,-5.0,Quincy Acy,,SAC,False,True
koufoko01,31.133333333333333,6.0,10.0,0.6,0.0,0.0,,1.0,3.0,0.333,0.0,7.0,7.0,1.0,1.0,2.0,0.0,1.0,13.0,14.0,Kosta Koufos,,SAC,False,False
curryse01,24.583333333333332,7.0,10.0,0.7,2.0,5.0,0.4,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,3.0,1.0,17.0,0.0,Seth Curry,,SAC,False,False
anderja01,22.65,4.0,10.0,0.4,2.0,6.0,0.333,3.0,3.0,1.0,1.0,7.0,8.0,4.0,0.0,0.0,0.0,2.0,13.0,9.0,James Anderson,,SAC,False,False
butleca01,,,,,,,,,,,,,,,,,,,,,Caron Butler,Did Not Play,SAC,False,False
couside01,,,,,,,,,,,,,,,,,,,,,DeMarcus Cousins,Not With Team,SAC,False,False
dukandu01,,,,,,,,,,,,,,,,,,,,,Duje Dukan,Did Not Play,SAC,False,False
moreler01,,,,,,,,,,,,,,,,,,,,,Eric Moreland,Did Not Play,SAC,False,False
rondora01,,,,,,,,,,,,,,,,,,,,,Rajon Rondo,Not With Team,SAC,False,False
harriga01,36.266666666666666,6.0,11.0,0.545,4.0,7.0,0.571,3.0,4.0,0.75,0.0,4.0,4.0,2.0,0.0,2.0,0.0,1.0,19.0,2.0,Gary Harris,,DEN,True,True
jokicni01,32.233333333333334,2.0,6.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,4.0,9.0,13.0,5.0,1.0,2.0,0.0,2.0,6.0,-1.0,Nikola Jokić,,DEN,True,True
mudiaem01,29.166666666666668,6.0,17.0,0.353,2.0,6.0,0.333,1.0,2.0,0.5,1.0,2.0,3.0,6.0,0.0,0.0,4.0,6.0,15.0,1.0,Emmanuel Mudiay,,DEN,True,True
sampsja02,26.883333333333333,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,3.0,2.0,1.0,2.0,0.0,3.0,9.0,7.0,JaKarr Sampson,,DEN,True,True
farieke01,16.216666666666665,4.0,8.0,0.5,0.0,0.0,,0.0,0.0,,2.0,5.0,7.0,2.0,0.0,2.0,0.0,1.0,8.0,4.0,Kenneth Faried,,DEN,True,True
lauvejo01,24.0,7.0,12.0,0.583,0.0,2.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,2.0,0.0,0.0,1.0,1.0,15.0,-10.0,Joffrey Lauvergne,,DEN,True,False
bartowi01,20.85,0.0,9.0,0.0,0.0,5.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,-14.0,Will Barton,,DEN,True,False
toupaax01,19.216666666666665,4.0,6.0,0.667,1.0,2.0,0.5,5.0,6.0,0.833,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,14.0,-8.0,Axel Toupane,,DEN,True,False
augusdj01,18.833333333333332,3.0,6.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,9.0,-10.0,D.J. Augustin,,DEN,True,False
nurkiju01,16.333333333333332,4.0,10.0,0.4,0.0,0.0,,1.0,4.0,0.25,5.0,4.0,9.0,2.0,0.0,1.0,1.0,4.0,9.0,-16.0,Jusuf Nurkić,,DEN,True,False
arthuda01,,,,,,,,,,,,,,,,,,,,,Darrell Arthur,Did Not Play,DEN,True,False
millemi01,,,,,,,,,,,,,,,,,,,,,Mike Miller,Did Not Play,DEN,True,False
nelsoja01,,,,,,,,,,,,,,,,,,,,,Jameer Nelson,Did Not Play,DEN,True,False
