player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
aldrila01,35.18333333333333,10.0,20.0,0.5,1.0,1.0,1.0,5.0,6.0,0.833,8.0,6.0,14.0,3.0,1.0,0.0,2.0,1.0,26.0,10.0,LaMarcus Aldridge,SAS,False,True
leonaka01,32.05,10.0,21.0,0.476,0.0,3.0,0.0,15.0,15.0,1.0,3.0,2.0,5.0,3.0,5.0,0.0,2.0,1.0,35.0,14.0,Kawhi Leonard,SAS,False,True
parketo01,26.466666666666665,4.0,9.0,0.444,1.0,2.0,0.5,0.0,0.0,,0.0,3.0,3.0,4.0,0.0,0.0,2.0,4.0,9.0,-12.0,Tony Parker,SAS,False,True
anderky01,22.4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,2.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0,-4.0,Kyle Anderson,SAS,False,True
gasolpa01,18.266666666666666,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,1.0,3.0,2.0,-13.0,Pau Gasol,SAS,False,True
simmojo02,28.166666666666668,8.0,14.0,0.571,3.0,5.0,0.6,1.0,3.0,0.333,1.0,3.0,4.0,3.0,0.0,1.0,2.0,2.0,20.0,33.0,Jonathon Simmons,SAS,False,False
ginobma01,20.866666666666667,4.0,10.0,0.4,2.0,6.0,0.333,0.0,0.0,,0.0,5.0,5.0,2.0,1.0,0.0,0.0,1.0,10.0,22.0,Manu Ginóbili,SAS,False,False
millspa02,17.85,4.0,9.0,0.444,3.0,5.0,0.6,0.0,0.0,,0.0,1.0,1.0,5.0,4.0,0.0,0.0,1.0,11.0,35.0,Patty Mills,SAS,False,False
dedmode01,16.566666666666666,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,4.0,4.0,8.0,0.0,1.0,2.0,1.0,3.0,2.0,29.0,Dewayne Dedmon,SAS,False,False
leeda02,11.133333333333333,2.0,4.0,0.5,0.0,0.0,,2.0,2.0,1.0,3.0,3.0,6.0,2.0,0.0,0.0,2.0,1.0,6.0,13.0,David Lee,SAS,False,False
bertada01,3.6833333333333336,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,Dāvis Bertāns,SAS,False,False
laproni01,3.6833333333333336,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,6.0,Nicolás Laprovíttola,SAS,False,False
forbebr01,3.6833333333333336,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Bryn Forbes,SAS,False,False
duranke01,36.6,11.0,18.0,0.611,1.0,3.0,0.333,4.0,5.0,0.8,0.0,10.0,10.0,4.0,2.0,2.0,0.0,2.0,27.0,-13.0,Kevin Durant,GSW,True,True
curryst01,34.1,9.0,18.0,0.5,3.0,10.0,0.3,5.0,6.0,0.833,0.0,3.0,3.0,4.0,0.0,0.0,4.0,1.0,26.0,-9.0,Stephen Curry,GSW,True,True
thompkl01,33.35,5.0,13.0,0.385,1.0,6.0,0.167,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,11.0,-6.0,Klay Thompson,GSW,True,True
greendr01,32.61666666666667,7.0,14.0,0.5,2.0,5.0,0.4,2.0,2.0,1.0,5.0,7.0,12.0,6.0,5.0,1.0,2.0,2.0,18.0,-5.0,Draymond Green,GSW,True,True
pachuza01,20.083333333333332,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,2.0,-3.0,Zaza Pachulia,GSW,True,True
iguodan01,26.8,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,,1.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,2.0,-28.0,Andre Iguodala,GSW,True,False
clarkia01,13.366666666666667,2.0,8.0,0.25,0.0,4.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,-29.0,Ian Clark,GSW,True,False
livinsh01,12.9,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,-15.0,Shaun Livingston,GSW,True,False
westda01,10.65,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,-13.0,David West,GSW,True,False
mccawpa01,9.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,-4.0,Patrick McCaw,GSW,True,False
mcgeeja01,3.6833333333333336,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-6.0,JaVale McGee,GSW,True,False
looneke01,3.6833333333333336,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,Kevon Looney,GSW,True,False
varejan01,3.1666666666666665,0.0,0.0,,0.0,0.0,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,-8.0,Anderson Varejão,GSW,True,False
