player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
saricda01,28.933333333333334,5.0,13.0,0.385,2.0,4.0,0.5,2.0,3.0,0.667,1.0,6.0,7.0,1.0,1.0,0.0,1.0,3.0,14.0,-19.0,Dario Šarić,,PHI,False,True
rodrise01,26.05,3.0,9.0,0.333,3.0,7.0,0.429,1.0,1.0,1.0,1.0,2.0,3.0,5.0,0.0,1.0,4.0,0.0,10.0,-16.0,Sergio Rodríguez,,PHI,False,True
covinro01,25.766666666666666,2.0,9.0,0.222,2.0,8.0,0.25,0.0,0.0,,1.0,2.0,3.0,0.0,2.0,0.0,2.0,4.0,6.0,-17.0,Robert Covington,,PHI,False,True
hendege02,24.65,5.0,8.0,0.625,1.0,2.0,0.5,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,11.0,-9.0,Gerald Henderson,,PHI,False,True
holmeri01,11.516666666666667,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,4.0,11.0,7.0,Richaun Holmes,,PHI,False,True
stausni01,30.5,2.0,6.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,2.0,0.0,7.0,2.0,Nik Stauskas,,PHI,False,False
okafoja01,24.166666666666668,4.0,8.0,0.5,0.0,0.0,,4.0,5.0,0.8,1.0,4.0,5.0,1.0,1.0,0.0,1.0,3.0,12.0,-14.0,Jahlil Okafor,,PHI,False,False
ilyaser01,23.166666666666668,5.0,12.0,0.417,2.0,6.0,0.333,2.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,14.0,-5.0,Ersan İlyasova,,PHI,False,False
mccontj01,22.316666666666666,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,1.0,6.0,3.0,0.0,2.0,2.0,4.0,-1.0,T.J. McConnell,,PHI,False,False
thompho01,19.883333333333333,2.0,9.0,0.222,0.0,3.0,0.0,0.0,0.0,,1.0,4.0,5.0,1.0,1.0,0.0,0.0,3.0,4.0,-6.0,Hollis Thompson,,PHI,False,False
luwawti01,3.05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Timothé Luwawu-Cabarrot,,PHI,False,False
embiijo01,,,,,,,,,,,,,,,,,,,,,Joel Embiid,Not With Team,PHI,False,False
batumni01,33.916666666666664,7.0,16.0,0.438,4.0,9.0,0.444,2.0,2.0,1.0,2.0,5.0,7.0,4.0,1.0,0.0,4.0,2.0,20.0,22.0,Nicolas Batum,,CHO,True,True
walkeke02,32.983333333333334,7.0,13.0,0.538,2.0,5.0,0.4,6.0,6.0,1.0,1.0,3.0,4.0,7.0,0.0,0.0,4.0,0.0,22.0,16.0,Kemba Walker,,CHO,True,True
kiddgmi01,32.18333333333333,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,2.0,11.0,13.0,1.0,3.0,1.0,2.0,4.0,6.0,14.0,Michael Kidd-Gilchrist,,CHO,True,True
willima02,30.216666666666665,4.0,12.0,0.333,2.0,7.0,0.286,1.0,2.0,0.5,1.0,7.0,8.0,1.0,2.0,0.0,0.0,3.0,11.0,12.0,Marvin Williams,,CHO,True,True
zelleco01,26.4,5.0,7.0,0.714,0.0,0.0,,3.0,6.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,13.0,26.0,Cody Zeller,,CHO,True,True
kaminfr01,24.566666666666666,6.0,12.0,0.5,2.0,6.0,0.333,0.0,0.0,,2.0,3.0,5.0,1.0,1.0,0.0,2.0,1.0,14.0,-7.0,Frank Kaminsky,,CHO,True,False
sessira01,22.133333333333333,1.0,3.0,0.333,0.0,1.0,0.0,2.0,4.0,0.5,1.0,2.0,3.0,7.0,1.0,0.0,1.0,0.0,4.0,-5.0,Ramon Sessions,,CHO,True,False
belinma01,21.466666666666665,4.0,9.0,0.444,3.0,6.0,0.5,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,11.0,3.0,Marco Belinelli,,CHO,True,False
hawessp01,14.816666666666666,3.0,3.0,1.0,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,8.0,1.0,Spencer Hawes,,CHO,True,False
grahatr01,1.3166666666666667,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Treveon Graham,,CHO,True,False
harriaa01,,,,,,,,,,,,,,,,,,,,,Aaron Harrison,Did Not Play,CHO,True,False
roberbr01,,,,,,,,,,,,,,,,,,,,,Brian Roberts,Did Not Play,CHO,True,False
woodch01,,,,,,,,,,,,,,,,,,,,,Christian Wood,Did Not Dress,CHO,True,False
