player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
barneha02,35.7,6.0,13.0,0.462,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,14.0,-13.0,Harrison Barnes,DAL,False,True,
matthwe02,35.7,4.0,9.0,0.444,3.0,5.0,0.6,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,12.0,-13.0,Wesley Matthews,DAL,False,True,
willide01,34.18333333333333,5.0,11.0,0.455,2.0,5.0,0.4,0.0,0.0,,0.0,2.0,2.0,9.0,0.0,0.0,1.0,3.0,12.0,-11.0,Deron Williams,DAL,False,True,
nowitdi01,28.8,4.0,14.0,0.286,0.0,5.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,0.0,1.0,0.0,1.0,3.0,9.0,-20.0,Dirk Nowitzki,DAL,False,True,
bogutan01,17.316666666666666,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,9.0,9.0,0.0,1.0,1.0,3.0,3.0,2.0,-14.0,Andrew Bogut,DAL,False,True,
bareajo01,26.766666666666666,3.0,9.0,0.333,1.0,4.0,0.25,2.0,2.0,1.0,1.0,4.0,5.0,4.0,1.0,0.0,2.0,0.0,9.0,8.0,J.J. Barea,DAL,False,False,
anderju01,19.966666666666665,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,,4.0,4.0,8.0,1.0,1.0,0.0,3.0,2.0,5.0,-10.0,Justin Anderson,DAL,False,False,
poweldw01,15.916666666666666,5.0,8.0,0.625,0.0,0.0,,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,-1.0,Dwight Powell,DAL,False,False,
curryse01,14.783333333333333,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,-6.0,Seth Curry,DAL,False,False,
mejrisa01,5.366666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,Salah Mejri,DAL,False,False,
brussni01,1.8333333333333335,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Nicolás Brussino,DAL,False,False,
finnedo01,1.8333333333333335,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Dorian Finney-Smith,DAL,False,False,
acyqu01,1.8333333333333335,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Quincy Acy,DAL,False,False,
hillge01,34.93333333333333,9.0,15.0,0.6,4.0,6.0,0.667,3.0,3.0,1.0,1.0,5.0,6.0,4.0,0.0,0.0,3.0,2.0,25.0,24.0,George Hill,UTA,True,True,
hoodro01,34.61666666666667,9.0,16.0,0.563,2.0,4.0,0.5,2.0,2.0,1.0,1.0,6.0,7.0,3.0,1.0,0.0,3.0,4.0,22.0,24.0,Rodney Hood,UTA,True,True,
johnsjo02,33.15,5.0,11.0,0.455,2.0,3.0,0.667,1.0,1.0,1.0,0.0,5.0,5.0,4.0,1.0,0.0,1.0,0.0,13.0,26.0,Joe Johnson,UTA,True,True,
favorde01,23.05,3.0,8.0,0.375,0.0,0.0,,2.0,4.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,12.0,Derrick Favors,UTA,True,True,
goberru01,22.833333333333332,3.0,5.0,0.6,0.0,0.0,,6.0,14.0,0.429,4.0,8.0,12.0,1.0,2.0,3.0,1.0,5.0,12.0,22.0,Rudy Gobert,UTA,True,True,
inglejo01,23.166666666666668,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,7.0,Joe Ingles,UTA,True,False,
lylestr01,22.75,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.0,Trey Lyles,UTA,True,False,
exumda01,19.733333333333334,4.0,6.0,0.667,2.0,2.0,1.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,10.0,-13.0,Dante Exum,UTA,True,False,
macksh01,14.483333333333333,1.0,8.0,0.125,1.0,6.0,0.167,1.0,2.0,0.5,0.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,4.0,-10.0,Shelvin Mack,UTA,True,False,
witheje01,9.283333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-7.0,Jeff Withey,UTA,True,False,
bolomjo01,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Joel Bolomboy,UTA,True,False,
netora01,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,Raul Neto,UTA,True,False,
diawbo01,,,,,,,,,,,,,,,,,,,,,Boris Diaw,UTA,True,False,Did Not Dress
