player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
thompkl01,31.616666666666667,7.0,14.0,0.5,3.0,4.0,0.75,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,3.0,1.0,19.0,24.0,Klay Thompson,GSW,False,True,
curryst01,29.933333333333334,10.0,17.0,0.588,7.0,13.0,0.538,6.0,6.0,1.0,1.0,4.0,5.0,6.0,1.0,0.0,4.0,1.0,33.0,27.0,Stephen Curry,GSW,False,True,
duranke01,29.533333333333335,8.0,16.0,0.5,0.0,3.0,0.0,2.0,2.0,1.0,2.0,7.0,9.0,5.0,1.0,2.0,1.0,2.0,18.0,29.0,Kevin Durant,GSW,False,True,
greendr01,28.766666666666666,4.0,7.0,0.571,3.0,4.0,0.75,2.0,2.0,1.0,0.0,9.0,9.0,5.0,3.0,0.0,1.0,2.0,13.0,22.0,Draymond Green,GSW,False,True,
pachuza01,13.766666666666667,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,2.0,2.0,4.0,0.0,4.0,0.0,1.0,2.0,4.0,14.0,Zaza Pachulia,GSW,False,True,
iguodan01,22.833333333333332,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,4.0,2.0,0.0,0.0,2.0,2.0,3.0,Andre Iguodala,GSW,False,False,
livinsh01,18.05,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,6.0,-6.0,Shaun Livingston,GSW,False,False,
mcgeeja01,14.983333333333333,4.0,6.0,0.667,0.0,0.0,,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,0.0,10.0,6.0,JaVale McGee,GSW,False,False,
mccawpa01,14.7,3.0,6.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,8.0,4.0,Patrick McCaw,GSW,False,False,
westda01,13.316666666666666,2.0,3.0,0.667,0.0,0.0,,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,5.0,3.0,David West,GSW,False,False,
clarkia01,11.366666666666667,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,-4.0,Ian Clark,GSW,False,False,
looneke01,5.85,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,-2.0,Kevon Looney,GSW,False,False,
varejan01,5.283333333333333,0.0,1.0,0.0,0.0,0.0,,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,Anderson Varejão,GSW,False,False,
gallida01,26.466666666666665,2.0,9.0,0.222,1.0,5.0,0.2,6.0,7.0,0.857,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,11.0,-20.0,Danilo Gallinari,DEN,True,True,
mudiaem01,24.466666666666665,4.0,15.0,0.267,2.0,5.0,0.4,0.0,0.0,,1.0,3.0,4.0,4.0,1.0,0.0,3.0,1.0,10.0,-21.0,Emmanuel Mudiay,DEN,True,True,
jokicni01,18.483333333333334,1.0,5.0,0.2,0.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,3.0,4.0,-21.0,Nikola Jokić,DEN,True,True,
harriga01,18.066666666666666,5.0,7.0,0.714,1.0,2.0,0.5,0.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,11.0,-24.0,Gary Harris,DEN,True,True,
nurkiju01,16.916666666666668,4.0,5.0,0.8,0.0,0.0,,1.0,2.0,0.5,1.0,2.0,3.0,0.0,1.0,1.0,4.0,2.0,9.0,-23.0,Jusuf Nurkić,DEN,True,True,
hernaju01,30.433333333333334,4.0,10.0,0.4,2.0,3.0,0.667,1.0,2.0,0.5,3.0,6.0,9.0,0.0,1.0,1.0,1.0,2.0,11.0,-2.0,Juan Hernangómez,DEN,True,False,
farieke01,30.333333333333332,4.0,9.0,0.444,0.0,0.0,,0.0,0.0,,6.0,5.0,11.0,1.0,2.0,0.0,1.0,1.0,8.0,-10.0,Kenneth Faried,DEN,True,False,
murraja01,29.066666666666666,5.0,15.0,0.333,2.0,7.0,0.286,2.0,2.0,1.0,2.0,1.0,3.0,6.0,0.0,1.0,3.0,3.0,14.0,-3.0,Jamal Murray,DEN,True,False,
nelsoja01,16.016666666666666,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,,1.0,2.0,3.0,4.0,0.0,0.0,2.0,2.0,0.0,-1.0,Jameer Nelson,DEN,True,False,
beaslma01,14.783333333333333,5.0,10.0,0.5,2.0,5.0,0.4,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,5.0,Malik Beasley,DEN,True,False,
millemi01,9.233333333333333,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,-2.0,Mike Miller,DEN,True,False,
stokeja01,5.733333333333333,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,Jarnell Stokes,DEN,True,False,
arthuda01,,,,,,,,,,,,,,,,,,,,,Darrell Arthur,DEN,True,False,Did Not Dress
