player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
fournev01,32.61666666666667,4.0,15.0,0.267,1.0,4.0,0.25,5.0,5.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,14.0,-8.0,Evan Fournier,ORL,False,True
paytoel01,29.383333333333333,5.0,11.0,0.455,0.0,1.0,0.0,2.0,2.0,1.0,1.0,6.0,7.0,2.0,2.0,0.0,3.0,2.0,12.0,-7.0,Elfrid Payton,ORL,False,True
ibakase01,28.05,3.0,13.0,0.231,0.0,4.0,0.0,0.0,0.0,,3.0,10.0,13.0,2.0,0.0,0.0,2.0,1.0,6.0,-2.0,Serge Ibaka,ORL,False,True
vucevni01,25.033333333333335,1.0,10.0,0.1,0.0,0.0,,0.0,0.0,,0.0,12.0,12.0,1.0,0.0,1.0,3.0,4.0,2.0,-19.0,Nikola Vučević,ORL,False,True
greenje02,22.266666666666666,1.0,4.0,0.25,0.0,3.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,-17.0,Jeff Green,ORL,False,True
gordoaa01,22.05,5.0,11.0,0.455,1.0,4.0,0.25,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,Aaron Gordon,ORL,False,False
biyombi01,21.05,4.0,4.0,1.0,0.0,0.0,,1.0,2.0,0.5,3.0,6.0,9.0,0.0,0.0,3.0,3.0,1.0,9.0,-4.0,Bismack Biyombo,ORL,False,False
watsocj01,17.183333333333334,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,-13.0,C.J. Watson,ORL,False,False
augusdj01,16.266666666666666,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,-15.0,D.J. Augustin,ORL,False,False
rudezda01,13.483333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,-8.0,Damjan Rudež,ORL,False,False
hezonma01,5.25,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Mario Hezonja,ORL,False,False
onuakar01,3.6833333333333336,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,Arinze Onuaku,ORL,False,False
wilcocj01,3.6833333333333336,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,C.J. Wilcox,ORL,False,False
ellismo01,36.36666666666667,6.0,11.0,0.545,0.0,4.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,13.0,8.0,Monta Ellis,IND,True,True
georgpa01,34.166666666666664,5.0,16.0,0.313,1.0,5.0,0.2,2.0,2.0,1.0,1.0,5.0,6.0,5.0,2.0,1.0,2.0,1.0,13.0,10.0,Paul George,IND,True,True
youngth01,30.083333333333332,5.0,8.0,0.625,1.0,1.0,1.0,0.0,0.0,,0.0,5.0,5.0,1.0,2.0,1.0,0.0,1.0,11.0,11.0,Thaddeus Young,IND,True,True
teaguje01,28.6,4.0,9.0,0.444,1.0,3.0,0.333,2.0,2.0,1.0,0.0,8.0,8.0,5.0,1.0,3.0,1.0,3.0,11.0,1.0,Jeff Teague,IND,True,True
turnemy01,23.9,4.0,11.0,0.364,0.0,0.0,,1.0,1.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,2.0,3.0,9.0,9.0,Myles Turner,IND,True,True
milescj01,23.216666666666665,5.0,12.0,0.417,4.0,8.0,0.5,2.0,2.0,1.0,0.0,4.0,4.0,1.0,2.0,2.0,0.0,0.0,16.0,17.0,C.J. Miles,IND,True,False
serapke01,19.1,3.0,8.0,0.375,0.0,0.0,,0.0,0.0,,5.0,5.0,10.0,3.0,1.0,1.0,2.0,1.0,6.0,14.0,Kevin Séraphin,IND,True,False
brookaa01,17.15,2.0,9.0,0.222,1.0,3.0,0.333,2.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,7.0,15.0,Aaron Brooks,IND,True,False
allenla01,15.666666666666666,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,Lavoy Allen,IND,True,False
jeffeal01,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0,Al Jefferson,IND,True,False
robingl02,2.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,Glenn Robinson,IND,True,False
niangge01,2.25,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Georges Niang,IND,True,False
youngjo01,2.25,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Joe Young,IND,True,False
