player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
harrito02,26.266666666666666,4.0,11.0,0.364,1.0,4.0,0.25,1.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,10.0,-34.0,Tobias Harris,DET,False,True
caldwke01,24.066666666666666,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,-34.0,Kentavious Caldwell-Pope,DET,False,True
jacksre01,23.916666666666668,2.0,5.0,0.4,0.0,1.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,7.0,-29.0,Reggie Jackson,DET,False,True
morrima03,23.916666666666668,2.0,9.0,0.222,0.0,4.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,6.0,-29.0,Marcus Morris,DET,False,True
drumman01,23.283333333333335,4.0,8.0,0.5,0.0,0.0,,1.0,2.0,0.5,2.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,9.0,-27.0,Andre Drummond,DET,False,True
johnsst04,23.933333333333334,3.0,9.0,0.333,1.0,4.0,0.25,0.0,0.0,,2.0,2.0,4.0,3.0,2.0,0.0,1.0,2.0,7.0,3.0,Stanley Johnson,DET,False,False
leuerjo01,20.6,7.0,9.0,0.778,0.0,1.0,0.0,2.0,2.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,16.0,-9.0,Jon Leuer,DET,False,False
smithis01,18.2,2.0,7.0,0.286,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,4.0,-8.0,Ish Smith,DET,False,False
hillida01,18.083333333333332,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,2.0,0.0,5.0,7.0,Darrun Hilliard,DET,False,False
baynear01,17.6,1.0,3.0,0.333,0.0,0.0,,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,-7.0,Aron Baynes,DET,False,False
marjabo01,7.133333333333334,3.0,6.0,0.5,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,6.0,3.0,Boban Marjanović,DET,False,False
ellenhe01,7.133333333333334,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Henry Ellenson,DET,False,False
udrihbe01,5.883333333333333,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,Beno Udrih,DET,False,False
butleji01,30.0,6.0,7.0,0.857,1.0,1.0,1.0,6.0,6.0,1.0,1.0,2.0,3.0,6.0,2.0,0.0,0.0,0.0,19.0,25.0,Jimmy Butler,CHI,True,True
rondora01,28.05,4.0,7.0,0.571,2.0,3.0,0.667,0.0,0.0,,0.0,8.0,8.0,14.0,3.0,0.0,4.0,2.0,10.0,23.0,Rajon Rondo,CHI,True,True
lopezro01,25.6,7.0,10.0,0.7,0.0,0.0,,0.0,0.0,,3.0,3.0,6.0,0.0,0.0,0.0,1.0,3.0,14.0,23.0,Robin Lopez,CHI,True,True
wadedw01,22.216666666666665,6.0,10.0,0.6,0.0,0.0,,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,1.0,0.0,13.0,26.0,Dwyane Wade,CHI,True,True
gibsota01,19.416666666666668,8.0,8.0,1.0,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,16.0,19.0,Taj Gibson,CHI,True,True
mcderdo01,24.65,6.0,12.0,0.5,1.0,3.0,0.333,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,13.0,17.0,Doug McDermott,CHI,True,False
feliccr01,22.416666666666668,3.0,5.0,0.6,0.0,0.0,,0.0,0.0,,3.0,4.0,7.0,2.0,1.0,1.0,0.0,2.0,6.0,8.0,Cristiano Felício,CHI,True,False
mirotni01,21.45,5.0,10.0,0.5,3.0,6.0,0.5,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,2.0,2.0,3.0,13.0,15.0,Nikola Mirotić,CHI,True,False
grantje02,15.366666666666667,3.0,5.0,0.6,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,6.0,10.0,Jerian Grant,CHI,True,False
valende01,12.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,-3.0,Denzel Valentine,CHI,True,False
zipsepa01,7.133333333333334,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,Paul Zipser,CHI,True,False
portibo01,7.133333333333334,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-3.0,Bobby Portis,CHI,True,False
canaais01,4.583333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,Isaiah Canaan,CHI,True,False
