player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
matthwe02,29.75,5.0,14.0,0.357,2.0,4.0,0.5,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,14.0,-12.0,Wesley Matthews,DAL,False,True,
barneha02,27.616666666666667,11.0,18.0,0.611,3.0,7.0,0.429,0.0,0.0,,0.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,25.0,-17.0,Harrison Barnes,DAL,False,True,
nowitdi01,23.433333333333334,3.0,12.0,0.25,0.0,3.0,0.0,5.0,5.0,1.0,0.0,5.0,5.0,1.0,0.0,1.0,3.0,2.0,11.0,-17.0,Dirk Nowitzki,DAL,False,True,
finnedo01,21.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-19.0,Dorian Finney-Smith,DAL,False,True,
willide01,20.466666666666665,4.0,7.0,0.571,1.0,3.0,0.333,2.0,3.0,0.667,0.0,2.0,2.0,4.0,1.0,0.0,2.0,0.0,11.0,-20.0,Deron Williams,DAL,False,True,
curryse01,26.133333333333333,4.0,8.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,1.0,0.0,1.0,5.0,2.0,0.0,0.0,1.0,11.0,-4.0,Seth Curry,DAL,False,False,
poweldw01,25.816666666666666,5.0,7.0,0.714,0.0,0.0,,0.0,0.0,,3.0,10.0,13.0,1.0,0.0,2.0,0.0,1.0,10.0,12.0,Dwight Powell,DAL,False,False,
harride01,17.65,1.0,4.0,0.25,1.0,4.0,0.25,1.0,2.0,0.5,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,-6.0,Devin Harris,DAL,False,False,
anderju01,14.733333333333333,3.0,11.0,0.273,0.0,4.0,0.0,0.0,0.0,,2.0,2.0,4.0,1.0,2.0,2.0,0.0,3.0,6.0,9.0,Justin Anderson,DAL,False,False,
jackspi01,12.0,1.0,6.0,0.167,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,3.0,13.0,Pierre Jackson,DAL,False,False,
brussni01,12.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,13.0,Nicolás Brussino,DAL,False,False,
hammoaj01,6.35,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,A.J. Hammons,DAL,False,False,
mejrisa01,3.05,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.0,Salah Mejri,DAL,False,False,
thompkl01,35.7,11.0,19.0,0.579,5.0,11.0,0.455,2.0,2.0,1.0,0.0,4.0,4.0,2.0,1.0,1.0,2.0,0.0,29.0,4.0,Klay Thompson,GSW,True,True,
duranke01,35.43333333333333,7.0,14.0,0.5,2.0,7.0,0.286,3.0,4.0,0.75,0.0,11.0,11.0,10.0,0.0,0.0,4.0,0.0,19.0,9.0,Kevin Durant,GSW,True,True,
curryst01,30.133333333333333,5.0,12.0,0.417,3.0,6.0,0.5,1.0,1.0,1.0,0.0,4.0,4.0,5.0,1.0,0.0,1.0,2.0,14.0,14.0,Stephen Curry,GSW,True,True,
greendr01,26.55,6.0,10.0,0.6,1.0,3.0,0.333,0.0,0.0,,2.0,6.0,8.0,7.0,0.0,0.0,3.0,3.0,13.0,17.0,Draymond Green,GSW,True,True,
pachuza01,18.333333333333332,1.0,6.0,0.167,0.0,0.0,,0.0,0.0,,1.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,11.0,Zaza Pachulia,GSW,True,True,
clarkia01,23.616666666666667,3.0,8.0,0.375,0.0,3.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,7.0,-1.0,Ian Clark,GSW,True,False,
iguodan01,22.7,0.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,2.0,0.0,1.0,0.0,2.0,2.0,-2.0,Andre Iguodala,GSW,True,False,
livinsh01,17.866666666666667,3.0,5.0,0.6,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,6.0,-5.0,Shaun Livingston,GSW,True,False,
westda01,14.583333333333334,2.0,2.0,1.0,0.0,0.0,,4.0,4.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,2.0,8.0,4.0,David West,GSW,True,False,
mcgeeja01,10.6,4.0,4.0,1.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,JaVale McGee,GSW,True,False,
looneke01,4.483333333333333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-7.0,Kevon Looney,GSW,True,False,
mcadoja01,,,,,,,,,,,,,,,,,,,,,James Michael McAdoo,GSW,True,False,Did Not Play
jonesda03,,,,,,,,,,,,,,,,,,,,,Damian Jones,GSW,True,False,Did Not Play
