player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
adamsst01,36.31666666666667,11.0,14.0,0.786,0.0,0.0,,0.0,0.0,,1.0,4.0,5.0,2.0,0.0,1.0,1.0,0.0,22.0,13.0,Steven Adams,,OKC,False,True
westbru01,33.31666666666667,9.0,18.0,0.5,1.0,7.0,0.143,2.0,3.0,0.667,0.0,9.0,9.0,14.0,1.0,0.0,4.0,2.0,21.0,10.0,Russell Westbrook,,OKC,False,True
roberan03,32.516666666666666,3.0,5.0,0.6,2.0,4.0,0.5,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,22.0,Andre Roberson,,OKC,False,True
oladivi01,24.65,6.0,9.0,0.667,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,1.0,4.0,13.0,10.0,Victor Oladipo,,OKC,False,True
sabondo01,21.783333333333335,1.0,5.0,0.2,0.0,2.0,0.0,3.0,3.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,3.0,5.0,-8.0,Domantas Sabonis,,OKC,False,True
kanteen01,27.8,9.0,11.0,0.818,0.0,0.0,,2.0,3.0,0.667,4.0,7.0,11.0,3.0,1.0,0.0,1.0,1.0,20.0,27.0,Enes Kanter,,OKC,False,False
abrinal01,18.883333333333333,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,7.0,-4.0,Álex Abrines,,OKC,False,False
grantje01,16.383333333333333,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,7.0,4.0,Jerami Grant,,OKC,False,False
payneca01,14.683333333333334,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,5.0,Cameron Payne,,OKC,False,False
lauvejo01,13.666666666666666,2.0,3.0,0.667,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,-4.0,Joffrey Lauvergne,,OKC,False,False
chrisse01,,,,,,,,,,,,,,,,,,,,,Semaj Christon,Did Not Play,OKC,False,False
collini01,,,,,,,,,,,,,,,,,,,,,Nick Collison,Did Not Play,OKC,False,False
morroan01,,,,,,,,,,,,,,,,,,,,,Anthony Morrow,Did Not Play,OKC,False,False
butleji01,28.8,0.0,6.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,7.0,0.0,0.0,1.0,0.0,1.0,-15.0,Jimmy Butler,,CHI,True,True
wadedw01,27.516666666666666,7.0,15.0,0.467,2.0,3.0,0.667,6.0,8.0,0.75,0.0,4.0,4.0,6.0,0.0,1.0,1.0,1.0,22.0,-1.0,Dwyane Wade,,CHI,True,True
lopezro01,25.8,1.0,7.0,0.143,0.0,0.0,,1.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,2.0,3.0,-18.0,Robin Lopez,,CHI,True,True
cartemi01,24.216666666666665,6.0,11.0,0.545,0.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,15.0,-23.0,Michael Carter-Williams,,CHI,True,True
gibsota01,20.133333333333333,4.0,8.0,0.5,0.0,0.0,,1.0,1.0,1.0,1.0,6.0,7.0,0.0,2.0,0.0,0.0,3.0,9.0,-2.0,Taj Gibson,,CHI,True,True
mcderdo01,25.233333333333334,2.0,6.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,-16.0,Doug McDermott,,CHI,True,False
feliccr01,24.0,5.0,6.0,0.833,0.0,0.0,,1.0,1.0,1.0,4.0,7.0,11.0,1.0,3.0,0.0,1.0,2.0,11.0,-2.0,Cristiano Felício,,CHI,True,False
grantje02,21.366666666666667,4.0,7.0,0.571,1.0,3.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,Jerian Grant,,CHI,True,False
mirotni01,16.016666666666666,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,3.0,-13.0,Nikola Mirotić,,CHI,True,False
portibo01,10.05,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,7.0,5.0,Bobby Portis,,CHI,True,False
canaais01,8.433333333333334,1.0,3.0,0.333,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,5.0,5.0,Isaiah Canaan,,CHI,True,False
zipsepa01,8.433333333333334,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Paul Zipser,,CHI,True,False
rondora01,,,,,,,,,,,,,,,,,,,,,Rajon Rondo,Did Not Play,CHI,True,False
