player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
ibakase01,38.3,7.0,16.0,0.438,3.0,7.0,0.429,0.0,0.0,,4.0,6.0,10.0,2.0,1.0,2.0,2.0,4.0,17.0,2.0,Serge Ibaka,,ORL,False,True
vucevni01,37.6,5.0,15.0,0.333,0.0,3.0,0.0,3.0,6.0,0.5,2.0,9.0,11.0,5.0,0.0,1.0,2.0,4.0,13.0,6.0,Nikola Vučević,,ORL,False,True
watsocj01,34.416666666666664,6.0,10.0,0.6,1.0,3.0,0.333,5.0,5.0,1.0,1.0,3.0,4.0,2.0,2.0,0.0,1.0,2.0,18.0,8.0,C.J. Watson,,ORL,False,True
paytoel01,30.45,9.0,17.0,0.529,2.0,5.0,0.4,1.0,2.0,0.5,0.0,4.0,4.0,3.0,3.0,0.0,1.0,5.0,21.0,2.0,Elfrid Payton,,ORL,False,True
gordoaa01,27.933333333333334,4.0,11.0,0.364,1.0,5.0,0.2,3.0,3.0,1.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,4.0,12.0,4.0,Aaron Gordon,,ORL,False,True
greenje02,25.133333333333333,4.0,6.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0,2.0,1.0,10.0,-10.0,Jeff Green,,ORL,False,False
fournev01,22.916666666666668,4.0,11.0,0.364,1.0,4.0,0.25,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,9.0,-18.0,Evan Fournier,,ORL,False,False
augusdj01,22.55,2.0,9.0,0.222,1.0,5.0,0.2,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,5.0,-8.0,D.J. Augustin,,ORL,False,False
biyombi01,15.4,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,-12.0,Bismack Biyombo,,ORL,False,False
rudezda01,10.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,Damjan Rudež,,ORL,False,False
wilcocj01,,,,,,,,,,,,,,,,,,,,,C.J. Wilcox,Not With Team,ORL,False,False
hezonma01,,,,,,,,,,,,,,,,,,,,,Mario Hezonja,Did Not Play,ORL,False,False
brownan02,,,,,,,,,,,,,,,,,,,,,Anthony Brown,Did Not Play,ORL,False,False
townska01,44.88333333333333,8.0,18.0,0.444,1.0,2.0,0.5,6.0,7.0,0.857,2.0,10.0,12.0,7.0,0.0,3.0,5.0,3.0,23.0,3.0,Karl-Anthony Towns,,MIN,True,True
lavinza01,43.06666666666667,3.0,9.0,0.333,1.0,6.0,0.167,4.0,5.0,0.8,0.0,3.0,3.0,0.0,1.0,0.0,0.0,4.0,11.0,3.0,Zach LaVine,,MIN,True,True
wiggian01,40.766666666666666,10.0,20.0,0.5,1.0,3.0,0.333,6.0,8.0,0.75,1.0,1.0,2.0,5.0,2.0,1.0,3.0,1.0,27.0,0.0,Andrew Wiggins,,MIN,True,True
rubiori01,35.88333333333333,7.0,16.0,0.438,6.0,9.0,0.667,2.0,4.0,0.5,1.0,7.0,8.0,8.0,0.0,2.0,1.0,6.0,22.0,-7.0,Ricky Rubio,,MIN,True,True
dienggo01,32.833333333333336,2.0,7.0,0.286,1.0,2.0,0.5,0.0,0.0,,4.0,10.0,14.0,3.0,0.0,0.0,1.0,3.0,5.0,-5.0,Gorgui Dieng,,MIN,True,True
bjeline01,24.033333333333335,3.0,4.0,0.75,0.0,0.0,,1.0,2.0,0.5,1.0,3.0,4.0,1.0,0.0,2.0,0.0,2.0,7.0,11.0,Nemanja Bjelica,,MIN,True,False
muhamsh01,22.166666666666668,4.0,10.0,0.4,2.0,5.0,0.4,0.0,0.0,,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,10.0,9.0,Shabazz Muhammad,,MIN,True,False
dunnkr01,17.05,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,4.0,11.0,Kris Dunn,,MIN,True,False
aldrico01,4.25,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,Cole Aldrich,,MIN,True,False
jonesty01,0.06666666666666667,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Tyus Jones,,MIN,True,False
rushbr01,,,,,,,,,,,,,,,,,,,,,Brandon Rush,Did Not Play,MIN,True,False
paynead01,,,,,,,,,,,,,,,,,,,,,Adreian Payne,Did Not Play,MIN,True,False
hilljo01,,,,,,,,,,,,,,,,,,,,,Jordan Hill,Did Not Play,MIN,True,False
