player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
ulisty01,42.46666666666667,4.0,11.0,0.364,0.0,1.0,0.0,1.0,3.0,0.333,0.0,3.0,3.0,6.0,1.0,0.0,5.0,2.0,9.0,-6.0,Tyler Ulis,,PHO,False,True
chrisma01,38.28333333333333,7.0,9.0,0.778,2.0,2.0,1.0,8.0,10.0,0.8,1.0,6.0,7.0,0.0,2.0,0.0,6.0,5.0,24.0,-11.0,Marquese Chriss,,PHO,False,True
lenal01,35.55,5.0,13.0,0.385,0.0,2.0,0.0,2.0,2.0,1.0,3.0,8.0,11.0,0.0,0.0,4.0,3.0,3.0,12.0,-14.0,Alex Len,,PHO,False,True
bookede01,34.13333333333333,4.0,16.0,0.25,0.0,4.0,0.0,3.0,4.0,0.75,2.0,2.0,4.0,5.0,1.0,0.0,7.0,3.0,11.0,-29.0,Devin Booker,,PHO,False,True
warretj01,30.7,6.0,14.0,0.429,0.0,0.0,,0.0,1.0,0.0,3.0,2.0,5.0,0.0,1.0,1.0,0.0,2.0,12.0,-21.0,T.J. Warren,,PHO,False,True
dudleja01,19.266666666666666,3.0,6.0,0.5,1.0,4.0,0.25,1.0,3.0,0.333,0.0,8.0,8.0,2.0,0.0,0.0,2.0,3.0,8.0,5.0,Jared Dudley,,PHO,False,False
jonesde02,17.983333333333334,2.0,4.0,0.5,0.0,0.0,,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,7.0,Derrick Jones,,PHO,False,False
barbole01,17.933333333333334,4.0,7.0,0.571,1.0,2.0,0.5,4.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,13.0,-10.0,Leandro Barbosa,,PHO,False,False
eddieja01,3.6833333333333336,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,Jarell Eddie,,PHO,False,False
bledser01,,,,,,,,,,,,,,,,,,,,,Eric Bledsoe,Did Not Play,PHO,False,False
chandty01,,,,,,,,,,,,,,,,,,,,,Tyson Chandler,Did Not Play,PHO,False,False
knighbr03,,,,,,,,,,,,,,,,,,,,,Brandon Knight,Did Not Play,PHO,False,False
willial03,,,,,,,,,,,,,,,,,,,,,Alan Williams,Not With Team,PHO,False,False
richajo01,35.96666666666667,6.0,13.0,0.462,2.0,5.0,0.4,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,14.0,8.0,Josh Richardson,,MIA,True,True
whiteha01,31.466666666666665,9.0,18.0,0.5,0.0,0.0,,5.0,6.0,0.833,4.0,10.0,14.0,1.0,3.0,2.0,2.0,4.0,23.0,23.0,Hassan Whiteside,,MIA,True,True
dragigo01,28.233333333333334,6.0,15.0,0.4,2.0,5.0,0.4,2.0,3.0,0.667,1.0,3.0,4.0,2.0,2.0,0.0,3.0,3.0,16.0,18.0,Goran Dragić,,MIA,True,True
mcgruro01,24.266666666666666,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,,1.0,4.0,5.0,4.0,0.0,1.0,1.0,2.0,2.0,2.0,Rodney McGruder,,MIA,True,True
babbilu01,16.283333333333335,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.0,5.0,5.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,Luke Babbitt,,MIA,True,True
johnsty01,28.966666666666665,7.0,17.0,0.412,2.0,3.0,0.667,1.0,2.0,0.5,1.0,5.0,6.0,4.0,5.0,0.0,2.0,3.0,17.0,-2.0,Tyler Johnson,,MIA,True,False
ellinwa01,26.566666666666666,4.0,8.0,0.5,3.0,6.0,0.5,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,11.0,19.0,Wayne Ellington,,MIA,True,False
johnsja01,22.883333333333333,3.0,9.0,0.333,1.0,2.0,0.5,3.0,6.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,10.0,13.0,James Johnson,,MIA,True,False
reedwi02,16.533333333333335,4.0,5.0,0.8,0.0,0.0,,4.0,4.0,1.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,5.0,12.0,-8.0,Willie Reed,,MIA,True,False
whiteok01,8.833333333333334,1.0,3.0,0.333,0.0,0.0,,2.0,2.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,Okaro White,,MIA,True,False
hasleud01,,,,,,,,,,,,,,,,,,,,,Udonis Haslem,Did Not Play,MIA,True,False
waitedi01,,,,,,,,,,,,,,,,,,,,,Dion Waiters,Did Not Dress,MIA,True,False
