player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
luwawti01,28.816666666666666,1.0,6.0,0.167,1.0,3.0,0.333,0.0,0.0,,0.0,2.0,2.0,3.0,1.0,0.0,2.0,3.0,3.0,-8.0,Timothé Luwawu-Cabarrot,,PHI,False,True
saricda01,25.816666666666666,4.0,14.0,0.286,1.0,3.0,0.333,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,12.0,-23.0,Dario Šarić,,PHI,False,True
covinro01,25.0,4.0,9.0,0.444,1.0,3.0,0.333,3.0,3.0,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,12.0,-15.0,Robert Covington,,PHI,False,True
mccontj01,22.466666666666665,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,2.0,-17.0,T.J. McConnell,,PHI,False,True
okafoja01,16.716666666666665,3.0,6.0,0.5,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,-16.0,Jahlil Okafor,,PHI,False,True
stausni01,29.9,7.0,12.0,0.583,5.0,8.0,0.625,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,-5.0,Nik Stauskas,,PHI,False,False
rodrise01,25.533333333333335,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,6.0,-8.0,Sergio Rodríguez,,PHI,False,False
anderju01,18.75,3.0,9.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,2.0,8.0,-7.0,Justin Anderson,,PHI,False,False
holmeri01,16.316666666666666,5.0,8.0,0.625,0.0,0.0,,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,11.0,-4.0,Richaun Holmes,,PHI,False,False
hendege02,16.083333333333332,2.0,8.0,0.25,0.0,4.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,-17.0,Gerald Henderson,,PHI,False,False
longsh01,14.6,4.0,7.0,0.571,0.0,1.0,0.0,5.0,6.0,0.833,2.0,4.0,6.0,0.0,0.0,0.0,0.0,5.0,13.0,-5.0,Shawn Long,,PHI,False,False
bayleje01,,,,,,,,,,,,,,,,,,,,,Jerryd Bayless,Did Not Dress,PHI,False,False
oladivi01,31.466666666666665,7.0,13.0,0.538,1.0,3.0,0.333,3.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,4.0,2.0,18.0,20.0,Victor Oladipo,,OKC,True,True
westbru01,27.85,6.0,6.0,1.0,0.0,0.0,,6.0,6.0,1.0,0.0,11.0,11.0,14.0,0.0,2.0,5.0,1.0,18.0,21.0,Russell Westbrook,,OKC,True,True
adamsst01,24.766666666666666,3.0,7.0,0.429,0.0,0.0,,0.0,5.0,0.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,6.0,18.0,Steven Adams,,OKC,True,True
roberan03,23.516666666666666,4.0,10.0,0.4,0.0,2.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,0.0,2.0,2.0,0.0,1.0,9.0,9.0,Andre Roberson,,OKC,True,True
gibsota01,13.4,4.0,8.0,0.5,0.0,0.0,,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,8.0,8.0,Taj Gibson,,OKC,True,True
abrinal01,24.166666666666668,1.0,6.0,0.167,1.0,5.0,0.2,2.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,5.0,11.0,Álex Abrines,,OKC,True,False
kanteen01,20.316666666666666,8.0,9.0,0.889,0.0,0.0,,8.0,9.0,0.889,4.0,7.0,11.0,0.0,1.0,1.0,0.0,1.0,24.0,23.0,Enes Kanter,,OKC,True,False
sabondo01,18.016666666666666,1.0,5.0,0.2,0.0,0.0,,1.0,2.0,0.5,1.0,5.0,6.0,2.0,1.0,0.0,2.0,4.0,3.0,9.0,Domantas Sabonis,,OKC,True,False
chrisse01,17.783333333333335,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,11.0,Semaj Christon,,OKC,True,False
mcderdo01,14.1,6.0,10.0,0.6,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,3.0,Doug McDermott,,OKC,True,False
grantje01,10.933333333333334,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,-3.0,Jerami Grant,,OKC,True,False
collini01,8.483333333333333,3.0,3.0,1.0,0.0,0.0,,1.0,1.0,1.0,2.0,3.0,5.0,2.0,0.0,1.0,0.0,3.0,7.0,-3.0,Nick Collison,,OKC,True,False
coleno01,5.216666666666667,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-2.0,Norris Cole,,OKC,True,False
