player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
crowdja01,27.866666666666667,2.0,7.0,0.286,1.0,4.0,0.25,3.0,5.0,0.6,0.0,5.0,5.0,0.0,1.0,0.0,2.0,1.0,8.0,18.0,Jae Crowder,BOS,False,True,
brownja02,26.8,5.0,6.0,0.833,2.0,3.0,0.667,4.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,16.0,12.0,Jaylen Brown,BOS,False,True,
horfoal01,26.066666666666666,6.0,9.0,0.667,1.0,4.0,0.25,1.0,1.0,1.0,1.0,6.0,7.0,1.0,0.0,0.0,1.0,1.0,14.0,16.0,Al Horford,BOS,False,True,
thomais02,23.883333333333333,6.0,11.0,0.545,4.0,9.0,0.444,3.0,3.0,1.0,0.0,2.0,2.0,6.0,1.0,0.0,1.0,0.0,19.0,10.0,Isaiah Thomas,BOS,False,True,
johnsam01,20.0,4.0,5.0,0.8,1.0,1.0,1.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,9.0,8.0,Amir Johnson,BOS,False,True,
smartma01,27.433333333333334,6.0,11.0,0.545,1.0,5.0,0.2,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0,3.0,3.0,14.0,23.0,Marcus Smart,BOS,False,False,
roziete01,24.15,4.0,6.0,0.667,1.0,3.0,0.333,3.0,5.0,0.6,0.0,2.0,2.0,4.0,3.0,0.0,1.0,2.0,12.0,6.0,Terry Rozier,BOS,False,False,
jerebjo01,21.95,1.0,6.0,0.167,0.0,3.0,0.0,1.0,2.0,0.5,1.0,8.0,9.0,2.0,0.0,0.0,0.0,4.0,3.0,3.0,Jonas Jerebko,BOS,False,False,
olynyke01,19.016666666666666,5.0,7.0,0.714,1.0,2.0,0.5,1.0,3.0,0.333,0.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,12.0,14.0,Kelly Olynyk,BOS,False,False,
zellety01,8.966666666666667,1.0,1.0,1.0,0.0,0.0,,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,-9.0,Tyler Zeller,BOS,False,False,
youngja01,7.65,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,-11.0,James Young,BOS,False,False,
greenge01,6.2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,-10.0,Gerald Green,BOS,False,False,
leeco01,30.316666666666666,5.0,10.0,0.5,1.0,3.0,0.333,5.0,5.0,1.0,1.0,2.0,3.0,5.0,1.0,0.0,1.0,0.0,16.0,-8.0,Courtney Lee,NYK,True,True,
bakerro01,28.533333333333335,2.0,5.0,0.4,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,4.0,-9.0,Ron Baker,NYK,True,True,
porzikr01,27.583333333333332,6.0,10.0,0.6,0.0,0.0,,2.0,4.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,14.0,-18.0,Kristaps Porziņģis,NYK,True,True,
vujacsa01,25.083333333333332,1.0,10.0,0.1,1.0,6.0,0.167,1.0,2.0,0.5,2.0,3.0,5.0,4.0,1.0,0.0,1.0,0.0,4.0,-15.0,Sasha Vujačić,NYK,True,True,
hernawi01,19.016666666666666,6.0,9.0,0.667,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,12.0,-17.0,Willy Hernangómez,NYK,True,True,
holidju01,28.016666666666666,2.0,12.0,0.167,1.0,6.0,0.167,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,-17.0,Justin Holiday,NYK,True,False,
randlch01,22.166666666666668,3.0,8.0,0.375,1.0,4.0,0.25,3.0,4.0,0.75,0.0,2.0,2.0,3.0,1.0,0.0,3.0,5.0,10.0,-5.0,Chasson Randle,NYK,True,False,
oquinky01,17.3,2.0,7.0,0.286,0.0,0.0,,7.0,7.0,1.0,3.0,6.0,9.0,0.0,0.0,2.0,2.0,4.0,11.0,-11.0,Kyle O'Quinn,NYK,True,False,
kuzmimi01,15.933333333333334,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,7.0,Mindaugas Kuzminskas,NYK,True,False,
ndourma01,14.366666666666667,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,Maurice Ndour,NYK,True,False,
plumlma02,11.683333333333334,1.0,2.0,0.5,0.0,0.0,,3.0,3.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,1.0,0.0,5.0,12.0,Marshall Plumlee,NYK,True,False,
noahjo01,,,,,,,,,,,,,,,,,,,,,Joakim Noah,NYK,True,False,Player Suspended
