player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
thomais02,29.216666666666665,3.0,8.0,0.375,0.0,2.0,0.0,7.0,11.0,0.636,0.0,3.0,3.0,4.0,0.0,0.0,2.0,3.0,13.0,-19.0,Isaiah Thomas,BOS,False,True
bradlav01,28.416666666666668,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,7.0,-25.0,Avery Bradley,BOS,False,True
horfoal01,27.55,5.0,8.0,0.625,4.0,5.0,0.8,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,16.0,-23.0,Al Horford,BOS,False,True
greenge01,25.65,3.0,8.0,0.375,1.0,3.0,0.333,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,8.0,-7.0,Gerald Green,BOS,False,True
crowdja01,25.516666666666666,4.0,10.0,0.4,2.0,4.0,0.5,4.0,4.0,1.0,0.0,6.0,6.0,1.0,2.0,0.0,0.0,3.0,14.0,-18.0,Jae Crowder,BOS,False,True
smartma01,24.516666666666666,2.0,9.0,0.222,1.0,4.0,0.25,4.0,5.0,0.8,2.0,2.0,4.0,2.0,1.0,1.0,8.0,2.0,9.0,-19.0,Marcus Smart,BOS,False,False
brownja02,18.683333333333334,3.0,9.0,0.333,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,6.0,-12.0,Jaylen Brown,BOS,False,False
olynyke01,11.983333333333333,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,Kelly Olynyk,BOS,False,False
zellety01,10.566666666666666,0.0,3.0,0.0,0.0,0.0,,3.0,4.0,0.75,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,-6.0,Tyler Zeller,BOS,False,False
johnsam01,9.9,1.0,2.0,0.5,0.0,0.0,,1.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,-1.0,Amir Johnson,BOS,False,False
youngja01,9.9,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,-1.0,James Young,BOS,False,False
jerebjo01,9.116666666666667,1.0,3.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,Jonas Jerebko,BOS,False,False
roziete01,8.983333333333333,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,-9.0,Terry Rozier,BOS,False,False
porteot01,37.78333333333333,8.0,13.0,0.615,0.0,3.0,0.0,3.0,4.0,0.75,1.0,7.0,8.0,2.0,3.0,0.0,1.0,2.0,19.0,16.0,Otto Porter,WAS,True,True
walljo01,33.65,7.0,19.0,0.368,1.0,5.0,0.2,9.0,10.0,0.9,1.0,0.0,1.0,8.0,2.0,1.0,1.0,1.0,24.0,25.0,John Wall,WAS,True,True
gortama01,31.033333333333335,6.0,12.0,0.5,0.0,0.0,,1.0,1.0,1.0,4.0,12.0,16.0,2.0,0.0,1.0,3.0,4.0,13.0,22.0,Marcin Gortat,WAS,True,True
bealbr01,25.733333333333334,4.0,12.0,0.333,1.0,4.0,0.25,2.0,2.0,1.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,4.0,11.0,17.0,Bradley Beal,WAS,True,True
morrima02,18.566666666666666,3.0,7.0,0.429,0.0,0.0,,4.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,1.0,2.0,10.0,17.0,Markieff Morris,WAS,True,True
bogdabo02,29.433333333333334,6.0,12.0,0.5,4.0,7.0,0.571,3.0,4.0,0.75,2.0,8.0,10.0,2.0,0.0,0.0,0.0,2.0,19.0,10.0,Bojan Bogdanović,WAS,True,False
jennibr01,14.716666666666667,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,10.0,Brandon Jennings,WAS,True,False
satorto01,12.0,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,Tomáš Satoranský,WAS,True,False
burketr01,9.9,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,Trey Burke,WAS,True,False
mahinia01,9.633333333333333,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,Ian Mahinmi,WAS,True,False
smithja02,7.333333333333333,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,Jason Smith,WAS,True,False
oubreke01,5.166666666666667,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,Kelly Oubre,WAS,True,False
mcclesh01,5.05,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,Sheldon Mac,WAS,True,False
