player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
ferreyo01,41.45,6.0,15.0,0.4,3.0,6.0,0.5,4.0,4.0,1.0,1.0,2.0,3.0,6.0,1.0,0.0,1.0,3.0,19.0,-13.0,Yogi Ferrell,,DAL,False,True
barneha02,30.75,5.0,17.0,0.294,1.0,3.0,0.333,3.0,3.0,1.0,3.0,2.0,5.0,2.0,1.0,0.0,3.0,1.0,14.0,-31.0,Harrison Barnes,,DAL,False,True
matthwe02,30.75,3.0,11.0,0.273,2.0,6.0,0.333,3.0,4.0,0.75,1.0,3.0,4.0,2.0,1.0,0.0,2.0,1.0,11.0,-31.0,Wesley Matthews,,DAL,False,True
nowitdi01,17.933333333333334,1.0,8.0,0.125,0.0,2.0,0.0,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,0.0,3.0,2.0,-15.0,Dirk Nowitzki,,DAL,False,True
finnedo01,15.833333333333334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,-12.0,Dorian Finney-Smith,,DAL,False,True
clavegi01,24.583333333333332,3.0,7.0,0.429,3.0,5.0,0.6,0.0,0.0,,0.0,5.0,5.0,2.0,1.0,0.0,1.0,2.0,9.0,9.0,Gian Clavell,,DAL,False,False
bareajo01,21.55,7.0,13.0,0.538,3.0,5.0,0.6,2.0,3.0,0.667,0.0,5.0,5.0,3.0,0.0,0.0,3.0,2.0,19.0,-16.0,J.J. Barea,,DAL,False,False
poweldw01,20.383333333333333,2.0,5.0,0.4,1.0,2.0,0.5,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,2.0,6.0,14.0,Dwight Powell,,DAL,False,False
noelne01,15.9,1.0,2.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.0,5.0,5.0,0.0,0.0,0.0,2.0,3.0,4.0,-17.0,Nerlens Noel,,DAL,False,False
klebima01,12.0,2.0,3.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,18.0,Maxi Kleber,,DAL,False,False
witheje01,8.866666666666667,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,Jeff Withey,,DAL,False,False
mejrisa01,,,,,,,,,,,,,,,,,,,,,Salah Mejri,Did Not Play,DAL,False,False
hardeja01,30.75,10.0,19.0,0.526,6.0,13.0,0.462,3.0,4.0,0.75,0.0,3.0,3.0,7.0,2.0,0.0,5.0,5.0,29.0,31.0,James Harden,,HOU,True,True
arizatr01,30.666666666666668,3.0,7.0,0.429,1.0,5.0,0.2,1.0,1.0,1.0,0.0,4.0,4.0,1.0,4.0,1.0,1.0,0.0,8.0,34.0,Trevor Ariza,,HOU,True,True
gordoer01,24.35,5.0,11.0,0.455,1.0,6.0,0.167,7.0,8.0,0.875,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,18.0,11.0,Eric Gordon,,HOU,True,True
anderry01,23.066666666666666,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,1.0,9.0,10.0,1.0,0.0,0.0,0.0,0.0,3.0,19.0,Ryan Anderson,,HOU,True,True
capelca01,20.983333333333334,5.0,8.0,0.625,0.0,0.0,,3.0,3.0,1.0,3.0,7.0,10.0,2.0,0.0,0.0,0.0,4.0,13.0,10.0,Clint Capela,,HOU,True,True
tuckepj01,26.766666666666666,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,,0.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,3.0,3.0,P.J. Tucker,,HOU,True,False
mbahalu01,26.333333333333332,2.0,6.0,0.333,0.0,4.0,0.0,2.0,3.0,0.667,1.0,4.0,5.0,1.0,2.0,0.0,2.0,3.0,6.0,1.0,Luc Mbah a Moute,,HOU,True,False
jacksde01,17.25,2.0,5.0,0.4,0.0,3.0,0.0,0.0,0.0,,2.0,3.0,5.0,2.0,1.0,0.0,2.0,1.0,4.0,-15.0,Demetrius Jackson,,HOU,True,False
blackta01,12.783333333333333,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,0.0,6.0,6.0,0.0,1.0,2.0,0.0,3.0,4.0,0.0,Tarik Black,,HOU,True,False
hilarne01,10.233333333333333,6.0,6.0,1.0,0.0,0.0,,2.0,3.0,0.667,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,14.0,6.0,Nenê Hilário,,HOU,True,False
qizh01,7.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,-7.0,Zhou Qi,,HOU,True,False
brownbo02,5.433333333333334,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,-9.0,Bobby Brown,,HOU,True,False
willitr02,3.9833333333333334,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,-4.0,Troy Williams,,HOU,True,False
