player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
hillge01,29.783333333333335,5.0,9.0,0.556,4.0,5.0,0.8,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,16.0,-22.0,George Hill,SAC,False,True,
randoza01,24.366666666666667,6.0,11.0,0.545,1.0,2.0,0.5,2.0,2.0,1.0,3.0,6.0,9.0,1.0,1.0,0.0,3.0,4.0,15.0,-23.0,Zach Randolph,SAC,False,True,
templga01,17.533333333333335,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,,2.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,3.0,-22.0,Garrett Temple,SAC,False,True,
labissk01,12.883333333333333,3.0,5.0,0.6,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,6.0,-6.0,Skal Labissière,SAC,False,True,
foxde01,7.466666666666667,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,-4.0,De'Aaron Fox,SAC,False,True,
bogdabo01,32.61666666666667,3.0,6.0,0.5,3.0,4.0,0.75,0.0,0.0,,0.0,6.0,6.0,3.0,0.0,0.0,2.0,1.0,9.0,-8.0,Bogdan Bogdanović,SAC,False,False,
masonfr01,22.183333333333334,2.0,11.0,0.182,1.0,3.0,0.333,0.0,0.0,,2.0,2.0,4.0,4.0,0.0,0.0,2.0,1.0,5.0,-4.0,Frank Mason,SAC,False,False,
hieldbu01,21.666666666666668,4.0,9.0,0.444,2.0,7.0,0.286,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,10.0,6.0,Buddy Hield,SAC,False,False,
caulewi01,19.55,3.0,10.0,0.3,0.0,0.0,,3.0,4.0,0.75,1.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,9.0,-16.0,Willie Cauley-Stein,SAC,False,False,
koufoko01,18.583333333333332,5.0,8.0,0.625,0.0,0.0,,1.0,1.0,1.0,4.0,4.0,8.0,2.0,0.0,0.0,0.0,3.0,11.0,-10.0,Kosta Koufos,SAC,False,False,
cartevi01,15.1,2.0,5.0,0.4,1.0,3.0,0.333,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,5.0,13.0,Vince Carter,SAC,False,False,
jacksju01,12.75,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,-15.0,Justin Jackson,SAC,False,False,
richama01,5.516666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.0,Malachi Richardson,SAC,False,False,
butleji01,35.55,7.0,10.0,0.7,0.0,0.0,,7.0,7.0,1.0,1.0,6.0,7.0,9.0,2.0,2.0,0.0,0.0,21.0,13.0,Jimmy Butler,MIN,True,True,
townska01,34.88333333333333,11.0,16.0,0.688,2.0,4.0,0.5,6.0,9.0,0.667,5.0,9.0,14.0,5.0,1.0,5.0,0.0,4.0,30.0,22.0,Karl-Anthony Towns,MIN,True,True,
wiggian01,33.81666666666667,9.0,17.0,0.529,3.0,4.0,0.75,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,22.0,19.0,Andrew Wiggins,MIN,True,True,
teaguje01,30.2,4.0,9.0,0.444,2.0,7.0,0.286,0.0,0.0,,0.0,2.0,2.0,6.0,2.0,0.0,4.0,1.0,10.0,12.0,Jeff Teague,MIN,True,True,
gibsota01,24.366666666666667,5.0,11.0,0.455,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,4.0,12.0,0.0,Taj Gibson,MIN,True,True,
dienggo01,24.2,2.0,6.0,0.333,0.0,0.0,,0.0,0.0,,0.0,8.0,8.0,2.0,4.0,1.0,0.0,3.0,4.0,22.0,Gorgui Dieng,MIN,True,False,
jonesty01,17.8,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,6.0,11.0,Tyus Jones,MIN,True,False,
crawfja01,16.916666666666668,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,Jamal Crawford,MIN,True,False,
georgma01,16.9,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,5.0,7.0,Marcus Georges-Hunt,MIN,True,False,
brookaa01,2.6833333333333336,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,4.0,Aaron Brooks,MIN,True,False,
aldrico01,2.6833333333333336,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,Cole Aldrich,MIN,True,False,
muhamsh01,,,,,,,,,,,,,,,,,,,,,Shabazz Muhammad,MIN,True,False,Did Not Play
bjeline01,,,,,,,,,,,,,,,,,,,,,Nemanja Bjelica,MIN,True,False,Did Not Play
