player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
caldwke01,43.03333333333333,7.0,13.0,0.538,3.0,5.0,0.6,1.0,1.0,1.0,2.0,11.0,13.0,2.0,3.0,0.0,1.0,4.0,18.0,3.0,Kentavious Caldwell-Pope,,LAL,False,True
balllo01,34.766666666666666,6.0,12.0,0.5,6.0,10.0,0.6,0.0,0.0,,0.0,7.0,7.0,11.0,1.0,2.0,2.0,4.0,18.0,8.0,Lonzo Ball,,LAL,False,True
randlju01,33.266666666666666,8.0,15.0,0.533,0.0,0.0,,9.0,11.0,0.818,2.0,4.0,6.0,3.0,1.0,1.0,1.0,4.0,25.0,5.0,Julius Randle,,LAL,False,True
kuzmaky01,33.2,4.0,13.0,0.308,2.0,6.0,0.333,1.0,4.0,0.25,4.0,4.0,8.0,1.0,2.0,0.0,2.0,5.0,11.0,-3.0,Kyle Kuzma,,LAL,False,True
lopezbr01,25.55,6.0,12.0,0.5,2.0,4.0,0.5,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,14.0,-17.0,Brook Lopez,,LAL,False,True
thomais02,28.916666666666668,6.0,16.0,0.375,1.0,5.0,0.2,8.0,8.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,5.0,1.0,21.0,6.0,Isaiah Thomas,,LAL,False,False
zubaciv01,14.383333333333333,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,1.0,1.0,3.0,4.0,0.0,1.0,1.0,2.0,0.0,2.0,7.0,Ivica Zubac,,LAL,False,False
ennisty01,13.233333333333333,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,-4.0,Tyler Ennis,,LAL,False,False
weartr01,12.9,3.0,6.0,0.5,1.0,4.0,0.25,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,Travis Wear,,LAL,False,False
paytoga02,0.75,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,Gary Payton,,LAL,False,False
denglu01,,,,,,,,,,,,,,,,,,,,,Luol Deng,Did Not Play,LAL,False,False
bryanth01,,,,,,,,,,,,,,,,,,,,,Thomas Bryant,Did Not Play,LAL,False,False
gasolpa01,32.666666666666664,8.0,17.0,0.471,0.0,3.0,0.0,3.0,6.0,0.5,1.0,9.0,10.0,8.0,0.0,3.0,2.0,2.0,19.0,14.0,Pau Gasol,,SAS,True,True
millspa02,29.016666666666666,6.0,12.0,0.5,1.0,5.0,0.2,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,3.0,14.0,16.0,Patty Mills,,SAS,True,True
murrade01,23.933333333333334,5.0,11.0,0.455,0.0,0.0,,2.0,2.0,1.0,3.0,4.0,7.0,1.0,3.0,0.0,2.0,2.0,12.0,7.0,Dejounte Murray,,SAS,True,True
bertada01,21.9,4.0,9.0,0.444,3.0,8.0,0.375,0.0,0.0,,0.0,5.0,5.0,2.0,1.0,0.0,3.0,2.0,11.0,2.0,Dāvis Bertāns,,SAS,True,True
anderky01,21.816666666666666,4.0,4.0,1.0,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,5.0,2.0,0.0,1.0,0.0,8.0,8.0,Kyle Anderson,,SAS,True,True
gayru01,26.083333333333332,5.0,12.0,0.417,2.0,5.0,0.4,3.0,3.0,1.0,0.0,8.0,8.0,0.0,0.0,1.0,2.0,3.0,15.0,-4.0,Rudy Gay,,SAS,True,False
greenda02,23.933333333333334,2.0,7.0,0.286,1.0,5.0,0.2,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,7.0,-18.0,Danny Green,,SAS,True,False
ginobma01,23.516666666666666,4.0,11.0,0.364,0.0,3.0,0.0,4.0,4.0,1.0,1.0,3.0,4.0,6.0,1.0,0.0,1.0,2.0,12.0,-13.0,Manu Ginóbili,,SAS,True,False
parketo01,21.816666666666666,3.0,9.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,6.0,-16.0,Tony Parker,,SAS,True,False
lauvejo01,15.316666666666666,3.0,6.0,0.5,0.0,0.0,,2.0,2.0,1.0,5.0,4.0,9.0,0.0,2.0,0.0,0.0,2.0,8.0,-16.0,Joffrey Lauvergne,,SAS,True,False
whitede01,,,,,,,,,,,,,,,,,,,,,Derrick White,Did Not Play,SAS,True,False
forbebr01,,,,,,,,,,,,,,,,,,,,,Bryn Forbes,Did Not Play,SAS,True,False
costema01,,,,,,,,,,,,,,,,,,,,,Matt Costello,Did Not Play,SAS,True,False
