player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
satorto01,31.3,4.0,8.0,0.5,0.0,2.0,0.0,0.0,0.0,,0.0,5.0,5.0,9.0,1.0,1.0,1.0,3.0,8.0,26.0,Tomáš Satoranský,WAS,False,True,
bealbr01,29.083333333333332,6.0,14.0,0.429,2.0,7.0,0.286,2.0,3.0,0.667,1.0,3.0,4.0,7.0,1.0,0.0,2.0,0.0,16.0,17.0,Bradley Beal,WAS,False,True,
morrima02,26.45,8.0,15.0,0.533,0.0,2.0,0.0,1.0,2.0,0.5,3.0,3.0,6.0,3.0,2.0,1.0,3.0,2.0,17.0,21.0,Markieff Morris,WAS,False,True,
porteot01,25.966666666666665,8.0,13.0,0.615,2.0,4.0,0.5,1.0,1.0,1.0,1.0,6.0,7.0,1.0,1.0,0.0,0.0,0.0,19.0,31.0,Otto Porter,WAS,False,True,
gortama01,16.383333333333333,2.0,4.0,0.5,0.0,0.0,,2.0,2.0,1.0,1.0,7.0,8.0,2.0,0.0,2.0,2.0,2.0,6.0,6.0,Marcin Gortat,WAS,False,True,
oubreke01,33.43333333333333,4.0,14.0,0.286,1.0,5.0,0.2,2.0,2.0,1.0,0.0,6.0,6.0,2.0,4.0,0.0,0.0,3.0,11.0,11.0,Kelly Oubre,WAS,False,False,
sessira01,22.35,1.0,6.0,0.167,0.0,0.0,,5.0,7.0,0.714,1.0,0.0,1.0,6.0,0.0,0.0,2.0,2.0,7.0,-3.0,Ramon Sessions,WAS,False,False,
meeksjo01,21.233333333333334,4.0,8.0,0.5,2.0,3.0,0.667,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,10.0,-4.0,Jodie Meeks,WAS,False,False,
scottmi01,15.2,6.0,8.0,0.75,0.0,1.0,0.0,2.0,3.0,0.667,1.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,14.0,4.0,Mike Scott,WAS,False,False,
smithja02,6.35,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,-6.0,Jason Smith,WAS,False,False,
fraziti01,6.35,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0,Tim Frazier,WAS,False,False,
mahinia01,5.9,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,-2.0,Ian Mahinmi,WAS,False,False,
holidjr01,28.016666666666666,2.0,8.0,0.25,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,3.0,2.0,1.0,4.0,-22.0,Jrue Holiday,NOP,True,True,
mirotni01,26.5,3.0,11.0,0.273,0.0,4.0,0.0,3.0,4.0,0.75,1.0,11.0,12.0,1.0,1.0,0.0,1.0,1.0,9.0,-26.0,Nikola Mirotić,NOP,True,True,
mooreet01,24.283333333333335,4.0,9.0,0.444,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,8.0,-13.0,E'Twaun Moore,NOP,True,True,
okafoem01,20.833333333333332,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,6.0,-7.0,Emeka Okafor,NOP,True,True,
rondora01,19.883333333333333,3.0,7.0,0.429,0.0,0.0,,5.0,6.0,0.833,0.0,3.0,3.0,4.0,1.0,0.0,4.0,2.0,11.0,-23.0,Rajon Rondo,NOP,True,True,
milleda01,32.85,6.0,11.0,0.545,4.0,8.0,0.5,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,20.0,-10.0,Darius Miller,NOP,True,False,
clarkia01,31.7,4.0,13.0,0.308,0.0,4.0,0.0,0.0,0.0,,0.0,3.0,3.0,4.0,1.0,0.0,1.0,1.0,8.0,-5.0,Ian Clark,NOP,True,False,
diallch01,22.433333333333334,7.0,10.0,0.7,0.0,0.0,,0.0,1.0,0.0,1.0,8.0,9.0,2.0,0.0,3.0,1.0,4.0,14.0,2.0,Cheick Diallo,NOP,True,False,
liggide01,21.5,4.0,5.0,0.8,2.0,2.0,1.0,0.0,0.0,,0.0,3.0,3.0,5.0,0.0,0.0,0.0,1.0,10.0,7.0,DeAndre Liggins,NOP,True,False,
lemonwa01,12.0,3.0,6.0,0.5,0.0,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,7.0,2.0,Walt Lemon,NOP,True,False,
davisan02,,,,,,,,,,,,,,,,,,,,,Anthony Davis,NOP,True,False,Did Not Play
cookech01,,,,,,,,,,,,,,,,,,,,,Charles Cooke,NOP,True,False,Did Not Play
