player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
roziete01,39.1,4.0,11.0,0.364,1.0,6.0,0.167,2.0,4.0,0.5,0.0,8.0,8.0,2.0,0.0,0.0,1.0,2.0,11.0,-14.0,Terry Rozier,BOS,False,True,
tatumja01,35.56666666666667,7.0,16.0,0.438,2.0,6.0,0.333,4.0,4.0,1.0,1.0,3.0,4.0,4.0,0.0,1.0,3.0,3.0,20.0,-1.0,Jayson Tatum,BOS,False,True,
horfoal01,34.583333333333336,4.0,6.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,2.0,8.0,10.0,3.0,1.0,3.0,4.0,1.0,10.0,-11.0,Al Horford,BOS,False,True,
smartma01,30.516666666666666,5.0,12.0,0.417,1.0,2.0,0.5,3.0,4.0,0.75,1.0,4.0,5.0,3.0,2.0,2.0,3.0,5.0,14.0,-12.0,Marcus Smart,BOS,False,True,
baynear01,19.3,2.0,7.0,0.286,2.0,6.0,0.333,3.0,4.0,0.75,0.0,5.0,5.0,0.0,0.0,1.0,0.0,2.0,9.0,-9.0,Aron Baynes,BOS,False,True,
morrima03,34.11666666666667,6.0,15.0,0.4,3.0,6.0,0.5,2.0,3.0,0.667,1.0,4.0,5.0,1.0,0.0,2.0,1.0,5.0,17.0,-7.0,Marcus Morris,BOS,False,False,
brownja02,23.0,2.0,6.0,0.333,2.0,5.0,0.4,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,5.0,8.0,-5.0,Jaylen Brown,BOS,False,False,
ojelese01,12.416666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,Semi Ojeleye,BOS,False,False,
monrogr01,7.25,1.0,2.0,0.5,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,-2.0,Greg Monroe,BOS,False,False,
larkish01,1.75,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Shane Larkin,BOS,False,False,
naderab01,1.2,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Abdel Nader,BOS,False,False,
yabusgu01,1.2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Guerschon Yabusele,BOS,False,False,
saricda01,38.95,9.0,17.0,0.529,1.0,3.0,0.333,6.0,6.0,1.0,4.0,4.0,8.0,4.0,1.0,1.0,0.0,4.0,25.0,-1.0,Dario Šarić,PHI,True,True,
mccontj01,38.95,9.0,12.0,0.75,1.0,1.0,1.0,0.0,1.0,0.0,3.0,5.0,8.0,5.0,0.0,0.0,0.0,3.0,19.0,18.0,T.J. McConnell,PHI,True,True,
embiijo01,35.28333333333333,6.0,15.0,0.4,2.0,5.0,0.4,1.0,2.0,0.5,3.0,9.0,12.0,2.0,0.0,0.0,2.0,2.0,15.0,22.0,Joel Embiid,PHI,True,True,
redicjj01,32.63333333333333,3.0,11.0,0.273,1.0,7.0,0.143,0.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,7.0,17.0,J.J. Redick,PHI,True,True,
simmobe01,32.583333333333336,6.0,15.0,0.4,0.0,0.0,,7.0,8.0,0.875,1.0,12.0,13.0,5.0,2.0,0.0,4.0,3.0,19.0,5.0,Ben Simmons,PHI,True,True,
belinma01,24.516666666666666,2.0,10.0,0.2,1.0,3.0,0.333,4.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,9.0,-3.0,Marco Belinelli,PHI,True,False,
covinro01,19.0,1.0,7.0,0.143,1.0,5.0,0.2,0.0,0.0,,2.0,3.0,5.0,3.0,1.0,1.0,1.0,4.0,3.0,-3.0,Robert Covington,PHI,True,False,
ilyaser01,17.316666666666666,2.0,7.0,0.286,0.0,2.0,0.0,2.0,3.0,0.667,3.0,2.0,5.0,1.0,0.0,1.0,1.0,3.0,6.0,1.0,Ersan İlyasova,PHI,True,False,
anderju01,0.7666666666666667,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Justin Anderson,PHI,True,False,
johnsam01,,,,,,,,,,,,,,,,,,,,,Amir Johnson,PHI,True,False,Did Not Play
holmeri01,,,,,,,,,,,,,,,,,,,,,Richaun Holmes,PHI,True,False,Did Not Play
fultzma01,,,,,,,,,,,,,,,,,,,,,Markelle Fultz,PHI,True,False,Did Not Play
bayleje01,,,,,,,,,,,,,,,,,,,,,Jerryd Bayless,PHI,True,False,Did Not Play
