player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
youngtr01,33.083333333333336,7.0,18.0,0.389,4.0,9.0,0.444,2.0,3.0,0.667,1.0,1.0,2.0,9.0,1.0,1.0,3.0,2.0,20.0,-11.0,Trae Young,,ATL,False,True
lenal01,26.266666666666666,4.0,8.0,0.5,1.0,1.0,1.0,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,2.0,2.0,9.0,2.0,Alex Len,,ATL,False,True
princta02,23.05,10.0,15.0,0.667,4.0,9.0,0.444,4.0,4.0,1.0,0.0,4.0,4.0,3.0,3.0,0.0,4.0,4.0,28.0,-8.0,Taurean Waller-Prince,,ATL,False,True
bazemke01,22.016666666666666,1.0,3.0,0.333,0.0,0.0,,1.0,4.0,0.25,1.0,7.0,8.0,1.0,2.0,1.0,2.0,5.0,3.0,-9.0,Kent Bazemore,,ATL,False,True
cartevi01,20.25,2.0,7.0,0.286,2.0,5.0,0.4,4.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,10.0,-18.0,Vince Carter,,ATL,False,True
bembrde01,32.43333333333333,4.0,11.0,0.364,1.0,2.0,0.5,3.0,6.0,0.5,0.0,3.0,3.0,1.0,1.0,1.0,5.0,4.0,12.0,-8.0,DeAndre' Bembry,,ATL,False,False
poythal01,21.483333333333334,3.0,4.0,0.75,1.0,1.0,1.0,1.0,4.0,0.25,4.0,3.0,7.0,2.0,1.0,1.0,0.0,6.0,8.0,-2.0,Alex Poythress,,ATL,False,False
plumlmi01,18.916666666666668,5.0,6.0,0.833,0.0,0.0,,2.0,6.0,0.333,4.0,2.0,6.0,2.0,1.0,0.0,2.0,1.0,12.0,-10.0,Miles Plumlee,,ATL,False,False
linje01,17.316666666666666,3.0,5.0,0.6,0.0,0.0,,3.0,4.0,0.75,0.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,9.0,-5.0,Jeremy Lin,,ATL,False,False
huertke01,13.1,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,5.0,Kevin Huerter,,ATL,False,False
dorsety01,12.083333333333334,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,-6.0,Tyler Dorsey,,ATL,False,False
spellom01,,,,,,,,,,,,,,,,,,,,,Omari Spellman,Did Not Dress,ATL,False,False
adamsja01,,,,,,,,,,,,,,,,,,,,,Jaylen Adams,Did Not Play,ATL,False,False
templga01,33.81666666666667,10.0,11.0,0.909,5.0,6.0,0.833,5.0,7.0,0.714,0.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,30.0,37.0,Garrett Temple,,MEM,True,True
gasolma01,28.733333333333334,4.0,7.0,0.571,1.0,3.0,0.333,4.0,4.0,1.0,0.0,7.0,7.0,5.0,0.0,0.0,2.0,1.0,13.0,31.0,Marc Gasol,,MEM,True,True
conlemi01,25.0,6.0,13.0,0.462,2.0,5.0,0.4,2.0,3.0,0.667,0.0,4.0,4.0,11.0,0.0,0.0,0.0,4.0,16.0,26.0,Mike Conley,,MEM,True,True
parsoch01,17.283333333333335,4.0,6.0,0.667,3.0,4.0,0.75,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,11.0,13.0,Chandler Parsons,,MEM,True,True
greenja01,14.016666666666667,2.0,8.0,0.25,0.0,0.0,,2.0,2.0,1.0,2.0,3.0,5.0,2.0,2.0,0.0,3.0,2.0,6.0,12.0,JaMychal Green,,MEM,True,True
jacksja02,27.6,8.0,12.0,0.667,2.0,4.0,0.5,6.0,9.0,0.667,1.0,6.0,7.0,2.0,1.0,2.0,2.0,5.0,24.0,-8.0,Jaren Jackson,,MEM,True,False
macksh01,25.0,3.0,5.0,0.6,0.0,0.0,,3.0,4.0,0.75,0.0,2.0,2.0,1.0,1.0,0.0,1.0,5.0,9.0,-16.0,Shelvin Mack,,MEM,True,False
casspom01,24.05,4.0,8.0,0.5,0.0,2.0,0.0,3.0,6.0,0.5,1.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,11.0,1.0,Omri Casspi,,MEM,True,False
anderky01,19.883333333333333,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,10.0,Kyle Anderson,,MEM,True,False
brookdi01,17.083333333333332,1.0,7.0,0.143,0.0,1.0,0.0,2.0,4.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,-16.0,Dillon Brooks,,MEM,True,False
seldewa01,7.533333333333333,1.0,1.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,-20.0,Wayne Selden,,MEM,True,False
harrian01,,,,,,,,,,,,,,,,,,,,,Andrew Harrison,Did Not Play,MEM,True,False
brookma01,,,,,,,,,,,,,,,,,,,,,MarShon Brooks,Did Not Play,MEM,True,False
