player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
foxde01,26.916666666666668,6.0,12.0,0.5,0.0,1.0,0.0,6.0,7.0,0.857,1.0,6.0,7.0,6.0,0.0,0.0,4.0,0.0,18.0,-8.0,De'Aaron Fox,SAC,False,True
hieldbu01,26.833333333333332,7.0,11.0,0.636,3.0,4.0,0.75,0.0,0.0,,1.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,17.0,-18.0,Buddy Hield,SAC,False,True
caulewi01,25.95,9.0,14.0,0.643,0.0,0.0,,2.0,3.0,0.667,2.0,5.0,7.0,1.0,0.0,0.0,1.0,4.0,20.0,-4.0,Willie Cauley-Stein,SAC,False,True
ferreyo01,21.083333333333332,2.0,3.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,7.0,-9.0,Yogi Ferrell,SAC,False,True
bjeline01,10.85,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,-1.0,Nemanja Bjelica,SAC,False,True
baglema01,32.63333333333333,7.0,10.0,0.7,0.0,3.0,0.0,5.0,6.0,0.833,2.0,6.0,8.0,3.0,3.0,1.0,1.0,5.0,19.0,-21.0,Marvin Bagley,SAC,False,False
jacksju01,21.366666666666667,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,-3.0,Justin Jackson,SAC,False,False
masonfr01,21.083333333333332,7.0,13.0,0.538,1.0,2.0,0.5,3.0,4.0,0.75,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,18.0,-12.0,Frank Mason,SAC,False,False
shumpim01,20.733333333333334,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,-13.0,Iman Shumpert,SAC,False,False
gilesha01,18.666666666666668,3.0,11.0,0.273,0.0,0.0,,1.0,4.0,0.25,1.0,3.0,4.0,1.0,0.0,0.0,2.0,6.0,7.0,-16.0,Harry Giles,SAC,False,False
labissk01,7.9,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,Skal Labissière,SAC,False,False
mclembe01,5.983333333333333,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,Ben McLemore,SAC,False,False
mirotni01,31.316666666666666,14.0,21.0,0.667,5.0,9.0,0.556,3.0,6.0,0.5,2.0,7.0,9.0,2.0,0.0,0.0,0.0,4.0,36.0,14.0,Nikola Mirotić,NOP,True,True
holidjr01,26.933333333333334,5.0,11.0,0.455,0.0,1.0,0.0,5.0,6.0,0.833,3.0,3.0,6.0,10.0,3.0,0.0,3.0,0.0,15.0,13.0,Jrue Holiday,NOP,True,True
davisan02,26.75,8.0,12.0,0.667,1.0,1.0,1.0,8.0,12.0,0.667,4.0,6.0,10.0,6.0,2.0,2.0,4.0,1.0,25.0,21.0,Anthony Davis,NOP,True,True
paytoel01,24.083333333333332,5.0,7.0,0.714,1.0,1.0,1.0,0.0,0.0,,2.0,4.0,6.0,6.0,0.0,1.0,2.0,1.0,11.0,16.0,Elfrid Payton,NOP,True,True
mooreet01,23.7,5.0,11.0,0.455,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,10.0,18.0,E'Twaun Moore,NOP,True,True
randlju01,24.416666666666668,6.0,12.0,0.5,1.0,2.0,0.5,0.0,4.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,1.0,4.0,13.0,14.0,Julius Randle,NOP,True,False
milleda01,22.75,3.0,7.0,0.429,3.0,7.0,0.429,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,10.0,9.0,Darius Miller,NOP,True,False
hillso01,20.35,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,3.0,7.0,Solomon Hill,NOP,True,False
clarkia01,17.883333333333333,4.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,13.0,5.0,Ian Clark,NOP,True,False
okafoja01,7.533333333333333,1.0,2.0,0.5,0.0,0.0,,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,4.0,-6.0,Jahlil Okafor,NOP,True,False
jacksfr01,5.983333333333333,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,-3.0,Frank Jackson,NOP,True,False
diallch01,4.15,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,-4.0,Cheick Diallo,NOP,True,False
fraziti01,4.15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,Tim Frazier,NOP,True,False
