player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
mirotni01,35.78333333333333,6.0,20.0,0.3,1.0,6.0,0.167,5.0,6.0,0.833,6.0,7.0,13.0,3.0,1.0,2.0,1.0,2.0,18.0,-18.0,Nikola Mirotić,,NOP,False,True
holidjr01,35.31666666666667,5.0,14.0,0.357,1.0,4.0,0.25,6.0,8.0,0.75,0.0,2.0,2.0,10.0,3.0,0.0,3.0,2.0,17.0,-13.0,Jrue Holiday,,NOP,False,True
mooreet01,30.683333333333334,7.0,12.0,0.583,2.0,3.0,0.667,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,19.0,-9.0,E'Twaun Moore,,NOP,False,True
fraziti01,30.183333333333334,3.0,7.0,0.429,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,2.0,5.0,0.0,0.0,2.0,4.0,8.0,-21.0,Tim Frazier,,NOP,False,True
okafoja01,14.066666666666666,3.0,6.0,0.5,0.0,0.0,,0.0,0.0,,4.0,1.0,5.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,Jahlil Okafor,,NOP,False,True
randlju01,25.95,9.0,16.0,0.563,0.0,2.0,0.0,11.0,12.0,0.917,1.0,5.0,6.0,3.0,1.0,0.0,3.0,5.0,29.0,-13.0,Julius Randle,,NOP,False,False
clarkia01,23.35,3.0,6.0,0.5,2.0,5.0,0.4,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,10.0,-1.0,Ian Clark,,NOP,False,False
diallch01,19.9,1.0,5.0,0.2,0.0,0.0,,3.0,4.0,0.75,3.0,5.0,8.0,1.0,0.0,1.0,0.0,1.0,5.0,4.0,Cheick Diallo,,NOP,False,False
jacksfr01,11.85,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,Frank Jackson,,NOP,False,False
hillso01,9.55,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,Solomon Hill,,NOP,False,False
willike04,3.3666666666666667,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,Kenrich Williams,,NOP,False,False
davisan02,,,,,,,,,,,,,,,,,,,,,Anthony Davis,Did Not Play,NOP,False,False
johnswe01,,,,,,,,,,,,,,,,,,,,,Wesley Johnson,Did Not Play,NOP,False,False
aminual01,33.18333333333333,6.0,11.0,0.545,2.0,5.0,0.4,3.0,3.0,1.0,0.0,10.0,10.0,0.0,0.0,1.0,0.0,4.0,17.0,11.0,Al-Farouq Aminu,,POR,True,True
lillada01,30.983333333333334,7.0,16.0,0.438,4.0,7.0,0.571,8.0,8.0,1.0,2.0,5.0,7.0,6.0,1.0,0.0,4.0,3.0,26.0,12.0,Damian Lillard,,POR,True,True
mccolcj01,29.783333333333335,2.0,8.0,0.25,0.0,3.0,0.0,4.0,6.0,0.667,0.0,2.0,2.0,4.0,1.0,0.0,4.0,3.0,8.0,12.0,CJ McCollum,,POR,True,True
nurkiju01,28.066666666666666,7.0,9.0,0.778,1.0,1.0,1.0,5.0,6.0,0.833,4.0,5.0,9.0,2.0,0.0,0.0,2.0,4.0,20.0,13.0,Jusuf Nurkić,,POR,True,True
laymaja01,15.733333333333333,4.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,2.0,1.0,3.0,11.0,-1.0,Jake Layman,,POR,True,True
turneev01,26.95,5.0,11.0,0.455,0.0,2.0,0.0,4.0,4.0,1.0,0.0,8.0,8.0,7.0,1.0,0.0,2.0,1.0,14.0,11.0,Evan Turner,,POR,True,False
stausni01,20.866666666666667,4.0,6.0,0.667,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,10.0,-1.0,Nik Stauskas,,POR,True,False
curryse01,18.633333333333333,3.0,5.0,0.6,3.0,4.0,0.75,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,9.0,6.0,Seth Curry,,POR,True,False
colliza01,17.283333333333335,3.0,8.0,0.375,2.0,4.0,0.5,1.0,2.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,9.0,4.0,Zach Collins,,POR,True,False
swanica01,14.816666666666666,2.0,6.0,0.333,1.0,2.0,0.5,1.0,2.0,0.5,0.0,5.0,5.0,1.0,0.0,0.0,1.0,3.0,6.0,2.0,Caleb Swanigan,,POR,True,False
simonan01,1.85,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-2.0,Anfernee Simons,,POR,True,False
baldwwa01,1.85,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Wade Baldwin,,POR,True,False
leoname01,,,,,,,,,,,,,,,,,,,,,Meyers Leonard,Did Not Play,POR,True,False
