player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
morrima03,24.466666666666665,3.0,10.0,0.3,2.0,7.0,0.286,0.0,0.0,,0.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,8.0,7.0,Marcus Morris,BOS,False,True
baynear01,23.033333333333335,5.0,7.0,0.714,1.0,1.0,1.0,5.0,5.0,1.0,3.0,6.0,9.0,4.0,0.0,1.0,2.0,4.0,16.0,16.0,Aron Baynes,BOS,False,True
tatumja01,22.933333333333334,6.0,11.0,0.545,2.0,5.0,0.4,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,14.0,10.0,Jayson Tatum,BOS,False,True
brownja02,21.3,4.0,7.0,0.571,0.0,3.0,0.0,2.0,4.0,0.5,1.0,1.0,2.0,3.0,2.0,0.0,2.0,2.0,10.0,2.0,Jaylen Brown,BOS,False,True
irvinky01,19.8,4.0,11.0,0.364,3.0,7.0,0.429,2.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,2.0,3.0,13.0,9.0,Kyrie Irving,BOS,False,True
roziete01,25.066666666666666,5.0,11.0,0.455,2.0,4.0,0.5,0.0,0.0,,0.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,12.0,8.0,Terry Rozier,BOS,False,False
ojelese01,23.533333333333335,3.0,11.0,0.273,1.0,5.0,0.2,1.0,2.0,0.5,0.0,5.0,5.0,0.0,0.0,0.0,4.0,1.0,8.0,11.0,Semi Ojeleye,BOS,False,False
smartma01,23.216666666666665,1.0,6.0,0.167,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,7.0,3.0,1.0,1.0,3.0,4.0,15.0,Marcus Smart,BOS,False,False
haywago01,22.05,4.0,7.0,0.571,1.0,3.0,0.333,2.0,2.0,1.0,0.0,5.0,5.0,4.0,0.0,2.0,1.0,2.0,11.0,20.0,Gordon Hayward,BOS,False,False
theisda01,15.9,3.0,4.0,0.75,1.0,1.0,1.0,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,1.0,1.0,6.0,7.0,6.0,Daniel Theis,BOS,False,False
williro04,8.616666666666667,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,-7.0,Robert Williams,BOS,False,False
wanambr01,7.283333333333333,1.0,1.0,1.0,0.0,0.0,,3.0,4.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,-9.0,Brad Wanamaker,BOS,False,False
yabusgu01,2.8,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,Guerschon Yabusele,BOS,False,False
collijo01,30.05,7.0,8.0,0.875,0.0,0.0,,2.0,4.0,0.5,1.0,6.0,7.0,1.0,0.0,0.0,5.0,4.0,16.0,-11.0,John Collins,ATL,True,True
dedmode01,24.35,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,,0.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,7.0,-38.0,Dewayne Dedmon,ATL,True,True
youngtr01,19.433333333333334,2.0,7.0,0.286,0.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,5.0,-35.0,Trae Young,ATL,True,True
princta02,17.683333333333334,0.0,7.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,2.0,-24.0,Taurean Waller-Prince,ATL,True,True
bazemke01,10.183333333333334,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,-5.0,Kent Bazemore,ATL,True,True
linje01,30.116666666666667,6.0,10.0,0.6,2.0,4.0,0.5,5.0,7.0,0.714,0.0,5.0,5.0,10.0,3.0,0.0,1.0,3.0,19.0,15.0,Jeremy Lin,ATL,True,False
bembrde01,25.95,5.0,13.0,0.385,1.0,6.0,0.167,3.0,4.0,0.75,1.0,6.0,7.0,4.0,2.0,4.0,4.0,1.0,14.0,9.0,DeAndre' Bembry,ATL,True,False
huertke01,23.183333333333334,2.0,5.0,0.4,0.0,3.0,0.0,0.0,0.0,,1.0,2.0,3.0,3.0,0.0,1.0,0.0,4.0,4.0,-26.0,Kevin Huerter,ATL,True,False
lenal01,19.616666666666667,5.0,7.0,0.714,2.0,3.0,0.667,5.0,8.0,0.625,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,17.0,22.0,Alex Len,ATL,True,False
anderju01,17.433333333333334,5.0,10.0,0.5,0.0,3.0,0.0,2.0,3.0,0.667,0.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,12.0,12.0,Justin Anderson,ATL,True,False
cartevi01,10.183333333333334,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,14.0,Vince Carter,ATL,True,False
spellom01,7.766666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-21.0,Omari Spellman,ATL,True,False
plumlmi01,4.05,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,Miles Plumlee,ATL,True,False
