player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
gordoaa01,32.31666666666667,5.0,11.0,0.455,1.0,4.0,0.25,3.0,4.0,0.75,1.0,8.0,9.0,5.0,1.0,1.0,1.0,1.0,14.0,-20.0,Aaron Gordon,ORL,False,True
fournev01,31.883333333333333,2.0,10.0,0.2,0.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,2.0,3.0,5.0,-23.0,Evan Fournier,ORL,False,True
vucevni01,27.7,7.0,14.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,2.0,6.0,8.0,0.0,1.0,0.0,2.0,1.0,16.0,-9.0,Nikola Vučević,ORL,False,True
augusdj01,24.1,1.0,5.0,0.2,1.0,4.0,0.25,1.0,2.0,0.5,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,4.0,-21.0,D.J. Augustin,ORL,False,True
iwundwe01,23.516666666666666,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,-13.0,Wesley Iwundu,ORL,False,True
rosste01,22.566666666666666,7.0,8.0,0.875,4.0,5.0,0.8,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,18.0,-17.0,Terrence Ross,ORL,False,False
isaacjo01,21.033333333333335,2.0,10.0,0.2,0.0,4.0,0.0,5.0,6.0,0.833,1.0,4.0,5.0,0.0,1.0,0.0,0.0,3.0,9.0,-2.0,Jonathan Isaac,ORL,False,False
grantje02,18.366666666666667,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,-6.0,Jerian Grant,ORL,False,False
bambamo01,14.766666666666667,3.0,7.0,0.429,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,7.0,-18.0,Mohamed Bamba,ORL,False,False
simmojo02,7.15,1.0,2.0,0.5,0.0,0.0,,3.0,4.0,0.75,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,-2.0,Jonathon Simmons,ORL,False,False
briscis01,5.533333333333333,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,Isaiah Briscoe,ORL,False,False
martija01,5.533333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Jarell Martin,ORL,False,False
birchkh01,5.533333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Khem Birch,ORL,False,False
murraja01,35.78333333333333,7.0,18.0,0.389,1.0,5.0,0.2,1.0,3.0,0.333,0.0,5.0,5.0,6.0,2.0,1.0,4.0,2.0,16.0,37.0,Jamal Murray,DEN,True,True
hernaju01,32.35,3.0,4.0,0.75,2.0,3.0,0.667,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,10.0,14.0,Juan Hernangómez,DEN,True,True
harriga01,25.066666666666666,4.0,13.0,0.308,1.0,5.0,0.2,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,9.0,7.0,Gary Harris,DEN,True,True
