player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
drumman01,31.483333333333334,5.0,9.0,0.556,0.0,0.0,,2.0,3.0,0.667,1.0,10.0,11.0,2.0,0.0,1.0,7.0,5.0,12.0,-16.0,Andre Drummond,DET,False,True,
bullore01,30.433333333333334,4.0,9.0,0.444,3.0,6.0,0.5,4.0,4.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,3.0,15.0,-16.0,Reggie Bullock,DET,False,True,
jacksre01,24.066666666666666,3.0,11.0,0.273,0.0,5.0,0.0,0.0,0.0,,2.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,6.0,-20.0,Reggie Jackson,DET,False,True,
kennalu01,22.9,1.0,8.0,0.125,1.0,6.0,0.167,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,5.0,2.0,Luke Kennard,DET,False,True,
brownbr01,20.866666666666667,6.0,11.0,0.545,1.0,3.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,15.0,1.0,Bruce Brown,DET,False,True,
gallola01,24.95,2.0,7.0,0.286,2.0,7.0,0.286,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,8.0,-10.0,Langston Galloway,DET,False,False,
johnsst04,22.716666666666665,5.0,10.0,0.5,2.0,6.0,0.333,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,16.0,-17.0,Stanley Johnson,DET,False,False,
caldejo01,20.333333333333332,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,6.0,2.0,0.0,3.0,1.0,2.0,1.0,José Calderón,DET,False,False,
thomakh01,16.566666666666666,3.0,6.0,0.5,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,10.0,Khyri Thomas,DET,False,False,
leuerjo01,16.516666666666666,4.0,5.0,0.8,0.0,0.0,,1.0,2.0,0.5,2.0,9.0,11.0,0.0,3.0,0.0,3.0,4.0,9.0,6.0,Jon Leuer,DET,False,False,
robingl02,9.166666666666666,1.0,3.0,0.333,0.0,2.0,0.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,Glenn Robinson,DET,False,False,
hieldbu01,28.633333333333333,8.0,13.0,0.615,2.0,5.0,0.4,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,18.0,17.0,Buddy Hield,SAC,True,True,
bjeline01,25.483333333333334,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,1.0,4.0,5.0,5.0,0.0,2.0,2.0,3.0,7.0,17.0,Nemanja Bjelica,SAC,True,True,
caulewi01,25.05,5.0,10.0,0.5,0.0,0.0,,4.0,6.0,0.667,5.0,9.0,14.0,5.0,0.0,2.0,3.0,4.0,14.0,17.0,Willie Cauley-Stein,SAC,True,True,
foxde01,24.266666666666666,5.0,8.0,0.625,1.0,2.0,0.5,1.0,4.0,0.25,0.0,5.0,5.0,6.0,1.0,1.0,2.0,3.0,12.0,17.0,De'Aaron Fox,SAC,True,True,
shumpim01,21.716666666666665,5.0,10.0,0.5,3.0,4.0,0.75,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,13.0,9.0,Iman Shumpert,SAC,True,True,
ferreyo01,23.733333333333334,4.0,6.0,0.667,2.0,3.0,0.667,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,11.0,-7.0,Yogi Ferrell,SAC,True,False,
gilesha01,22.95,5.0,9.0,0.556,0.0,0.0,,4.0,4.0,1.0,1.0,3.0,4.0,3.0,2.0,3.0,5.0,4.0,14.0,-7.0,Harry Giles,SAC,True,False,
bogdabo01,20.966666666666665,3.0,9.0,0.333,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,4.0,2.0,0.0,0.0,1.0,6.0,5.0,Bogdan Bogdanović,SAC,True,False,
baglema01,20.233333333333334,4.0,5.0,0.8,0.0,0.0,,2.0,2.0,1.0,2.0,5.0,7.0,1.0,2.0,0.0,2.0,1.0,10.0,-4.0,Marvin Bagley,SAC,True,False,
jacksju01,19.766666666666666,3.0,10.0,0.3,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,7.0,4.0,Justin Jackson,SAC,True,False,
mclembe01,3.6,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-9.0,Ben McLemore,SAC,True,False,
masonfr01,3.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-9.0,Frank Mason,SAC,True,False,
koufoko01,,,,,,,,,,,,,,,,,,,,,Kosta Koufos,SAC,True,False,Did Not Play
