player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
zelleco01,29.683333333333334,4.0,10.0,0.4,0.0,1.0,0.0,5.0,6.0,0.833,4.0,3.0,7.0,3.0,2.0,0.0,0.0,2.0,13.0,-23.0,Cody Zeller,CHO,False,True
walkeke02,27.666666666666668,4.0,20.0,0.2,0.0,7.0,0.0,2.0,3.0,0.667,0.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,10.0,-25.0,Kemba Walker,CHO,False,True
batumni01,25.466666666666665,3.0,7.0,0.429,0.0,2.0,0.0,3.0,4.0,0.75,1.0,6.0,7.0,2.0,1.0,1.0,3.0,3.0,9.0,-18.0,Nicolas Batum,CHO,False,True
willima02,22.383333333333333,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,,2.0,6.0,8.0,0.0,0.0,0.0,0.0,2.0,5.0,-11.0,Marvin Williams,CHO,False,True
lambje01,17.8,6.0,10.0,0.6,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,2.0,14.0,-15.0,Jeremy Lamb,CHO,False,True
monkma01,24.5,7.0,16.0,0.438,1.0,7.0,0.143,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,15.0,-19.0,Malik Monk,CHO,False,False
bridgmi02,21.7,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,6.0,-26.0,Miles Bridges,CHO,False,False
grahade01,21.633333333333333,1.0,5.0,0.2,0.0,4.0,0.0,0.0,0.0,,0.0,2.0,2.0,4.0,0.0,2.0,1.0,0.0,2.0,-14.0,Devonte' Graham,CHO,False,False
kiddgmi01,13.633333333333333,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-13.0,Michael Kidd-Gilchrist,CHO,False,False
macksh01,11.65,1.0,5.0,0.2,0.0,0.0,,4.0,5.0,0.8,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,6.0,-7.0,Shelvin Mack,CHO,False,False
hernawi01,9.85,0.0,2.0,0.0,0.0,0.0,,4.0,6.0,0.667,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,-6.0,Willy Hernangómez,CHO,False,False
bacondw01,8.683333333333334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0,Dwayne Bacon,CHO,False,False
kaminfr01,5.35,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,-7.0,Frank Kaminsky,CHO,False,False
gordoaa01,31.566666666666666,4.0,17.0,0.235,1.0,6.0,0.167,1.0,1.0,1.0,2.0,9.0,11.0,4.0,1.0,0.0,2.0,3.0,10.0,20.0,Aaron Gordon,ORL,True,True
fournev01,27.283333333333335,5.0,12.0,0.417,1.0,6.0,0.167,1.0,2.0,0.5,1.0,2.0,3.0,6.0,2.0,0.0,0.0,4.0,12.0,17.0,Evan Fournier,ORL,True,True
isaacjo01,26.7,6.0,9.0,0.667,2.0,4.0,0.5,2.0,2.0,1.0,2.0,4.0,6.0,0.0,1.0,1.0,1.0,1.0,16.0,18.0,Jonathan Isaac,ORL,True,True
vucevni01,25.616666666666667,7.0,13.0,0.538,1.0,2.0,0.5,2.0,3.0,0.667,2.0,9.0,11.0,4.0,1.0,1.0,2.0,2.0,17.0,16.0,Nikola Vučević,ORL,True,True
augusdj01,21.866666666666667,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,,0.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,8.0,15.0,D.J. Augustin,ORL,True,True
briscis01,26.133333333333333,2.0,5.0,0.4,2.0,2.0,1.0,0.0,0.0,,0.0,8.0,8.0,5.0,0.0,0.0,1.0,4.0,6.0,23.0,Isaiah Briscoe,ORL,True,False
rosste01,21.816666666666666,8.0,15.0,0.533,3.0,8.0,0.375,2.0,3.0,0.667,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,21.0,15.0,Terrence Ross,ORL,True,False
iwundwe01,20.583333333333332,2.0,2.0,1.0,2.0,2.0,1.0,5.0,6.0,0.833,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,11.0,23.0,Wesley Iwundu,ORL,True,False
birchkh01,17.033333333333335,4.0,4.0,1.0,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,8.0,15.0,Khem Birch,ORL,True,False
grantje02,5.35,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,7.0,Jerian Grant,ORL,True,False
martija01,5.35,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,7.0,Jarell Martin,ORL,True,False
frazime01,5.35,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,Melvin Frazier,ORL,True,False
jeffeam01,5.35,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,Amile Jefferson,ORL,True,False
