player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
harrijo01,26.033333333333335,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,4.0,-23.0,Joe Harris,BRK,False,True
russeda01,24.783333333333335,6.0,16.0,0.375,3.0,7.0,0.429,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,3.0,16.0,-18.0,D'Angelo Russell,BRK,False,True
allenja01,23.433333333333334,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,3.0,3.0,6.0,4.0,0.0,1.0,1.0,2.0,9.0,-14.0,Jarrett Allen,BRK,False,True
kurucro01,21.7,3.0,7.0,0.429,0.0,2.0,0.0,2.0,2.0,1.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,5.0,8.0,-21.0,Rodions Kurucs,BRK,False,True
carrode01,19.4,2.0,7.0,0.286,2.0,5.0,0.4,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,6.0,-27.0,DeMarre Carroll,BRK,False,True
grahatr01,26.133333333333333,2.0,4.0,0.5,0.0,2.0,0.0,1.0,4.0,0.25,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,-1.0,Treveon Graham,BRK,False,False
dinwisp01,23.466666666666665,8.0,16.0,0.5,3.0,7.0,0.429,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,19.0,-9.0,Spencer Dinwiddie,BRK,False,False
leverca01,20.266666666666666,3.0,8.0,0.375,2.0,4.0,0.5,5.0,5.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,13.0,-13.0,Caris LeVert,BRK,False,False
holliro01,19.033333333333335,5.0,10.0,0.5,0.0,0.0,,5.0,6.0,0.833,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,15.0,-3.0,Rondae Hollis-Jefferson,BRK,False,False
napiesh01,10.083333333333334,4.0,6.0,0.667,2.0,3.0,0.667,3.0,4.0,0.75,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,13.0,8.0,Shabazz Napier,BRK,False,False
pinsoth01,10.083333333333334,3.0,5.0,0.6,3.0,4.0,0.75,0.0,0.0,,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,9.0,8.0,Theo Pinson,BRK,False,False
musadz01,10.083333333333334,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,8.0,Džanan Musa,BRK,False,False
davised01,5.5,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,-5.0,Ed Davis,BRK,False,False
simmobe01,29.8,8.0,12.0,0.667,0.0,0.0,,2.0,4.0,0.5,4.0,6.0,10.0,12.0,2.0,0.0,3.0,3.0,18.0,23.0,Ben Simmons,PHI,True,True
butleji01,29.683333333333334,3.0,10.0,0.3,0.0,1.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,7.0,1.0,0.0,0.0,1.0,7.0,27.0,Jimmy Butler,PHI,True,True
harrito02,29.316666666666666,5.0,12.0,0.417,2.0,4.0,0.5,7.0,7.0,1.0,1.0,4.0,5.0,2.0,0.0,1.0,0.0,1.0,19.0,30.0,Tobias Harris,PHI,True,True
redicjj01,24.366666666666667,7.0,12.0,0.583,2.0,5.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,17.0,18.0,J.J. Redick,PHI,True,True
embiijo01,20.916666666666668,8.0,12.0,0.667,0.0,0.0,,7.0,8.0,0.875,3.0,7.0,10.0,1.0,1.0,0.0,2.0,5.0,23.0,26.0,Joel Embiid,PHI,True,True
scottmi01,21.7,5.0,7.0,0.714,3.0,5.0,0.6,2.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,15.0,6.0,Mike Scott,PHI,True,False
marjabo01,18.25,8.0,14.0,0.571,0.0,0.0,,0.0,0.0,,3.0,5.0,8.0,1.0,0.0,1.0,1.0,3.0,16.0,1.0,Boban Marjanović,PHI,True,False
boldejo01,14.85,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,-6.0,Jonah Bolden,PHI,True,False
