player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
townska01,35.65,7.0,16.0,0.438,1.0,7.0,0.143,4.0,5.0,0.8,1.0,3.0,4.0,8.0,1.0,0.0,2.0,4.0,19.0,-17.0,Karl-Anthony Towns,MIN,False,True
wiggian01,29.416666666666668,8.0,15.0,0.533,1.0,5.0,0.2,2.0,3.0,0.667,0.0,2.0,2.0,3.0,0.0,0.0,3.0,3.0,19.0,-20.0,Andrew Wiggins,MIN,False,True
covinro01,27.6,4.0,8.0,0.5,3.0,4.0,0.75,5.0,5.0,1.0,0.0,3.0,3.0,0.0,3.0,1.0,2.0,3.0,16.0,-15.0,Robert Covington,MIN,False,True
okogijo01,24.883333333333333,4.0,8.0,0.5,3.0,5.0,0.6,7.0,7.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,3.0,18.0,-25.0,Josh Okogie,MIN,False,True
culveja01,23.066666666666666,5.0,6.0,0.833,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,12.0,-4.0,Jarrett Culver,MIN,False,True
teaguje01,24.466666666666665,5.0,10.0,0.5,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,12.0,-19.0,Jeff Teague,MIN,False,False
belljo01,20.183333333333334,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,1.0,1.0,1.0,2.0,-3.0,Jordan Bell,MIN,False,False
bateske01,17.3,4.0,5.0,0.8,2.0,3.0,0.667,1.0,2.0,0.5,0.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,11.0,9.0,Keita Bates-Diop,MIN,False,False
napiesh01,15.066666666666666,5.0,9.0,0.556,1.0,4.0,0.25,2.0,2.0,1.0,0.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,13.0,4.0,Shabazz Napier,MIN,False,False
dienggo01,9.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,-2.0,Gorgui Dieng,MIN,False,False
grahatr01,7.166666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Treveon Graham,MIN,False,False
reidna01,2.85,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,Naz Reid,MIN,False,False
vonleno01,2.85,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Noah Vonleh,MIN,False,False
davisan02,39.266666666666666,20.0,29.0,0.69,0.0,2.0,0.0,10.0,10.0,1.0,3.0,4.0,7.0,6.0,4.0,1.0,1.0,1.0,50.0,19.0,Anthony Davis,LAL,True,True
caldwke01,28.3,3.0,7.0,0.429,1.0,4.0,0.25,2.0,2.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,1.0,9.0,13.0,Kentavious Caldwell-Pope,LAL,True,True
jamesle01,27.85,12.0,20.0,0.6,6.0,8.0,0.75,2.0,2.0,1.0,1.0,3.0,4.0,13.0,1.0,0.0,5.0,4.0,32.0,24.0,LeBron James,LAL,True,True
greenda02,26.283333333333335,4.0,6.0,0.667,4.0,6.0,0.667,0.0,0.0,,0.0,8.0,8.0,1.0,2.0,0.0,0.0,4.0,12.0,27.0,Danny Green,LAL,True,True
mcgeeja01,15.966666666666667,3.0,3.0,1.0,0.0,0.0,,0.0,0.0,,1.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,13.0,JaVale McGee,LAL,True,True
carusal01,30.333333333333332,6.0,11.0,0.545,2.0,3.0,0.667,2.0,4.0,0.5,0.0,4.0,4.0,4.0,2.0,0.0,0.0,1.0,16.0,7.0,Alex Caruso,LAL,True,False
kuzmaky01,26.283333333333335,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,-5.0,Kyle Kuzma,LAL,True,False
howardw01,22.183333333333334,3.0,5.0,0.6,0.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,1.0,2.0,8.0,8.0,Dwight Howard,LAL,True,False
cookqu01,10.483333333333333,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,-13.0,Quinn Cook,LAL,True,False
danietr01,7.733333333333333,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0,Troy Daniels,LAL,True,False
dudleja01,2.85,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Jared Dudley,LAL,True,False
hortota01,2.466666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Talen Horton-Tucker,LAL,True,False
