player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
bartowi01,37.15,5.0,16.0,0.313,0.0,3.0,0.0,0.0,1.0,0.0,2.0,7.0,9.0,7.0,1.0,2.0,1.0,4.0,10.0,-7.0,Will Barton,DEN,False,True,
jokicni01,31.983333333333334,10.0,17.0,0.588,0.0,1.0,0.0,1.0,1.0,1.0,2.0,6.0,8.0,4.0,0.0,0.0,6.0,2.0,21.0,-5.0,Nikola Jokić,DEN,False,True,
murraja01,30.283333333333335,5.0,14.0,0.357,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,0.0,6.0,1.0,0.0,2.0,3.0,12.0,-9.0,Jamal Murray,DEN,False,True,
millspa01,26.633333333333333,6.0,13.0,0.462,1.0,3.0,0.333,0.0,0.0,,7.0,2.0,9.0,3.0,1.0,2.0,1.0,3.0,13.0,-4.0,Paul Millsap,DEN,False,True,
craigto01,21.083333333333332,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,6.0,3.0,-2.0,Torrey Craig,DEN,False,True,
morrimo01,23.2,8.0,12.0,0.667,1.0,3.0,0.333,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,18.0,-24.0,Monte Morris,DEN,False,False,
beaslma01,19.6,3.0,5.0,0.6,2.0,4.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,10.0,-25.0,Malik Beasley,DEN,False,False,
grantje01,17.616666666666667,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,-15.0,Jerami Grant,DEN,False,False,
plumlma01,12.266666666666667,1.0,5.0,0.2,0.0,0.0,,2.0,4.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,-14.0,Mason Plumlee,DEN,False,False,
portemi01,10.883333333333333,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,-13.0,Michael Porter,DEN,False,False,
vandeja01,3.75,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-7.0,Jarred Vanderbilt,DEN,False,False,
hernaju01,3.75,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,Juan Hernangómez,DEN,False,False,
cancavl01,1.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Vlatko Čančar,DEN,False,False,
hardeja01,33.93333333333333,10.0,17.0,0.588,6.0,9.0,0.667,9.0,13.0,0.692,0.0,3.0,3.0,6.0,1.0,2.0,4.0,2.0,35.0,21.0,James Harden,HOU,True,True,
tuckepj01,33.88333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,3.0,5.0,8.0,2.0,0.0,1.0,0.0,1.0,0.0,11.0,P.J. Tucker,HOU,True,True,
westbru01,33.81666666666667,11.0,22.0,0.5,0.0,2.0,0.0,6.0,6.0,1.0,1.0,2.0,3.0,7.0,1.0,1.0,3.0,4.0,28.0,16.0,Russell Westbrook,HOU,True,True,
houseda01,30.8,3.0,10.0,0.3,2.0,7.0,0.286,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,8.0,4.0,Danuel House,HOU,True,True,
capelca01,29.933333333333334,7.0,12.0,0.583,0.0,0.0,,2.0,4.0,0.5,3.0,7.0,10.0,0.0,3.0,0.0,0.0,1.0,16.0,5.0,Clint Capela,HOU,True,True,
gordoer01,26.0,4.0,7.0,0.571,3.0,5.0,0.6,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,12.0,20.0,Eric Gordon,HOU,True,False,
harteis01,18.066666666666666,6.0,8.0,0.75,0.0,0.0,,4.0,6.0,0.667,5.0,7.0,12.0,0.0,1.0,1.0,2.0,4.0,16.0,21.0,Isaiah Hartenstein,HOU,True,False,
mclembe01,17.6,3.0,7.0,0.429,3.0,7.0,0.429,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,9.0,19.0,Ben McLemore,HOU,True,False,
riverau01,9.633333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,Austin Rivers,HOU,True,False,
clemoch01,3.1666666666666665,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,4.0,Chris Clemons,HOU,True,False,
clarkga01,3.1666666666666665,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,Gary Clark,HOU,True,False,
chandty01,,,,,,,,,,,,,,,,,,,,,Tyson Chandler,HOU,True,False,Did Not Play
sefolth01,,,,,,,,,,,,,,,,,,,,,Thabo Sefolosha,HOU,True,False,Did Not Play
