player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
leverca01,29.966666666666665,7.0,19.0,0.368,3.0,10.0,0.3,0.0,0.0,,0.0,3.0,3.0,2.0,6.0,0.0,0.0,2.0,17.0,15.0,Caris LeVert,BRK,False,True,
princta02,29.633333333333333,5.0,10.0,0.5,4.0,8.0,0.5,0.0,0.0,,0.0,4.0,4.0,1.0,1.0,2.0,3.0,3.0,14.0,21.0,Taurean Prince,BRK,False,True,
dinwisp01,28.216666666666665,3.0,10.0,0.3,1.0,6.0,0.167,3.0,4.0,0.75,1.0,5.0,6.0,9.0,0.0,0.0,2.0,2.0,10.0,10.0,Spencer Dinwiddie,BRK,False,True,
allenja01,24.883333333333333,4.0,5.0,0.8,0.0,0.0,,4.0,6.0,0.667,3.0,8.0,11.0,3.0,0.0,2.0,1.0,1.0,12.0,13.0,Jarrett Allen,BRK,False,True,
harrijo01,24.55,5.0,10.0,0.5,2.0,6.0,0.333,0.0,0.0,,0.0,2.0,2.0,5.0,1.0,0.0,1.0,2.0,12.0,10.0,Joe Harris,BRK,False,True,
templga01,26.433333333333334,5.0,10.0,0.5,3.0,6.0,0.5,2.0,2.0,1.0,0.0,11.0,11.0,3.0,1.0,0.0,0.0,1.0,15.0,14.0,Garrett Temple,BRK,False,False,
luwawti01,23.45,7.0,12.0,0.583,4.0,7.0,0.571,3.0,4.0,0.75,2.0,2.0,4.0,0.0,0.0,0.0,1.0,4.0,21.0,19.0,Timothé Luwawu-Cabarrot,BRK,False,False,
chandwi01,22.216666666666665,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,8.0,Wilson Chandler,BRK,False,False,
jordade01,19.966666666666665,5.0,5.0,1.0,0.0,0.0,,2.0,3.0,0.667,2.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,12.0,8.0,DeAndre Jordan,BRK,False,False,
pinsoth01,4.383333333333334,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,Theo Pinson,BRK,False,False,
kurucro01,3.15,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Rodions Kurucs,BRK,False,False,
chiozch01,3.15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,Chris Chiozza,BRK,False,False,
washipj01,37.2,6.0,13.0,0.462,4.0,7.0,0.571,0.0,0.0,,1.0,6.0,7.0,4.0,1.0,0.0,2.0,2.0,16.0,-12.0,P.J. Washington,CHO,True,True,
bridgmi02,34.016666666666666,3.0,9.0,0.333,2.0,4.0,0.5,5.0,6.0,0.833,0.0,5.0,5.0,5.0,0.0,0.0,0.0,2.0,13.0,-23.0,Miles Bridges,CHO,True,True,
roziete01,33.0,4.0,11.0,0.364,2.0,4.0,0.5,0.0,0.0,,1.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,10.0,-13.0,Terry Rozier,CHO,True,True,
grahade01,26.933333333333334,1.0,10.0,0.1,0.0,3.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,6.0,-17.0,Devonte' Graham,CHO,True,True,
zelleco01,21.483333333333334,7.0,12.0,0.583,0.0,1.0,0.0,0.0,0.0,,2.0,7.0,9.0,0.0,0.0,0.0,1.0,1.0,14.0,-9.0,Cody Zeller,CHO,True,True,
monkma01,26.916666666666668,5.0,15.0,0.333,3.0,9.0,0.333,2.0,4.0,0.5,1.0,3.0,4.0,2.0,0.0,0.0,2.0,2.0,15.0,-21.0,Malik Monk,CHO,True,False,
mcdanja01,22.966666666666665,3.0,9.0,0.333,1.0,3.0,0.333,0.0,1.0,0.0,2.0,7.0,9.0,1.0,0.0,0.0,1.0,4.0,7.0,-14.0,Jalen McDaniels,CHO,True,False,
martico01,17.066666666666666,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,-11.0,Cody Martin,CHO,True,False,
biyombi01,9.633333333333333,2.0,3.0,0.667,0.0,0.0,,1.0,4.0,0.25,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,-10.0,Bismack Biyombo,CHO,True,False,
martica02,7.633333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,-7.0,Caleb Martin,CHO,True,False,
chealjo01,3.15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,Joe Chealey,CHO,True,False,
batumni01,,,,,,,,,,,,,,,,,,,,,Nicolas Batum,CHO,True,False,Did Not Play
hernawi01,,,,,,,,,,,,,,,,,,,,,Willy Hernangómez,CHO,True,False,Did Not Play
