player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
davisan02,35.11666666666667,2.0,7.0,0.286,1.0,3.0,0.333,9.0,9.0,1.0,1.0,5.0,6.0,3.0,1.0,3.0,0.0,3.0,14.0,-17.0,Anthony Davis,LAL,False,True
jamesle01,34.6,7.0,15.0,0.467,2.0,5.0,0.4,4.0,7.0,0.571,1.0,9.0,10.0,5.0,0.0,1.0,4.0,1.0,20.0,-20.0,LeBron James,LAL,False,True
caldwke01,29.85,2.0,7.0,0.286,1.0,4.0,0.25,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,5.0,-27.0,Kentavious Caldwell-Pope,LAL,False,True
greenda02,19.6,0.0,7.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,-11.0,Danny Green,LAL,False,True
mcgeeja01,9.983333333333333,1.0,3.0,0.333,0.0,0.0,,1.0,2.0,0.5,1.0,3.0,4.0,0.0,0.0,1.0,2.0,4.0,3.0,-10.0,JaVale McGee,LAL,False,True
kuzmaky01,28.466666666666665,5.0,13.0,0.385,3.0,7.0,0.429,3.0,4.0,0.75,0.0,4.0,4.0,1.0,0.0,1.0,1.0,5.0,16.0,-5.0,Kyle Kuzma,LAL,False,False
carusal01,24.3,3.0,6.0,0.5,1.0,3.0,0.333,4.0,4.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,11.0,2.0,Alex Caruso,LAL,False,False
waitedi01,21.666666666666668,4.0,11.0,0.364,2.0,6.0,0.333,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,4.0,12.0,8.0,Dion Waiters,LAL,False,False
howardw01,17.133333333333333,2.0,2.0,1.0,0.0,0.0,,1.0,2.0,0.5,2.0,3.0,5.0,0.0,0.0,1.0,2.0,2.0,5.0,-1.0,Dwight Howard,LAL,False,False
morrima02,10.066666666666666,3.0,10.0,0.3,0.0,5.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,6.0,10.0,Markieff Morris,LAL,False,False
smithjr01,7.766666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,-5.0,J.R. Smith,LAL,False,False
cookqu01,1.45,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Quinn Cook,LAL,False,False
vanvlfr01,40.31666666666667,5.0,11.0,0.455,3.0,7.0,0.429,0.0,0.0,,0.0,5.0,5.0,11.0,1.0,1.0,3.0,3.0,13.0,26.0,Fred VanVleet,TOR,True,True
siakapa01,36.93333333333333,5.0,17.0,0.294,2.0,4.0,0.5,3.0,3.0,1.0,2.0,7.0,9.0,3.0,2.0,2.0,0.0,2.0,15.0,27.0,Pascal Siakam,TOR,True,True
lowryky01,35.03333333333333,8.0,16.0,0.5,5.0,9.0,0.556,12.0,15.0,0.8,1.0,13.0,14.0,6.0,1.0,0.0,4.0,4.0,33.0,24.0,Kyle Lowry,TOR,True,True
anunoog01,33.38333333333333,8.0,9.0,0.889,3.0,3.0,1.0,4.0,4.0,1.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,4.0,23.0,27.0,OG Anunoby,TOR,True,True
gasolma01,24.75,3.0,7.0,0.429,0.0,2.0,0.0,2.0,2.0,1.0,0.0,7.0,7.0,2.0,0.0,0.0,2.0,5.0,8.0,18.0,Marc Gasol,TOR,True,True
powelno01,24.166666666666668,3.0,12.0,0.25,0.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,8.0,-22.0,Norman Powell,TOR,True,False
ibakase01,19.133333333333333,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,2.0,3.0,5.0,4.0,2.0,Serge Ibaka,TOR,True,False
daviste02,12.95,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,-15.0,Terence Davis,TOR,True,False
thomama02,5.366666666666666,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,Matt Thomas,TOR,True,False
holliro01,5.066666666666666,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,-8.0,Rondae Hollis-Jefferson,TOR,True,False
watsopa01,1.45,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Paul Watson,TOR,True,False
bouchch01,1.45,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Chris Boucher,TOR,True,False
