player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
jamesle01,41.21666666666667,13.0,20.0,0.65,1.0,5.0,0.2,1.0,4.0,0.25,3.0,11.0,14.0,10.0,1.0,0.0,1.0,3.0,28.0,18.0,LeBron James,LAL,False,True
davisan02,35.1,7.0,17.0,0.412,0.0,3.0,0.0,5.0,7.0,0.714,4.0,11.0,15.0,3.0,1.0,2.0,3.0,4.0,19.0,18.0,Anthony Davis,LAL,False,True
caldwke01,33.43333333333333,6.0,13.0,0.462,2.0,7.0,0.286,3.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,5.0,17.0,8.0,Kentavious Caldwell-Pope,LAL,False,True
carusal01,32.7,2.0,7.0,0.286,0.0,2.0,0.0,0.0,0.0,,1.0,2.0,3.0,5.0,1.0,1.0,1.0,2.0,4.0,20.0,Alex Caruso,LAL,False,True
greenda02,24.566666666666666,4.0,10.0,0.4,3.0,7.0,0.429,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,1.0,0.0,2.0,11.0,5.0,Danny Green,LAL,False,True
rondora01,30.416666666666668,8.0,11.0,0.727,3.0,4.0,0.75,0.0,0.0,,0.0,4.0,4.0,4.0,1.0,0.0,4.0,1.0,19.0,5.0,Rajon Rondo,LAL,False,False
kuzmaky01,21.933333333333334,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,Kyle Kuzma,LAL,False,False
morrima02,16.633333333333333,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,Markieff Morris,LAL,False,False
dudleja01,1.45,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,Jared Dudley,LAL,False,False
cookqu01,1.45,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,Quinn Cook,LAL,False,False
howardw01,1.1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-4.0,Dwight Howard,LAL,False,False
butleji01,44.53333333333333,5.0,10.0,0.5,1.0,2.0,0.5,1.0,3.0,0.333,3.0,4.0,7.0,8.0,0.0,1.0,2.0,3.0,12.0,-18.0,Jimmy Butler,MIA,True,True
adebaba01,42.21666666666667,10.0,15.0,0.667,0.0,0.0,,5.0,9.0,0.556,1.0,9.0,10.0,5.0,0.0,2.0,2.0,2.0,25.0,-21.0,Bam Adebayo,MIA,True,True
robindu01,34.18333333333333,3.0,8.0,0.375,3.0,7.0,0.429,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,10.0,-16.0,Duncan Robinson,MIA,True,True
herroty01,30.366666666666667,3.0,10.0,0.3,1.0,2.0,0.5,0.0,0.0,,0.0,3.0,3.0,4.0,1.0,0.0,4.0,1.0,7.0,4.0,Tyler Herro,MIA,True,True
crowdja01,27.666666666666668,3.0,9.0,0.333,1.0,5.0,0.2,5.0,7.0,0.714,1.0,3.0,4.0,1.0,1.0,0.0,0.0,4.0,12.0,-13.0,Jae Crowder,MIA,True,True
dragigo01,18.933333333333334,2.0,8.0,0.25,0.0,4.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,2.0,1.0,0.0,1.0,3.0,5.0,2.0,Goran Dragić,MIA,True,False
olynyke01,14.866666666666667,4.0,7.0,0.571,1.0,1.0,1.0,0.0,0.0,,3.0,4.0,7.0,0.0,0.0,1.0,0.0,1.0,9.0,19.0,Kelly Olynyk,MIA,True,False
nunnke01,12.75,3.0,8.0,0.375,2.0,4.0,0.5,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,8.0,-13.0,Kendrick Nunn,MIA,True,False
iguodan01,10.55,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-20.0,Andre Iguodala,MIA,True,False
hillso01,2.4833333333333334,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,7.0,Solomon Hill,MIA,True,False
jonesde02,1.45,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Derrick Jones,MIA,True,False
